symbol,ticker,name,date,missing_reason,source_url,blocking,checked_at
0050,0050.TW,元大台灣50,2024-01-23,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20240123&selectType=All&response=json,no,2026-06-20T01:44:02+00:00
00631L,00631L.TW,元大台灣50正2,2024-01-23,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20240123&selectType=All&response=json,no,2026-06-20T01:44:02+00:00
2308,2308.TW,台達電,2024-01-23,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20240123&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
2317,2317.TW,鴻海,2024-01-23,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20240123&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
2330,2330.TW,台積電,2024-01-23,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20240123&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
2382,2382.TW,廣達,2024-01-23,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20240123&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
2454,2454.TW,聯發科,2024-01-23,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20240123&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
3231,3231.TW,緯創,2024-01-23,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20240123&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
6669,6669.TW,緯穎,2024-01-23,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20240123&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
0050,0050.TW,元大台灣50,2024-10-22,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20241022&selectType=All&response=json,no,2026-06-20T01:44:02+00:00
00631L,00631L.TW,元大台灣50正2,2024-10-22,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20241022&selectType=All&response=json,no,2026-06-20T01:44:02+00:00
2308,2308.TW,台達電,2024-10-22,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20241022&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
2317,2317.TW,鴻海,2024-10-22,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20241022&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
2330,2330.TW,台積電,2024-10-22,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20241022&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
2382,2382.TW,廣達,2024-10-22,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20241022&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
2454,2454.TW,聯發科,2024-10-22,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20241022&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
3231,3231.TW,緯創,2024-10-22,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20241022&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
6669,6669.TW,緯穎,2024-10-22,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20241022&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
0050,0050.TW,元大台灣50,2025-06-11,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20250611&selectType=All&response=json,no,2026-06-20T01:44:02+00:00
0050,0050.TW,元大台灣50,2025-06-12,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20250612&selectType=All&response=json,no,2026-06-20T01:44:02+00:00
0050,0050.TW,元大台灣50,2025-06-13,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20250613&selectType=All&response=json,no,2026-06-20T01:44:02+00:00
0050,0050.TW,元大台灣50,2025-06-16,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20250616&selectType=All&response=json,no,2026-06-20T01:44:02+00:00
0050,0050.TW,元大台灣50,2025-06-17,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20250617&selectType=All&response=json,no,2026-06-20T01:44:02+00:00
00631L,00631L.TW,元大台灣50正2,2026-03-25,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20260325&selectType=All&response=json,no,2026-06-20T01:44:02+00:00
00631L,00631L.TW,元大台灣50正2,2026-03-26,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20260326&selectType=All&response=json,no,2026-06-20T01:44:02+00:00
00631L,00631L.TW,元大台灣50正2,2026-03-27,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20260327&selectType=All&response=json,no,2026-06-20T01:44:02+00:00
00631L,00631L.TW,元大台灣50正2,2026-03-30,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20260330&selectType=All&response=json,no,2026-06-20T01:44:02+00:00
2454,2454.TW,聯發科,2026-05-07,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20260507&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
2454,2454.TW,聯發科,2026-05-08,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20260508&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
2454,2454.TW,聯發科,2026-05-11,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20260511&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
2454,2454.TW,聯發科,2026-05-12,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20260512&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
2454,2454.TW,聯發科,2026-05-13,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20260513&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
2454,2454.TW,聯發科,2026-05-14,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20260514&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
2454,2454.TW,聯發科,2026-05-15,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20260515&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
2454,2454.TW,聯發科,2026-05-18,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20260518&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
2454,2454.TW,聯發科,2026-05-19,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20260519&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
2454,2454.TW,聯發科,2026-05-20,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20260520&selectType=All&response=json,yes,2026-06-20T01:44:02+00:00
