symbol,ticker,name,date,missing_reason,source_url,blocking,checked_at
0050,0050.TW,元大台灣50,2024-10-08,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20241008&selectType=ALLBUT0999&response=json,no,2026-06-20T01:44:02+00:00
00631L,00631L.TW,元大台灣50正2,2024-10-08,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20241008&selectType=ALLBUT0999&response=json,no,2026-06-20T01:44:02+00:00
2308,2308.TW,台達電,2024-10-08,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20241008&selectType=ALLBUT0999&response=json,yes,2026-06-20T01:44:02+00:00
2317,2317.TW,鴻海,2024-10-08,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20241008&selectType=ALLBUT0999&response=json,yes,2026-06-20T01:44:02+00:00
2330,2330.TW,台積電,2024-10-08,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20241008&selectType=ALLBUT0999&response=json,yes,2026-06-20T01:44:02+00:00
2382,2382.TW,廣達,2024-10-08,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20241008&selectType=ALLBUT0999&response=json,yes,2026-06-20T01:44:02+00:00
2454,2454.TW,聯發科,2024-10-08,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20241008&selectType=ALLBUT0999&response=json,yes,2026-06-20T01:44:02+00:00
3231,3231.TW,緯創,2024-10-08,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20241008&selectType=ALLBUT0999&response=json,yes,2026-06-20T01:44:02+00:00
6669,6669.TW,緯穎,2024-10-08,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20241008&selectType=ALLBUT0999&response=json,yes,2026-06-20T01:44:02+00:00
0050,0050.TW,元大台灣50,2025-06-11,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20250611&selectType=ALLBUT0999&response=json,no,2026-06-20T01:44:02+00:00
0050,0050.TW,元大台灣50,2025-06-12,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20250612&selectType=ALLBUT0999&response=json,no,2026-06-20T01:44:02+00:00
0050,0050.TW,元大台灣50,2025-06-13,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20250613&selectType=ALLBUT0999&response=json,no,2026-06-20T01:44:02+00:00
0050,0050.TW,元大台灣50,2025-06-16,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20250616&selectType=ALLBUT0999&response=json,no,2026-06-20T01:44:02+00:00
0050,0050.TW,元大台灣50,2025-06-17,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20250617&selectType=ALLBUT0999&response=json,no,2026-06-20T01:44:02+00:00
2317,2317.TW,鴻海,2025-07-30,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20250730&selectType=ALLBUT0999&response=json,yes,2026-06-20T01:44:02+00:00
00631L,00631L.TW,元大台灣50正2,2026-03-25,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20260325&selectType=ALLBUT0999&response=json,no,2026-06-20T01:44:02+00:00
00631L,00631L.TW,元大台灣50正2,2026-03-26,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20260326&selectType=ALLBUT0999&response=json,no,2026-06-20T01:44:02+00:00
00631L,00631L.TW,元大台灣50正2,2026-03-27,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20260327&selectType=ALLBUT0999&response=json,no,2026-06-20T01:44:02+00:00
00631L,00631L.TW,元大台灣50正2,2026-03-30,missing_twse_t86_target_symbol_row,https://www.twse.com.tw/rwd/zh/fund/T86?date=20260330&selectType=ALLBUT0999&response=json,no,2026-06-20T01:44:02+00:00
