date,symbol,ticker,name,margin_buy,margin_sell,margin_balance,margin_balance_change,short_sell,short_cover,short_balance,short_balance_change,securities_lending_balance,securities_lending_balance_change,margin_balance_5d_change_pct,margin_balance_20d_change_pct,short_balance_5d_change_pct,short_balance_20d_change_pct,lending_balance_5d_change_pct,lending_balance_20d_change_pct,margin_overheat_flag,short_lending_pressure_flag,data_source,source_url,data_quality_status
2021-12-01,0050,0050.TW,元大台灣50,55,58,653,-3,0,2,106,-2,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211201&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-01,00631L,00631L.TW,元大台灣50正2,153,290,1901,-137,35,9,1039,26,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211201&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-01,2308,2308.TW,台達電,94,198,3689,-104,6,3,692,3,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211201&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-01,2317,2317.TW,鴻海,439,797,51717,-361,41,2,269,39,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211201&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-01,2330,2330.TW,台積電,678,456,24130,220,10,8,99,2,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211201&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-01,2382,2382.TW,廣達,93,188,2856,-96,13,1,63,12,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211201&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-01,2454,2454.TW,聯發科,120,407,6424,-291,53,9,550,44,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211201&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-01,3231,3231.TW,緯創,148,424,11563,-276,8,0,160,8,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211201&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-01,6669,6669.TW,緯穎,23,6,304,17,0,0,18,0,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211201&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-02,0050,0050.TW,元大台灣50,79,44,688,35,11,3,114,8,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211202&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-02,00631L,00631L.TW,元大台灣50正2,160,226,1835,-66,30,13,1056,17,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211202&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-02,2308,2308.TW,台達電,70,175,3584,-105,6,9,689,-3,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211202&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-02,2317,2317.TW,鴻海,772,615,51862,145,27,4,292,23,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211202&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
