source_id,source_url,download_status,http_status,date_covered,publish_date,source_title,source_type,exact_or_proxy,license_or_usage_note,parse_status,future_data_violation_check,notes
tip_1276_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1276/tw,http_pdf_verified,206,2026-06-18,2026/06/18,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：禾伸堂延期納入成分股,taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
tip_1275_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1275/tw,http_pdf_verified,206,2026-06-18,2026/06/18,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：大量延期納入成分股,taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
tip_1270_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1270/tw,http_pdf_verified,206,2026-06-15,2026/06/15,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：延期刪除來億-KY及富邦媒,taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
tip_1262_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1262/tw,http_pdf_verified,206,2026-06-05,2026/06/05,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股定期審核結果,taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
tip_1217_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1217/tw,http_pdf_verified,206,2026-04-09,2026/04/09,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：旺宏納入成分股,taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
tip_1215_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1215/tw,http_pdf_verified,206,2026-04-02,2026/04/02,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：欣興納入刪除成分股,taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
tip_1205_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1205/tw,http_pdf_verified,206,2026-03-19,2026/03/19,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：旺宏納入成分股延期,taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
tip_1206_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1206/tw,http_pdf_verified,206,2026-03-19,2026/03/19,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：欣興納入刪除成分股延期,taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
tip_1199_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1199/tw,http_pdf_verified,206,2026-03-06,2026/03/06,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股定期審核結果,taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
tip_1173_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1173/tw,http_pdf_verified,206,2025-12-23,2025/12/23,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：南亞科納入刪除成分股,taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
tip_1170_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1170/tw,http_pdf_verified,206,2025-12-16,2025/12/16,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：南亞科納入刪除成分股延期,taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
tip_1156_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1156/tw,http_pdf_verified,206,2025-12-05,2025/12/05,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股審核,taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
tip_1105_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1105/tw,http_pdf_verified,206,2025-09-05,2025/09/05,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股審核,taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
tip_1055_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1055/tw,http_pdf_verified,206,2025-06-06,2025/06/06,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股定期審核結果,taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
tip_1002_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1002/tw,http_pdf_verified,206,2025-03-07,2025/03/07,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股定期審核結果,taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
tip_976_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/976/tw,http_pdf_verified,206,2024-12-24,2024/12/24,"臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：AES Holding Co., Ltd.納入指數成分股",taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
tip_974_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/974/tw,http_pdf_verified,206,2024-12-19,2024/12/19,"臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：AES Holding Co., Ltd.納入成分股延期",taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
tip_961_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/961/tw,http_pdf_verified,206,2024-12-06,2024/12/06,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股定期審核結果,taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
tip_918_tw,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/918/tw,http_pdf_verified,206,2024-09-06,2024/09/06,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股定期審核結果,taiwanindex_technical_notice,exact_candidate,official Taiwan Index public technical notice metadata; verify PDF redistribution/license before publishing raw files,notice_pdf_download_pending,requires_notice_parse,Candidate was discovered from Taiwan Index public technical notice page metadata.
