symbol,name,theme,gap_reason,required_evidence
1536,和大,車用電子,missing_accepted_date_aware_v2_evidence,"accepted dated source evidence with effective_start, source_date, source_url, and usable_for_formal_replay=true"
1590,亞德客-KY,機器人/自動化,missing_accepted_date_aware_v2_evidence,"accepted dated source evidence with effective_start, source_date, source_url, and usable_for_formal_replay=true"
2049,上銀,機器人/自動化,missing_accepted_date_aware_v2_evidence,"accepted dated source evidence with effective_start, source_date, source_url, and usable_for_formal_replay=true"
2231,為升,車用電子,missing_accepted_date_aware_v2_evidence,"accepted dated source evidence with effective_start, source_date, source_url, and usable_for_formal_replay=true"
2356,英業達,AI伺服器/ODM,missing_accepted_date_aware_v2_evidence,"accepted dated source evidence with effective_start, source_date, source_url, and usable_for_formal_replay=true"
2359,所羅門,機器人/自動化,missing_accepted_date_aware_v2_evidence,"accepted dated source evidence with effective_start, source_date, source_url, and usable_for_formal_replay=true"
2376,技嘉,AI伺服器/ODM,missing_accepted_date_aware_v2_evidence,"accepted dated source evidence with effective_start, source_date, source_url, and usable_for_formal_replay=true"
2464,盟立,機器人/自動化,missing_accepted_date_aware_v2_evidence,"accepted dated source evidence with effective_start, source_date, source_url, and usable_for_formal_replay=true"
2497,怡利電,車用電子,missing_accepted_date_aware_v2_evidence,"accepted dated source evidence with effective_start, source_date, source_url, and usable_for_formal_replay=true"
3552,同致,車用電子,missing_accepted_date_aware_v2_evidence,"accepted dated source evidence with effective_start, source_date, source_url, and usable_for_formal_replay=true"
3665,貿聯-KY,車用電子,missing_accepted_date_aware_v2_evidence,"accepted dated source evidence with effective_start, source_date, source_url, and usable_for_formal_replay=true"
4576,大銀微系統,機器人/自動化,missing_accepted_date_aware_v2_evidence,"accepted dated source evidence with effective_start, source_date, source_url, and usable_for_formal_replay=true"
6166,凌華,機器人/自動化,missing_accepted_date_aware_v2_evidence,"accepted dated source evidence with effective_start, source_date, source_url, and usable_for_formal_replay=true"
6279,胡連,車用電子,missing_accepted_date_aware_v2_evidence,"accepted dated source evidence with effective_start, source_date, source_url, and usable_for_formal_replay=true"
6531,愛普*,記憶體,missing_accepted_date_aware_v2_evidence,"accepted dated source evidence with effective_start, source_date, source_url, and usable_for_formal_replay=true"
8088,品安,記憶體,missing_accepted_date_aware_v2_evidence,"accepted dated source evidence with effective_start, source_date, source_url, and usable_for_formal_replay=true"
