date,theme,symbol,name,theme_rank,theme_score,capital_share,capital_share_5d_avg,capital_share_5d_change,turnover_value,turnover_value_5d,strong_stock_ratio,theme_risk_heat,stock_score,bucket,fundamental_pass,fundamental_score,fundamental_data_status,fundamental_reason,risk_heat,liquidity,foreign_5d,trust_5d,margin_change_5d,stock_turnover_rank_in_theme,stock_turnover_share_in_theme,stock_turnover_share_change_5d,theme_leader_flag,theme_second_line_flag,theme_laggard_rebound_flag,overheated_flag
2026-05-14,記憶體,2408,南亞科,1,96.9,28.3,20.1,10.2,237800.0,869533.6,100.0,64.0,52.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,No dated fundamental source for this historical snapshot; excluded from qualified candidates,72.9,100.0,0,0,0,1,26.5,0.1,true,false,false,true
2026-05-14,記憶體,2344,華邦電,1,96.9,28.3,20.1,10.2,237800.0,869533.6,100.0,64.0,46.9,excluded_missing_fundamental,false,0.0,missing_fundamental_data,No dated fundamental source for this historical snapshot; excluded from qualified candidates,87.3,100.0,0,0,0,2,23.0,8.8,true,false,false,true
2026-05-14,記憶體,2337,旺宏,1,96.9,28.3,20.1,10.2,237800.0,869533.6,100.0,64.0,57.9,excluded_missing_fundamental,false,0.0,missing_fundamental_data,No dated fundamental source for this historical snapshot; excluded from qualified candidates,50.4,100.0,0,0,0,3,22.9,4.5,false,true,false,false
2026-05-14,記憶體,3006,晶豪科,1,96.9,28.3,20.1,10.2,237800.0,869533.6,100.0,64.0,39.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,No dated fundamental source for this historical snapshot; excluded from qualified candidates,87.7,100.0,0,0,0,8,2.0,-2.1,false,false,false,true
2026-05-14,記憶體,3260,威剛,1,96.9,28.3,20.1,10.2,237800.0,869533.6,100.0,64.0,48.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,No dated fundamental source for this historical snapshot; excluded from qualified candidates,60.0,100.0,0,0,0,7,3.5,-2.9,false,false,false,false
2026-05-14,記憶體,8299,群聯,1,96.9,28.3,20.1,10.2,237800.0,869533.6,100.0,64.0,42.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,No dated fundamental source for this historical snapshot; excluded from qualified candidates,87.7,100.0,0,0,0,4,11.1,-3.1,false,false,false,true
2026-05-14,記憶體,8271,宇瞻,1,96.9,28.3,20.1,10.2,237800.0,869533.6,100.0,64.0,45.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,No dated fundamental source for this historical snapshot; excluded from qualified candidates,54.5,89.9,0,0,0,9,0.8,-0.4,false,false,false,false
2026-05-14,記憶體,8088,品安,1,96.9,28.3,20.1,10.2,237800.0,869533.6,100.0,64.0,30.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,No dated fundamental source for this historical snapshot; excluded from qualified candidates,48.0,41.6,0,0,0,10,0.4,0.1,false,false,false,false
2026-05-14,記憶體,6531,愛普*,1,96.9,28.3,20.1,10.2,237800.0,869533.6,100.0,64.0,51.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,No dated fundamental source for this historical snapshot; excluded from qualified candidates,51.8,100.0,0,0,0,6,4.7,0.5,false,false,false,false
2026-05-14,記憶體,6770,力積電,1,96.9,28.3,20.1,10.2,237800.0,869533.6,100.0,64.0,49.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,No dated fundamental source for this historical snapshot; excluded from qualified candidates,59.2,100.0,0,0,0,5,5.1,-5.4,false,false,false,false
2026-05-14,PCB/載板,3037,欣興,2,83.1,20.9,18.5,3.0,175977.8,792779.0,100.0,58.0,57.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,No dated fundamental source for this historical snapshot; excluded from qualified candidates,43.5,100.0,0,0,0,2,15.3,-1.8,true,false,false,false
