date,theme,symbol,name,theme_rank,theme_score,capital_share,capital_share_5d_avg,capital_share_5d_change,turnover_value,turnover_value_5d,strong_stock_ratio,theme_risk_heat,stock_score,bucket,fundamental_pass,fundamental_score,fundamental_data_status,fundamental_source_date,fundamental_reason,risk_heat,liquidity,foreign_5d,trust_5d,margin_change_5d,stock_turnover_rank_in_theme,stock_turnover_share_in_theme,stock_turnover_share_change_5d,theme_leader_flag,theme_second_line_flag,theme_laggard_rebound_flag,overheated_flag
2026-05-25,記憶體,2408,南亞科,1,80.0,19.8,19.7,0.2,171803.9,591946.0,100.0,64.0,60.0,theme_leader,true,100.0,ok,2026-04-29,fundamental checks passed,48.0,100.0,12000,1800,9.5,1,27.0,3.0,true,false,false,false
2026-05-25,記憶體,2344,華邦電,1,80.0,19.8,19.7,0.2,171803.9,591946.0,100.0,64.0,56.4,theme_leader,true,100.0,ok,2026-04-29,fundamental checks passed,59.2,100.0,8500,2400,5.2,2,26.2,13.8,true,false,false,false
2026-05-25,記憶體,2337,旺宏,1,80.0,19.8,19.7,0.2,171803.9,591946.0,100.0,64.0,52.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2026-04-29,PE or revenue data missing; excluded from qualified candidates,56.0,100.0,0,0,0,4,11.9,3.0,false,true,false,false
2026-05-25,記憶體,3006,晶豪科,1,80.0,19.8,19.7,0.2,171803.9,591946.0,100.0,64.0,52.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2026-04-29,PE or revenue data missing; excluded from qualified candidates,48.0,100.0,0,0,0,7,4.0,-0.0,false,false,false,false
2026-05-25,記憶體,3260,威剛,1,80.0,19.8,19.7,0.2,171803.9,591946.0,100.0,64.0,52.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2026-04-29,PE or revenue data missing; excluded from qualified candidates,48.0,100.0,0,0,0,6,4.2,-4.6,false,false,false,false
2026-05-25,記憶體,8299,群聯,1,80.0,19.8,19.7,0.2,171803.9,591946.0,100.0,64.0,51.8,watch,true,100.0,ok,2026-04-29,fundamental checks passed,56.2,100.0,2600,900,3.5,5,10.5,-20.3,false,false,false,false
2026-05-25,記憶體,8271,宇瞻,1,80.0,19.8,19.7,0.2,171803.9,591946.0,100.0,64.0,28.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2026-04-29,PE or revenue data missing; excluded from qualified candidates,56.0,43.8,0,0,0,10,0.5,0.1,false,false,false,false
2026-05-25,記憶體,8088,品安,1,80.0,19.8,19.7,0.2,171803.9,591946.0,100.0,64.0,25.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2026-04-29,PE or revenue data missing; excluded from qualified candidates,68.4,44.5,0,0,0,9,0.5,0.3,false,false,false,false
2026-05-25,記憶體,6531,愛普*,1,80.0,19.8,19.7,0.2,171803.9,591946.0,100.0,64.0,40.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2026-04-29,PE or revenue data missing; excluded from qualified candidates,86.2,100.0,0,0,0,8,2.8,-3.2,false,false,false,true
2026-05-25,記憶體,6770,力積電,1,80.0,19.8,19.7,0.2,171803.9,591946.0,100.0,64.0,47.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2026-04-29,PE or revenue data missing; excluded from qualified candidates,71.8,100.0,0,0,0,3,12.4,7.8,false,true,false,true
2026-05-25,PCB/載板,3037,欣興,2,77.2,17.9,16.4,1.9,155645.9,593551.2,100.0,58.0,55.0,theme_second_line,true,70.0,ok,2026-04-29,fundamental checks passed,51.7,100.0,6200,3100,6.0,4,15.7,0.9,false,true,false,false
