symbol,name,theme,fundamental_status,fundamental_unavailable_reason
2408,南亞科,記憶體,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2344,華邦電,記憶體,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2337,旺宏,記憶體,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3006,晶豪科,記憶體,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3260,威剛,記憶體,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
8299,群聯,記憶體,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
8271,宇瞻,記憶體,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
8088,品安,記憶體,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6531,愛普*,記憶體,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6770,力積電,記憶體,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3037,欣興,PCB/載板,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
8046,南電,PCB/載板,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3189,景碩,PCB/載板,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2368,金像電,PCB/載板,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2383,台光電,PCB/載板,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6274,台燿,PCB/載板,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6213,聯茂,PCB/載板,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
8358,金居,PCB/載板,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2313,華通,PCB/載板,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3044,健鼎,PCB/載板,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
4958,臻鼎-KY,PCB/載板,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2316,楠梓電,PCB/載板,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2367,燿華,PCB/載板,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
1815,富喬,PCB/載板,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
5439,高技,PCB/載板,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3163,波若威,CPO/矽光子,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3363,上詮,CPO/矽光子,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
4908,前鼎,CPO/矽光子,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
4979,華星光,CPO/矽光子,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3081,聯亞,CPO/矽光子,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3450,聯鈞,CPO/矽光子,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3234,光環,CPO/矽光子,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
4977,眾達-KY,CPO/矽光子,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6442,光聖,CPO/矽光子,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6451,訊芯-KY,CPO/矽光子,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2327,國巨,被動元件,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2492,華新科,被動元件,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2472,立隆電,被動元件,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3026,禾伸堂,被動元件,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3090,日電貿,被動元件,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2375,凱美,被動元件,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6173,信昌電,被動元件,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6127,九豪,被動元件,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
8043,蜜望實,被動元件,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3624,光頡,被動元件,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3357,臺慶科,被動元件,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3236,千如,被動元件,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2382,廣達,AI伺服器/ODM,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3231,緯創,AI伺服器/ODM,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6669,緯穎,AI伺服器/ODM,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2356,英業達,AI伺服器/ODM,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2376,技嘉,AI伺服器/ODM,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2357,華碩,AI伺服器/ODM,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
