ticker,stock_no,name,date,open,high,low,close,adj_close,volume,dividend,stock_split,adjusted_close_available,source,source_url,raw_source_id,source_type,formal_exact,validation_decision,rejection_reason
2311.TW,2311,日月光,2014-11-28,37.7,38.0,37.5,37.55,,20139948,0.0,0.0,False,twse_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20141101&stockNo=2311&response=json,2311_201411_twse_stock_day_1,official_twse_unadjusted_ohlcv,False,accepted_candidate_unadjusted_ohlcv,
2311.TW,2311,日月光,2014-12-01,36.3,37.95,36.25,37.45,,22274400,0.0,0.0,False,twse_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20141201&stockNo=2311&response=json,2311_201412_twse_stock_day_1,official_twse_unadjusted_ohlcv,False,accepted_candidate_unadjusted_ohlcv,
2311.TW,2311,日月光,2014-12-02,37.45,37.5,36.25,36.3,,24076878,0.0,0.0,False,twse_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20141201&stockNo=2311&response=json,2311_201412_twse_stock_day_1,official_twse_unadjusted_ohlcv,False,accepted_candidate_unadjusted_ohlcv,
2311.TW,2311,日月光,2014-12-03,36.4,37.15,36.4,37.05,,17601849,0.0,0.0,False,twse_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20141201&stockNo=2311&response=json,2311_201412_twse_stock_day_1,official_twse_unadjusted_ohlcv,False,accepted_candidate_unadjusted_ohlcv,
2311.TW,2311,日月光,2014-12-04,37.15,38.0,37.15,37.9,,23693681,0.0,0.0,False,twse_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20141201&stockNo=2311&response=json,2311_201412_twse_stock_day_1,official_twse_unadjusted_ohlcv,False,accepted_candidate_unadjusted_ohlcv,
2311.TW,2311,日月光,2014-12-05,37.2,38.2,37.2,38.0,,19347838,0.0,0.0,False,twse_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20141201&stockNo=2311&response=json,2311_201412_twse_stock_day_1,official_twse_unadjusted_ohlcv,False,accepted_candidate_unadjusted_ohlcv,
2311.TW,2311,日月光,2014-12-08,38.1,39.5,37.6,38.9,,33091571,0.0,0.0,False,twse_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20141201&stockNo=2311&response=json,2311_201412_twse_stock_day_1,official_twse_unadjusted_ohlcv,False,accepted_candidate_unadjusted_ohlcv,
2311.TW,2311,日月光,2014-12-09,39.0,39.1,38.6,38.7,,25153927,0.0,0.0,False,twse_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20141201&stockNo=2311&response=json,2311_201412_twse_stock_day_1,official_twse_unadjusted_ohlcv,False,accepted_candidate_unadjusted_ohlcv,
2311.TW,2311,日月光,2014-12-10,38.0,38.1,36.7,37.0,,38637666,0.0,0.0,False,twse_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20141201&stockNo=2311&response=json,2311_201412_twse_stock_day_1,official_twse_unadjusted_ohlcv,False,accepted_candidate_unadjusted_ohlcv,
2311.TW,2311,日月光,2014-12-11,36.5,37.45,36.35,36.8,,22672706,0.0,0.0,False,twse_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20141201&stockNo=2311&response=json,2311_201412_twse_stock_day_1,official_twse_unadjusted_ohlcv,False,accepted_candidate_unadjusted_ohlcv,
