signal_date,status,missing_fields,candidate_gate_rows_present,selected_market_rows_present,official_raw_market_cache_present,classification_reason,network_authority,future_data_violation
2026-08-13,source_blocked_for_complete_forward_PIT_action_state,adjusted_analysis_close_for_active_slots; full_C6_exit_state_inputs; complete_candidate_count_or_explicit_session_status; official_market_mapping_for_execution,True,True,True,ranking_top3_and_partial_gate_source_do_not_prove_full_candidate_completeness_or_active_slot_exit_state; do_not_infer_empty_candidate_or_execution,False,False
2026-08-14,source_blocked_for_complete_forward_PIT_action_state,adjusted_analysis_close_for_active_slots; full_C6_exit_state_inputs; complete_candidate_count_or_explicit_session_status; official_market_mapping_for_execution,True,True,True,ranking_top3_and_partial_gate_source_do_not_prove_full_candidate_completeness_or_active_slot_exit_state; do_not_infer_empty_candidate_or_execution,False,False
2026-08-17,source_blocked_for_complete_forward_PIT_action_state,adjusted_analysis_close_for_active_slots; full_C6_exit_state_inputs; complete_candidate_count_or_explicit_session_status; official_market_mapping_for_execution,True,True,True,ranking_top3_and_partial_gate_source_do_not_prove_full_candidate_completeness_or_active_slot_exit_state; do_not_infer_empty_candidate_or_execution,False,False
2026-08-18,source_blocked_for_complete_forward_PIT_action_state,adjusted_analysis_close_for_active_slots; full_C6_exit_state_inputs; complete_candidate_count_or_explicit_session_status; official_market_mapping_for_execution,True,True,True,ranking_top3_and_partial_gate_source_do_not_prove_full_candidate_completeness_or_active_slot_exit_state; do_not_infer_empty_candidate_or_execution,False,False
2026-08-19,source_blocked_for_complete_forward_PIT_action_state,adjusted_analysis_close_for_active_slots; full_C6_exit_state_inputs; complete_candidate_count_or_explicit_session_status; official_market_mapping_for_execution,True,True,True,ranking_top3_and_partial_gate_source_do_not_prove_full_candidate_completeness_or_active_slot_exit_state; do_not_infer_empty_candidate_or_execution,False,False
2026-08-20,source_blocked_for_complete_forward_PIT_action_state,adjusted_analysis_close_for_active_slots; full_C6_exit_state_inputs; complete_candidate_count_or_explicit_session_status; official_market_mapping_for_execution,True,True,True,ranking_top3_and_partial_gate_source_do_not_prove_full_candidate_completeness_or_active_slot_exit_state; do_not_infer_empty_candidate_or_execution,False,False
2026-08-21,source_blocked_for_complete_forward_PIT_action_state,adjusted_analysis_close_for_active_slots; full_C6_exit_state_inputs; complete_candidate_count_or_explicit_session_status; official_market_mapping_for_execution,True,True,True,ranking_top3_and_partial_gate_source_do_not_prove_full_candidate_completeness_or_active_slot_exit_state; do_not_infer_empty_candidate_or_execution,False,False
2026-08-24,source_blocked_for_complete_forward_PIT_action_state,adjusted_analysis_close_for_active_slots; full_C6_exit_state_inputs; complete_candidate_count_or_explicit_session_status; official_market_mapping_for_execution,True,True,True,ranking_top3_and_partial_gate_source_do_not_prove_full_candidate_completeness_or_active_slot_exit_state; do_not_infer_empty_candidate_or_execution,False,False
2026-08-25,source_blocked_for_complete_forward_PIT_action_state,adjusted_analysis_close_for_active_slots; full_C6_exit_state_inputs; complete_candidate_count_or_explicit_session_status; official_market_mapping_for_execution,True,True,True,ranking_top3_and_partial_gate_source_do_not_prove_full_candidate_completeness_or_active_slot_exit_state; do_not_infer_empty_candidate_or_execution,False,False
2026-08-26,source_blocked_for_complete_forward_PIT_action_state,adjusted_analysis_close_for_active_slots; full_C6_exit_state_inputs; complete_candidate_count_or_explicit_session_status; official_market_mapping_for_execution,True,True,True,ranking_top3_and_partial_gate_source_do_not_prove_full_candidate_completeness_or_active_slot_exit_state; do_not_infer_empty_candidate_or_execution,False,False
2026-08-27,source_blocked_for_complete_forward_PIT_action_state,adjusted_analysis_close_for_active_slots; full_C6_exit_state_inputs; complete_candidate_count_or_explicit_session_status; official_market_mapping_for_execution,True,True,True,ranking_top3_and_partial_gate_source_do_not_prove_full_candidate_completeness_or_active_slot_exit_state; do_not_infer_empty_candidate_or_execution,False,False
2026-08-28,source_blocked_for_complete_forward_PIT_action_state,adjusted_analysis_close_for_active_slots; full_C6_exit_state_inputs; complete_candidate_count_or_explicit_session_status; official_market_mapping_for_execution,True,True,True,ranking_top3_and_partial_gate_source_do_not_prove_full_candidate_completeness_or_active_slot_exit_state; do_not_infer_empty_candidate_or_execution,False,False
