shard_path,year_month,market,rows,bytes,sha256,git_tracked
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2015-01.csv,2015-01,TPEx,13348,5215656,29dc3aa698676780a8e136aea73215841262b6906df8e4b42474b709e73329fe,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2015-02.csv,2015-02,TPEx,8690,3395584,4cff31aaf955f7ddc7ea5f6f2f0d30fdebea5440462e8ad2d25a4d843a0c6252,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2015-03.csv,2015-03,TPEx,14770,5771732,fcb9ec8f974ea4951a0390e0196a614a592249707d5e20bcc090a71de9081fd3,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2015-04.csv,2015-04,TPEx,13557,5297658,4701af692e2f3ad4807687ba9fe6eabc0d953c285144fabe7b57de1620cf65b2,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2015-05.csv,2015-05,TPEx,13548,5293586,a317c7d32d1ce0b0b97aac4c8f4122220389c665b100d19947b61035c15743b1,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2015-06.csv,2015-06,TPEx,14196,5545951,13958d2b8693b1a948908f92a692bf3b45583af842d04ed44592e52f75caa85f,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2015-07.csv,2015-07,TPEx,14822,5789870,fde46d47da4da22712a128fd1ebb3933f8cca00168ce98c00cf5d6316ae02a1c,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2015-08.csv,2015-08,TPEx,14056,5488915,c307dae600872af0477be8f19ac5ec95fdb12e5f798bd3abfdc40ef35edf8939,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2015-09.csv,2015-09,TPEx,13367,5220026,d1801f6a180ece171625b5ea6e203a1ead15b21d82e961a37ba925d6eedd3c39,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2015-10.csv,2015-10,TPEx,14101,5507407,c871fdc21da95f43e1758bc06a35414c18490a208107b4215984997ea6a1a473,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2015-11.csv,2015-11,TPEx,14116,5513542,8b0b53927334292773f6c774dd6a9c577c2c00b13ca2d44f719d21d0b220ca6e,false_large_local_shard
