timestamp,status,message
2026-07-03T19:23:31.5658382+08:00,running,skeleton_created_starting_tpex_full_sweep_and_twse_route_probe
2026-07-03T19:23:39.6594022+08:00,running,copied_tpex_full_sweep_runner_from_prior_package
2026-07-03T11:29:35+00:00,package_builder,completed_partial_tpex_full_candidate_twse_blocked,tpex_rows=384741; twse=blocked
2026-07-03T11:30:24+00:00,package_builder,running_or_partial_tpex_sweep_twse_blocked,tpex_rows=430126; twse=blocked
2026-07-03T11:31:43+00:00,package_builder,running_or_partial_tpex_sweep_twse_blocked,tpex_rows=514272; twse=blocked
2026-07-03T11:34:11+00:00,package_builder,running_or_partial_tpex_sweep_twse_blocked,tpex_rows=639014; twse=blocked
2026-07-03T11:37:38+00:00,package_builder,running_or_partial_tpex_sweep_twse_blocked,tpex_rows=848595; twse=blocked
2026-07-03T11:42:02+00:00,package_builder,running_or_partial_tpex_sweep_twse_blocked,tpex_rows=1075013; twse=blocked
2026-07-03T11:46:22+00:00,package_builder,running_or_partial_tpex_sweep_twse_blocked,tpex_rows=1328621; twse=blocked
2026-07-03T11:50:57+00:00,package_builder,running_or_partial_tpex_sweep_twse_blocked,tpex_rows=1584468; twse=blocked
2026-07-03T11:55:30+00:00,package_builder,running_or_partial_tpex_sweep_twse_blocked,tpex_rows=1815598; twse=blocked
2026-07-03T11:58:57+00:00,package_builder,running_or_partial_tpex_sweep_twse_blocked,tpex_rows=1999676; twse=blocked
2026-07-03T12:01:34+00:00,package_builder,running_or_partial_tpex_sweep_twse_blocked,tpex_rows=2118990; twse=blocked
2026-07-03T12:02:14+00:00,package_builder,running_or_partial_tpex_sweep_twse_blocked,tpex_rows=2121620; twse=blocked
2026-07-03T12:04:29+00:00,package_builder,running_or_partial_tpex_sweep_twse_blocked,tpex_rows=2121620; twse=blocked
2026-07-03T12:05:30+00:00,package_builder,running_or_partial_tpex_sweep_twse_blocked,tpex_rows=2123871; twse=blocked
2026-07-03T12:07:12+00:00,package_builder,completed_partial_tpex_full_candidate_twse_blocked,tpex_rows=2123871; twse=blocked
