year_month,market,accepted_rows,trading_days,symbols,status
2015-01,TPEx,13348,20,685,covered
2015-02,TPEx,8690,13,684,covered
2015-03,TPEx,14770,22,687,covered
2015-04,TPEx,13557,20,692,covered
2015-05,TPEx,13548,20,695,covered
2015-06,TPEx,14196,21,695,covered
2015-07,TPEx,14822,22,693,covered
2015-08,TPEx,14056,21,692,covered
2015-09,TPEx,13367,20,695,covered
2015-10,TPEx,14101,21,696,covered
2015-11,TPEx,14116,21,695,covered
2015-12,TPEx,15560,23,704,covered
2016-01,TPEx,13654,20,710,covered
2016-02,TPEx,8921,13,709,covered
2016-03,TPEx,16029,23,719,covered
2016-04,TPEx,13197,19,716,covered
2016-05,TPEx,14540,21,718,covered
2016-06,TPEx,13910,20,718,covered
2016-07,TPEx,13985,20,719,covered
2016-08,TPEx,16079,23,719,covered
2016-09,TPEx,12588,18,726,covered
2016-10,TPEx,13983,20,726,covered
2016-11,TPEx,15416,22,727,covered
2016-12,TPEx,15460,22,728,covered
2017-01,TPEx,11306,16,731,covered
2017-02,TPEx,12201,17,730,covered
2017-03,TPEx,16467,23,734,covered
2017-04,TPEx,12874,18,738,covered
2017-05,TPEx,14398,20,738,covered
2017-06,TPEx,15874,22,739,covered
2017-07,TPEx,15113,21,739,covered
2017-08,TPEx,16497,23,737,covered
2017-09,TPEx,15070,21,740,covered
2017-10,TPEx,13634,19,739,covered
2017-11,TPEx,15853,22,741,covered
2017-12,TPEx,15103,21,743,covered
2018-01,TPEx,16009,22,749,covered
2018-02,TPEx,9493,13,749,covered
2018-03,TPEx,16109,22,751,covered
2018-04,TPEx,13287,18,755,covered
2018-05,TPEx,16222,22,756,covered
2018-06,TPEx,14753,20,757,covered
2018-07,TPEx,16082,22,759,covered
2018-08,TPEx,16860,23,760,covered
2018-09,TPEx,13916,19,761,covered
2018-10,TPEx,16056,22,763,covered
2018-11,TPEx,15999,22,766,covered
2018-12,TPEx,14610,20,766,covered
2019-01,TPEx,15430,21,769,covered
2019-02,TPEx,9715,13,768,covered
2019-03,TPEx,14967,20,770,covered
2019-04,TPEx,15045,20,769,covered
2019-05,TPEx,16392,22,771,covered
2019-06,TPEx,14213,19,775,covered
2019-07,TPEx,17305,23,775,covered
2019-08,TPEx,15665,21,773,covered
2019-09,TPEx,14171,19,777,covered
2019-10,TPEx,15706,21,776,covered
2019-11,TPEx,15802,21,776,covered
2019-12,TPEx,16545,22,776,covered
2020-01,TPEx,11265,15,776,covered
2020-02,TPEx,14191,19,775,covered
2020-03,TPEx,16587,22,775,covered
2020-04,TPEx,15052,20,776,covered
2020-05,TPEx,15038,20,774,covered
2020-06,TPEx,15172,20,775,covered
2020-07,TPEx,17548,23,775,covered
2020-08,TPEx,15929,21,775,covered
2020-09,TPEx,16609,22,776,covered
2020-10,TPEx,14348,19,778,covered
2020-11,TPEx,15949,21,778,covered
2020-12,TPEx,17555,23,782,covered
2021-01,TPEx,15339,20,786,covered
2021-02,TPEx,10047,13,785,covered
2021-03,TPEx,17125,22,786,covered
2021-04,TPEx,14797,19,786,covered
2021-05,TPEx,16267,21,786,covered
2021-06,TPEx,16186,21,785,covered
2021-07,TPEx,17004,22,787,covered
2021-08,TPEx,16921,22,788,covered
2021-09,TPEx,15357,20,788,covered
2021-10,TPEx,15386,20,789,covered
2021-11,TPEx,16988,22,789,covered
2021-12,TPEx,16963,22,789,covered
2022-01,TPEx,13877,18,788,covered
2022-02,TPEx,11581,15,788,covered
2022-03,TPEx,17812,23,795,covered
2022-04,TPEx,14734,19,797,covered
2022-05,TPEx,16247,21,798,covered
2022-06,TPEx,16363,21,799,covered
2022-07,TPEx,16313,21,799,covered
2022-08,TPEx,17869,23,799,covered
2022-09,TPEx,16334,21,800,covered
2022-10,TPEx,15405,20,799,covered
2022-11,TPEx,17098,22,804,covered
2022-12,TPEx,17160,22,807,covered
2023-01,TPEx,10222,13,808,covered
2023-02,TPEx,14206,18,808,covered
2023-03,TPEx,18286,23,808,covered
2023-04,TPEx,13480,17,807,covered
2023-05,TPEx,17480,22,809,covered
2023-06,TPEx,15959,20,811,covered
2023-07,TPEx,16779,21,811,covered
2023-08,TPEx,17481,22,811,covered
2023-09,TPEx,15889,20,812,covered
