ticker,company_name,source_url,document_filename,document_date,method,status,http_code,content_type,retrieved_path,extraction_status,accepted_evidence_rows,error,notes
1560.TW,中砂,https://doc.twse.com.tw/server-java/t57sb01?step=1&colorchg=1&co_id=1560&year=114&mtype=F,2024_1560_20250619F04.pdf,2025-06-19,annual_report_locator_download_extract,completed,200,application/pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\1560_TW_2024_1560_20250619F04.pdf,keyword_found,1,,PDF URL: https://doc.twse.com.tw/pdf/2024_1560_20250619F04_20260704_113548.pdf
2308.TW,台達電,https://doc.twse.com.tw/server-java/t57sb01?step=1&colorchg=1&co_id=2308&year=114&mtype=F,2024_2308_20250529F04.pdf,2025-05-29,annual_report_locator_download_extract,completed,200,application/pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\2308_TW_2024_2308_20250529F04.pdf,keyword_found,1,,PDF URL: https://doc.twse.com.tw/pdf/2024_2308_20250529F04_20260704_113614.pdf
2356.TW,英業達,https://doc.twse.com.tw/server-java/t57sb01?step=1&colorchg=1&co_id=2356&year=114&mtype=F,2024_2356_20250528F04.pdf,2025-05-28,annual_report_locator_download_extract,completed,200,application/pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\2356_TW_2024_2356_20250528F04.pdf,keyword_found,1,,PDF URL: https://doc.twse.com.tw/pdf/2024_2356_20250528F04_20260704_113634.pdf
2382.TW,廣達,https://doc.twse.com.tw/server-java/t57sb01?step=1&colorchg=1&co_id=2382&year=114&mtype=F,2024_2382_20250613F04.pdf,2025-06-13,annual_report_locator_download_extract,completed,200,application/pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\2382_TW_2024_2382_20250613F04.pdf,keyword_found,1,,PDF URL: https://doc.twse.com.tw/pdf/2024_2382_20250613F04_20260704_113704.pdf
2395.TW,研華,https://doc.twse.com.tw/server-java/t57sb01?step=1&colorchg=1&co_id=2395&year=114&mtype=F,2024_2395_20250529F04.pdf,2025-05-29,annual_report_locator_download_extract,completed,200,application/pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\2395_TW_2024_2395_20250529F04.pdf,keyword_found,1,,PDF URL: https://doc.twse.com.tw/pdf/2024_2395_20250529F04_20260704_113713.pdf
2449.TW,京元電子,https://doc.twse.com.tw/server-java/t57sb01?step=1&colorchg=1&co_id=2449&year=114&mtype=F,2024_2449_20250527F04.pdf,2025-05-27,annual_report_locator_download_extract,completed,200,application/pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\2449_TW_2024_2449_20250527F04.pdf,keyword_found,1,,PDF URL: https://doc.twse.com.tw/pdf/2024_2449_20250527F04_20260704_113733.pdf
3017.TW,奇鋐,https://doc.twse.com.tw/server-java/t57sb01?step=1&colorchg=1&co_id=3017&year=114&mtype=F,2024_3017_20250606F04.pdf,2025-06-06,annual_report_locator_download_extract,completed,200,application/pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\3017_TW_2024_3017_20250606F04.pdf,keyword_found,1,,PDF URL: https://doc.twse.com.tw/pdf/2024_3017_20250606F04_20260704_113748.pdf
3044.TW,健鼎,https://doc.twse.com.tw/server-java/t57sb01?step=1&colorchg=1&co_id=3044&year=114&mtype=F,2024_3044_20250529F04.pdf,2025-05-29,annual_report_locator_download_extract,completed,200,application/pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\3044_TW_2024_3044_20250529F04.pdf,keyword_found,1,,PDF URL: https://doc.twse.com.tw/pdf/2024_3044_20250529F04_20260704_113802.pdf
3189.TW,景碩,https://doc.twse.com.tw/server-java/t57sb01?step=1&colorchg=1&co_id=3189&year=114&mtype=F,2024_3189_20250528F04.pdf,2025-05-28,annual_report_locator_download_extract,completed,200,application/pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\3189_TW_2024_3189_20250528F04.pdf,keyword_found,1,,PDF URL: https://doc.twse.com.tw/pdf/2024_3189_20250528F04_20260704_113810.pdf
3324.TW,雙鴻,https://doc.twse.com.tw/server-java/t57sb01?step=1&colorchg=1&co_id=3324&year=114&mtype=F,2024_3324_20250516F04.pdf,2025-05-16,annual_report_locator_download_extract,completed,200,application/pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\3324_TW_2024_3324_20250516F04.pdf,keyword_found,1,,PDF URL: https://doc.twse.com.tw/pdf/2024_3324_20250516F04_20260704_113831.pdf
