fiscal_year,quarter,market,accepted_rows,probe_status,coverage_status
2015,Q1,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2015,Q2,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2015,Q3,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2015,Q4,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2016,Q1,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2016,Q2,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2016,Q3,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2016,Q4,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2017,Q1,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2017,Q2,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2017,Q3,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2017,Q4,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2018,Q1,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2018,Q2,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2018,Q3,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2018,Q4,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2019,Q1,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2019,Q2,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2019,Q3,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2019,Q4,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2020,Q1,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2020,Q2,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2020,Q3,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2020,Q4,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2021,Q1,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2021,Q2,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2021,Q3,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2021,Q4,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2022,Q1,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2022,Q2,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2022,Q3,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2022,Q4,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2023,Q1,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2023,Q2,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2023,Q3,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2023,Q4,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2024,Q1,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2024,Q2,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2024,Q3,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2024,Q4,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2025,Q1,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2025,Q2,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2025,Q3,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2025,Q4,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2026,Q1,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2026,Q2,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2026,Q3,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
2026,Q4,TWSE;TPEx,0,blocked_security_or_route_unresolved,blocked
