attempt_id,source,query_url,method,params,target_year,target_period,http_code,content_type,stat,date_field_detected,source_date,row_count,retrieved_path,acceptance_decision,error
altered_2015,TPEx official API,https://www.tpex.org.tw/www/zh-tw/afterTrading/chtm,POST,date=2015/01/05&response=json,2015,2015-sample,200,application/json,ok,yes,2015-01-05,36,raw_sources/probe_responses/altered_2015.json,accepted_status_snapshot_rows,
altered_2018,TPEx official API,https://www.tpex.org.tw/www/zh-tw/afterTrading/chtm,POST,date=2018/01/05&response=json,2018,2018-sample,200,application/json,ok,yes,2018-01-05,34,raw_sources/probe_responses/altered_2018.json,accepted_status_snapshot_rows,
altered_2021,TPEx official API,https://www.tpex.org.tw/www/zh-tw/afterTrading/chtm,POST,date=2021/01/05&response=json,2021,2021-sample,200,application/json,ok,yes,2021-01-05,37,raw_sources/probe_responses/altered_2021.json,accepted_status_snapshot_rows,
altered_2025,TPEx official API,https://www.tpex.org.tw/www/zh-tw/afterTrading/chtm,POST,date=2025/01/05&response=json,2025,2025-sample,200,application/json,ok,yes,2025-01-05,0,raw_sources/probe_responses/altered_2025.json,route_evidence_only,
anndownload_2015,TPEx official API,https://www.tpex.org.tw/www/zh-tw/bulletin/annDownload,POST,startDate=2015/01/01&endDate=2015/01/31&response=json,2015,2015-sample,200,application/json,ok,yes,20150101~20150131,20,raw_sources/probe_responses/anndownload_2015.json,route_evidence_only_not_master,
anndownload_2018,TPEx official API,https://www.tpex.org.tw/www/zh-tw/bulletin/annDownload,POST,startDate=2018/01/01&endDate=2018/01/31&response=json,2018,2018-sample,200,application/json,ok,yes,20180101~20180131,22,raw_sources/probe_responses/anndownload_2018.json,route_evidence_only_not_master,
anndownload_2021,TPEx official API,https://www.tpex.org.tw/www/zh-tw/bulletin/annDownload,POST,startDate=2021/01/01&endDate=2021/01/31&response=json,2021,2021-sample,200,application/json,ok,yes,20210101~20210131,20,raw_sources/probe_responses/anndownload_2021.json,route_evidence_only_not_master,
anndownload_2025,TPEx official API,https://www.tpex.org.tw/www/zh-tw/bulletin/annDownload,POST,startDate=2025/01/01&endDate=2025/01/31&response=json,2025,2025-sample,200,application/json,ok,yes,20250101~20250131,17,raw_sources/probe_responses/anndownload_2025.json,route_evidence_only_not_master,
attention_2015,TPEx official API,https://www.tpex.org.tw/www/zh-tw/bulletin/attention,POST,startDate=2015/01/01&endDate=2015/01/31&type=all&order=date&response=json,2015,2015-sample,200,application/json,ok,yes,20150101~20150131,53,raw_sources/probe_responses/attention_2015.json,route_evidence_only_not_master,
attention_2018,TPEx official API,https://www.tpex.org.tw/www/zh-tw/bulletin/attention,POST,startDate=2018/01/01&endDate=2018/01/31&type=all&order=date&response=json,2018,2018-sample,200,application/json,ok,yes,20180101~20180131,109,raw_sources/probe_responses/attention_2018.json,route_evidence_only_not_master,
attention_2021,TPEx official API,https://www.tpex.org.tw/www/zh-tw/bulletin/attention,POST,startDate=2021/01/01&endDate=2021/01/31&type=all&order=date&response=json,2021,2021-sample,200,application/json,ok,yes,20210101~20210131,225,raw_sources/probe_responses/attention_2021.json,route_evidence_only_not_master,
attention_2025,TPEx official API,https://www.tpex.org.tw/www/zh-tw/bulletin/attention,POST,startDate=2025/01/01&endDate=2025/01/31&type=all&order=date&response=json,2025,2025-sample,200,application/json,ok,yes,20250101~20250131,138,raw_sources/probe_responses/attention_2025.json,route_evidence_only_not_master,
delisted_2015,TPEx official API,https://www.tpex.org.tw/www/zh-tw/company/deListed,POST,code=&date=2015&reason=&response=json&paging-offset=0&paging-size=1000,2015,2015-sample,200,application/json,ok,yes,2015,7,raw_sources/probe_responses/delisted_2015.json,accepted_listing_metadata_rows,
