source,route,method,url,target_period,http_code,content_type,status,row_count,retrieved_path,has_share_or_market_cap_field,acceptance_decision,error
TWSE/OpenAPI,twse_openapi_swagger,GET,https://openapi.twse.com.tw/v1/swagger.json,2015/2024/2026 sample or latest,200,application/json,fetched,,raw_sources\twse_openapi_swagger.txt,true,rejected_current_snapshot_or_no_per_stock_market_cap,
TWSE/OpenAPI,twse_stock_day_all_latest,GET,https://openapi.twse.com.tw/v1/exchangeReport/STOCK_DAY_ALL,2015/2024/2026 sample or latest,200,application/json,fetched,,raw_sources\twse_stock_day_all_latest.txt,true,rejected_current_snapshot_or_no_per_stock_market_cap,
TWSE/OpenAPI,twse_mi_index_sample_2015,GET,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20150105&type=ALLBUT0999&response=json,2015/2024/2026 sample or latest,200,application/json;charset=UTF-8,fetched,,raw_sources\twse_mi_index_sample_2015.txt,false,rejected_current_snapshot_or_no_per_stock_market_cap,
TWSE/OpenAPI,twse_mi_index_sample_2024,GET,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20240701&type=ALLBUT0999&response=json,2015/2024/2026 sample or latest,200,application/json;charset=UTF-8,fetched,,raw_sources\twse_mi_index_sample_2024.txt,false,rejected_current_snapshot_or_no_per_stock_market_cap,
TWSE/OpenAPI,twse_mi_index_sample_2026,GET,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20260702&type=ALLBUT0999&response=json,2015/2024/2026 sample or latest,200,application/json;charset=UTF-8,fetched,,raw_sources\twse_mi_index_sample_2026.txt,true,rejected_current_snapshot_or_no_per_stock_market_cap,
TWSE/OpenAPI,twse_mi_index_ms_2024,GET,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20240701&type=MS&response=json,2015/2024/2026 sample or latest,200,application/json;charset=UTF-8,fetched,,raw_sources\twse_mi_index_ms_2024.txt,false,rejected_current_snapshot_or_no_per_stock_market_cap,
TWSE/OpenAPI,twse_t187ap03_L_current,GET,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2015/2024/2026 sample or latest,200,application/json,fetched,,raw_sources\twse_t187ap03_L_current.txt,true,rejected_current_snapshot_or_no_per_stock_market_cap,
TWSE/OpenAPI,twse_t187ap08_L_current,GET,https://openapi.twse.com.tw/v1/opendata/t187ap08_L,2015/2024/2026 sample or latest,200,application/json,fetched,,raw_sources\twse_t187ap08_L_current.txt,false,rejected_current_snapshot_or_no_per_stock_market_cap,
TWSE/OpenAPI,twse_fund_mi_qfiis_sort_20_current,GET,https://openapi.twse.com.tw/v1/fund/MI_QFIIS_sort_20,2015/2024/2026 sample or latest,200,application/json,fetched,,raw_sources\twse_fund_mi_qfiis_sort_20_current.txt,true,rejected_current_snapshot_or_no_per_stock_market_cap,
MOPS,ajax_t163sb05_redirectToOld,POST,https://mops.twse.com.tw/mops/api/redirectToOld,2015Q4,200,application/json;charset=UTF-8,redirect_url_generated,,raw_sources\t163sb05_sii_104q04_redirect.json,capital_stock_expected,probe_redirect,
MOPS,ajax_t163sb05_data_url,GET,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05?parameters=0eb65210d5bdc34ea16e295ccdbad1093682cd6db4c604dcb7d6dba6420be40265faf210140df5242aa5cd204feb0145b364626a8ce95b2818b6edbe6a3b17fcb4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,2015Q4,200,text/html; charset=UTF-8,parsed_capital_stock_rows,240,raw_sources\t163sb05_sii_104q04_response.html,capital_stock,accepted_capital_stock_sample,
MOPS,ajax_t163sb05_redirectToOld,POST,https://mops.twse.com.tw/mops/api/redirectToOld,2024Q4,200,application/json;charset=UTF-8,redirect_url_generated,,raw_sources\t163sb05_sii_113q04_redirect.json,capital_stock_expected,probe_redirect,
MOPS,ajax_t163sb05_data_url,GET,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05?parameters=0eb65210d5bdc34ea16e295ccdbad1090f047490e2301f1ba68b34164525fa5065faf210140df5242aa5cd204feb0145b364626a8ce95b2818b6edbe6a3b17fcb4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,2024Q4,200,text/html; charset=UTF-8,parsed_capital_stock_rows,240,raw_sources\t163sb05_sii_113q04_response.html,capital_stock,accepted_capital_stock_sample,
MOPS,ajax_t163sb05_redirectToOld,POST,https://mops.twse.com.tw/mops/api/redirectToOld,2026Q1,200,application/json;charset=UTF-8,redirect_url_generated,,raw_sources\t163sb05_sii_115q01_redirect.json,capital_stock_expected,probe_redirect,
MOPS,ajax_t163sb05_data_url,GET,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05?parameters=0eb65210d5bdc34ea16e295ccdbad1098071084b1d15b7c2be8059c3409a337965faf210140df5242aa5cd204feb01454cfcee0014abbd5298e3b47bc21f4be9b4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,2026Q1,200,text/html; charset=UTF-8,parsed_capital_stock_rows,240,raw_sources\t163sb05_sii_115q01_response.html,capital_stock,accepted_capital_stock_sample,
