family,publication_date,ticker,status,filtered_rows,http_status,response_bytes,source_url,source_hash,retrieval_time_utc,error
tdcc,2025-07-25,2308,accepted,15,200,76794,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,270ccc5c6374332541c05ef9a16b10b979adf5c777545901f6b1b0df3d311198,2026-07-21T11:10:28+00:00,
tdcc,2025-07-25,2317,accepted,16,200,77488,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,f2454f78c6d050d8a1d9d8156d004468000f6c000024a3ae581079e9c7f70564,2026-07-21T11:10:29+00:00,
tdcc,2025-07-25,2382,accepted,16,200,77456,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,b7b3d880528acf367f95b8eff03b4473c7bd5c9b1b614ccc63d2c41b60e6ef67,2026-07-21T11:10:29+00:00,
tdcc,2025-07-25,3231,accepted,16,200,77461,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,219c12c57dcda59f1de7d5fcac1146ceb793980c70d2c65cd9656e1da5379b37,2026-07-21T11:10:29+00:00,
tdcc,2025-08-01,2308,accepted,15,200,76794,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,7cd8428356849f724e9f2bca22071c8cc97f09040cad3b7407c67960a638072a,2026-07-21T11:10:30+00:00,
tdcc,2025-08-01,2330,accepted,16,200,77496,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,1b37e477bf4a54ccd66c98155e1535f96a8b999c149b55a43f208516633bcf15,2026-07-21T11:10:30+00:00,
tdcc,2025-08-01,2382,accepted,15,200,76804,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,ceba9bd1bf072203fd17e8624ee8caef8f96b218c674f3d872b2560437e340d9,2026-07-21T11:10:30+00:00,
tdcc,2025-08-01,2454,accepted,15,200,76797,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,9b31021171333b9e7f5887fda66f3f7257bb3810e5efd49c889fea2d9c7c31cd,2026-07-21T11:10:31+00:00,
tdcc,2025-08-01,3231,accepted,16,200,77464,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,3064586da46460bb409f559a51b7bb75f596c8eb3c90585f2eb2cfcd271170d8,2026-07-21T11:10:31+00:00,
tdcc,2025-08-01,6669,accepted,16,200,77424,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,1d2578f1fbeae9b88671ad0d43c154d28a9a4bca1aff56cc5d8b41d927fce082,2026-07-21T11:10:31+00:00,
tdcc,2025-08-08,2317,accepted,16,200,77491,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,2a3e763fbdf3bf5d7f77bc98ed430101f7b604856ef77bec57ac2c07b6dd8bbd,2026-07-21T11:10:32+00:00,
tdcc,2025-08-08,2382,accepted,16,200,77461,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,691ccc42fd7d780b03a8d3b3fd1cd390bcaff0dbf8a90a4a3156e9c22b158663,2026-07-21T11:10:32+00:00,
tdcc,2025-08-08,2454,accepted,16,200,77452,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,69b26dbe14a5be978f06bad2acf3129eb7df5e10da93af844403c4363b2b0a77,2026-07-21T11:10:32+00:00,
tdcc,2025-08-08,3231,accepted,15,200,76809,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,a48cef6068104b31cfcac0b3bca6a92cf6d3f1775220e5d5377c54c383a79664,2026-07-21T11:10:34+00:00,
tdcc,2025-08-08,6669,accepted,16,200,77425,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,272b4aa3df217fffa1657677344cd2bddb6275b8d560e76a0205e6e124b4faf3,2026-07-21T11:10:34+00:00,
tdcc,2025-08-15,2330,accepted,16,200,77495,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,73c1e44736639b83e86fa7109ef96305701d3ce4e7cc027109a639ff3fb3f260,2026-07-21T11:10:34+00:00,
tdcc,2025-08-15,2382,accepted,16,200,77459,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,a34223adeea9a5306b58242dfe57bae5122118c22a94d4407ec3dee00f6b5c0e,2026-07-21T11:10:35+00:00,
tdcc,2025-08-15,2454,accepted,15,200,76797,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,2f87d31696c874204181834d0e4257464d5c5c2634264975a5ebbea653075633,2026-07-21T11:10:35+00:00,
tdcc,2025-08-22,2308,accepted,15,200,76796,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,7de65a382ec3ffa7cbec702a0e19fd0ddfb3fec811a688d50fc47e9c7e9ef497,2026-07-21T11:10:36+00:00,
tdcc,2025-08-22,2382,accepted,15,200,76805,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,421c60146eb49f101a229fa49453af1aeb2dc70997260fc74872489f1ec31f39,2026-07-21T11:10:36+00:00,
tdcc,2025-08-22,2454,accepted,15,200,76797,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,a1049dd4ae5a954ac6541ad7f7619fc94c71fe27328559533329c729796e8480,2026-07-21T11:10:37+00:00,
tdcc,2025-08-22,3231,accepted,15,200,76809,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,502a4fd07e8f2328b357839dbc067a63225db2e8e14eb452fc2a0b4f16f4d943,2026-07-21T11:10:37+00:00,
