date,ticker,code,name,market,open,high,low,close,volume,turnover_value,adjusted_close,adjusted_close_available,source_date,source_url,source_route,source_type,formal_exact
2024-01-02,8299.TWO,8299,群聯,TPEx,521.0,527.0,512.0,514.0,1533066,796744191,,false,2024-01-02,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2024/01/02&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
2024-01-03,8299.TWO,8299,群聯,TPEx,511.0,511.0,490.0,498.5,3692535,1835648797,,false,2024-01-03,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2024/01/03&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
2024-01-04,8299.TWO,8299,群聯,TPEx,499.5,510.0,493.5,498.5,2122183,1061408745,,false,2024-01-04,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2024/01/04&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
2024-01-05,8299.TWO,8299,群聯,TPEx,500.0,507.0,495.5,499.5,1260460,629665936,,false,2024-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2024/01/05&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
2024-01-08,8299.TWO,8299,群聯,TPEx,505.0,506.0,496.0,497.0,1054691,526634563,,false,2024-01-08,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2024/01/08&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
2024-01-09,8299.TWO,8299,群聯,TPEx,503.0,505.0,491.0,495.0,983472,487117118,,false,2024-01-09,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2024/01/09&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
2024-01-10,8299.TWO,8299,群聯,TPEx,495.0,496.0,491.0,494.0,1066620,526062617,,false,2024-01-10,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2024/01/10&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
2024-01-11,8299.TWO,8299,群聯,TPEx,499.0,499.0,480.0,489.0,2560263,1246501194,,false,2024-01-11,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2024/01/11&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
2024-01-12,8299.TWO,8299,群聯,TPEx,488.0,489.5,481.0,482.0,1516916,733227792,,false,2024-01-12,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2024/01/12&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
2024-01-15,8299.TWO,8299,群聯,TPEx,488.0,527.0,487.5,516.0,4577925,2337975468,,false,2024-01-15,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2024/01/15&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
