package,candidate_files,candidate_size_mb,estimated_compressed_mb,delete_allowed,compress_executed,move_executed,approval_required,source_audit_relative_path
radar_0050_pit_missing_price_coverage_4tickers_20260629,213,1.327756,0.331888,False,False,False,True,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629
radar_dynamic_pool1_all_listed_liquid_universe_pit_daily_20260703,41,34.539353,8.634824,False,False,False,True,outputs/radar_dynamic_pool1_all_listed_liquid_universe_pit_daily_20260703
radar_dynamic_pool1_market_cap_pit_20260703,31,9.24227,2.310555,False,False,False,True,outputs/radar_dynamic_pool1_market_cap_pit_20260703
radar_dynamic_pool1_mops_document_extraction_v1_20260704,67,73.712731,66.271138,False,False,False,True,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704
radar_dynamic_pool1_mops_mainline_evidence_ledger_20260704,22,1.096423,0.274096,False,False,False,True,outputs/radar_dynamic_pool1_mops_mainline_evidence_ledger_20260704
radar_dynamic_pool1_pit_source_acquisition_20260703,14,0.045935,0.011479,False,False,False,True,outputs/radar_dynamic_pool1_pit_source_acquisition_20260703
radar_dynamic_pool1_quarterly_fundamentals_route_unlock_20260703,31,7.26649,1.982492,False,False,False,True,outputs/radar_dynamic_pool1_quarterly_fundamentals_route_unlock_20260703
radar_dynamic_pool1_sector_mainline_pit_full_sweep_and_tpex_reverse_20260703,39,49.695343,12.423827,False,False,False,True,outputs/radar_dynamic_pool1_sector_mainline_pit_full_sweep_and_tpex_reverse_20260703
radar_dynamic_pool1_sector_mainline_pit_source_package_20260703,110,3.520067,0.879983,False,False,False,True,outputs/radar_dynamic_pool1_sector_mainline_pit_source_package_20260703
radar_dynamic_pool1_tpex_static_reverse_archive_probe_20260703,64,0.964087,0.33216,False,False,False,True,outputs/radar_dynamic_pool1_tpex_static_reverse_archive_probe_20260703
radar_dynamic_pool1_twse_market_cap_route_20260703,39,8.71433,2.17857,False,False,False,True,outputs/radar_dynamic_pool1_twse_market_cap_route_20260703
radar_tw50_0050_archived_html_crawler_201411_202312_20260629,97,80.892474,20.236444,False,False,False,True,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629
radar_tw50_0050_archived_html_crawler_201411_202312_20260629,97,80.892474,20.236444,False,False,False,True,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629
radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629,439,59.911576,35.580097,False,False,False,True,outputs/radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629
radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629,439,59.911576,35.580097,False,False,False,True,outputs/radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629
radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629,103,9.955709,2.488884,False,False,False,True,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629
radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629,103,9.955709,2.488884,False,False,False,True,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629
radar_tw50_0050_endpoint_post_probe_phase5_201411_202312_20260629,140,5.589285,2.986025,False,False,False,True,outputs/radar_tw50_0050_endpoint_post_probe_phase5_201411_202312_20260629
radar_tw50_0050_endpoint_post_probe_phase5_201411_202312_20260629,140,5.589285,2.986025,False,False,False,True,outputs/radar_tw50_0050_endpoint_post_probe_phase5_201411_202312_20260629
radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629,656,76.514114,29.644378,False,False,False,True,outputs/radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629
radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629,656,76.514114,29.644378,False,False,False,True,outputs/radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629
radar_tw50_0050_historical_source_download_201411_202312_20260629,16,0.074576,0.037971,False,False,False,True,outputs/radar_tw50_0050_historical_source_download_201411_202312_20260629
radar_tw50_0050_historical_source_download_201411_202312_20260629,16,0.074576,0.037971,False,False,False,True,outputs/radar_tw50_0050_historical_source_download_201411_202312_20260629
radar_tw50_0050_manual_pit_ledger_phase2_20260629,12,0.019258,0.00481,False,False,False,True,outputs/radar_tw50_0050_manual_pit_ledger_phase2_20260629
radar_tw50_0050_session_replay_phase6_201411_202312_20260629,63,0.488267,0.122047,False,False,False,True,outputs/radar_tw50_0050_session_replay_phase6_201411_202312_20260629
radar_tw50_0050_session_replay_phase6_201411_202312_20260629,63,0.488267,0.122047,False,False,False,True,outputs/radar_tw50_0050_session_replay_phase6_201411_202312_20260629
radar_tw50_pit_source_acquisition_201411_202312_20260629,10,0.010119,0.002527,False,False,False,True,outputs/radar_tw50_pit_source_acquisition_201411_202312_20260629
