source_id,raw_file_path,source_url_or_reference,document_date,covered_effective_start,covered_effective_end,source_type,archive_status,checksum_sha256,notes
2014Q4_yuanta_etfapi_product_0050_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_etfapi_product_0050_direct.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2014-12-31,2014-12-31,api_payload,downloaded_payload_candidate,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,attempt_type=direct; content_type=text/html; row_count=0
2014Q4_yuanta_etfapi_product_0050_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_etfapi_product_0050_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetETFInfo%3Ffundid%3D0050&timestamp=20141231,2014-12-31,2014-12-31,2014-12-31,api_payload,downloaded_payload_candidate,3200304c8900c98293a32b5dd2b42ceb5a84b0ef7dfa796d942d4da9baf8214a,attempt_type=wayback_available; content_type=application/json; row_count=0
2014Q4_yuanta_etfapi_ratio_0050_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_etfapi_ratio_0050_direct.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2014-12-31,2014-12-31,api_payload,downloaded_payload_candidate,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,attempt_type=direct; content_type=text/html; row_count=0
2014Q4_yuanta_etfapi_pcf_0050_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_etfapi_pcf_0050_direct.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2014-12-31,2014-12-31,api_payload,downloaded_payload_candidate,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,attempt_type=direct; content_type=text/html; row_count=0
2014Q4_yuanta_etfapi_pcf_0050_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_etfapi_pcf_0050_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetPCF%3Ffundid%3D0050&timestamp=20141231,2014-12-31,2014-12-31,2014-12-31,api_payload,downloaded_payload_candidate,008276b540f2bd695708b696053e463d4005a6f55634e7161d3b623e29850bad,attempt_type=wayback_available; content_type=application/json; row_count=0
2014Q4_yuanta_etfapi_file_downloads_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_etfapi_file_downloads_direct.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2014-12-31,2014-12-31,api_payload,downloaded_payload_candidate,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,attempt_type=direct; content_type=text/html; row_count=0
2014Q4_yuanta_etfapi_file_downloads_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_etfapi_file_downloads_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetFileDownload%3Ffundid%3D0050&timestamp=20141231,2014-12-31,2014-12-31,2014-12-31,api_payload,downloaded_payload_candidate,8e470d2a157415b970f2043b1e7f59273f81ba92f1e4719d1d27a512043e2d63,attempt_type=wayback_available; content_type=application/json; row_count=0
2014Q4_yuanta_etfapi_product_list_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_etfapi_product_list_direct.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2014-12-31,2014-12-31,api_payload,downloaded_payload_candidate,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,attempt_type=direct; content_type=text/html; row_count=0
2014Q4_yuanta_etfapi_product_list_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_etfapi_product_list_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetETFList&timestamp=20141231,2014-12-31,2014-12-31,2014-12-31,api_payload,downloaded_payload_candidate,c9920d441a18bbdabf01e09cfa24c490f58f3c0e8f0bb4ccb47c02d724c44bdb,attempt_type=wayback_available; content_type=application/json; row_count=0
2014Q4_yuanta_current_ratio_page_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_current_ratio_page_direct.html,https://www.yuantaetfs.com/product/detail/0050/ratio,2026-06-29,2014-12-31,2014-12-31,html_payload,downloaded_payload_candidate,077a2935929c7bbb7d9050c543e6589c92a2dd159868f9aa8319053cf1f6a903,attempt_type=direct; content_type=text/html; charset=utf-8; row_count=0
