source,target_period,url,attempt_type,status,http_code,content_type,bytes,error,retrieved_path,notes
yuanta_0050_monthly,2014Q4,https://www.yuantafunds.com/fund/download/1066元大台灣卓越50基金月報.pdf,direct_official_fixed_url,http_ok,200,application/pdf,425671,,,Rolling/current official URL probe only; never accepted as historical without dated archive.
yuanta_0050_monthly,2014Q4,https://archive.org/wayback/available?url=https%3A%2F%2Fwww.yuantafunds.com%2Ffund%2Fdownload%2F1066%E5%85%83%E5%A4%A7%E5%8F%B0%E7%81%A3%E5%8D%93%E8%B6%8A50%E5%9F%BA%E9%87%91%E6%9C%88%E5%A0%B1.pdf&timestamp=20141231,wayback_available,http_ok,200,application/json,447,,,closest_timestamp=20190911222053; closest_status=200; closest_url=http://web.archive.org/web/20190911222053/https://www.yuantafunds.com/fund/download/1066%E5%85%83%E5%A4%A7%E5%8F%B0%E7%81%A3%E5%8D%93%E8%B6%8A50%E5%9F%BA%E9%87%91%E6%9C%88%E5%A0%B1.pdf
yuanta_0050_monthly,2014Q4,https://web.archive.org/web/20141231id_/https://www.yuantafunds.com/fund/download/1066元大台灣卓越50基金月報.pdf,wayback_direct_timestamp,error,,,0,"ReadTimeout: HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=6)",,
yuanta_0050_monthly,2014Q4,"https://web.archive.org/cdx?url=https%3A%2F%2Fwww.yuantafunds.com%2Ffund%2Fdownload%2F1066%E5%85%83%E5%A4%A7%E5%8F%B0%E7%81%A3%E5%8D%93%E8%B6%8A50%E5%9F%BA%E9%87%91%E6%9C%88%E5%A0%B1.pdf&from=201412&to=201512&output=json&fl=timestamp,original,statuscode,mimetype,digest&filter=statuscode:200&limit=5",wayback_cdx_bounded,error,,,0,"ReadTimeout: HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=6)",,
yuanta_domestic_quarterly_holdings,2014Q4,https://www.yuantafunds.com/fund/download/元大國內基金季持股.pdf,direct_official_fixed_url,http_ok,200,application/pdf,542696,,,Rolling/current official URL probe only; never accepted as historical without dated archive.
yuanta_domestic_quarterly_holdings,2014Q4,https://archive.org/wayback/available?url=https%3A%2F%2Fwww.yuantafunds.com%2Ffund%2Fdownload%2F%E5%85%83%E5%A4%A7%E5%9C%8B%E5%85%A7%E5%9F%BA%E9%87%91%E5%AD%A3%E6%8C%81%E8%82%A1.pdf&timestamp=20141231,wayback_available,http_ok,200,application/json,162,,,closest_timestamp=; closest_status=; closest_url=
yuanta_domestic_quarterly_holdings,2014Q4,https://web.archive.org/web/20141231id_/https://www.yuantafunds.com/fund/download/元大國內基金季持股.pdf,wayback_direct_timestamp,error,,,0,"ReadTimeout: HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=6)",,
yuanta_domestic_quarterly_holdings,2014Q4,"https://web.archive.org/cdx?url=https%3A%2F%2Fwww.yuantafunds.com%2Ffund%2Fdownload%2F%E5%85%83%E5%A4%A7%E5%9C%8B%E5%85%A7%E5%9F%BA%E9%87%91%E5%AD%A3%E6%8C%81%E8%82%A1.pdf&from=201412&to=201512&output=json&fl=timestamp,original,statuscode,mimetype,digest&filter=statuscode:200&limit=5",wayback_cdx_bounded,error,,,0,"ReadTimeout: HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=6)",,
yuanta_0050_monthly,2016Q1,https://www.yuantafunds.com/fund/download/1066元大台灣卓越50基金月報.pdf,direct_official_fixed_url,http_ok,200,application/pdf,425671,,,Rolling/current official URL probe only; never accepted as historical without dated archive.
yuanta_0050_monthly,2016Q1,https://archive.org/wayback/available?url=https%3A%2F%2Fwww.yuantafunds.com%2Ffund%2Fdownload%2F1066%E5%85%83%E5%A4%A7%E5%8F%B0%E7%81%A3%E5%8D%93%E8%B6%8A50%E5%9F%BA%E9%87%91%E6%9C%88%E5%A0%B1.pdf&timestamp=20160331,wayback_available,http_ok,200,application/json,174,,,closest_timestamp=; closest_status=; closest_url=
