source_id,raw_file_path,source_url_or_reference,document_date,covered_effective_start,covered_effective_end,source_type,archive_status,checksum_sha256,notes
sitca_in2421_initial_get,outputs/radar_tw50_0050_session_replay_phase6_201411_202312_20260629/raw_sources/sitca_in2421_initial_get.html,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,,,,sitca_form_page,downloaded,6fb49805f617a8c86a95e7b678f521db1c556240c54a196d6ab353e31e082962,"cookies={'ASP.NET_SessionId': 'k0t2yreqalvbtc4lzekzku4z', 'TS01db4458': '01edb70dd92028d0f35a4a832a48aab0a1915e4150ddeca7d24ae4fcff5f8b8dcb75bde52ac2925edb2fe13d860a3a1f98ebb6bb2ec9bd92e199dc78b580961e72f5bd02e3'}"
2014Q4_exact_api_0,outputs/radar_tw50_0050_session_replay_phase6_201411_202312_20260629/raw_sources/2014Q4_exact_api_0.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2014-12-31,2014-12-31,exact_api_probe,downloaded,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,rows=0
2014Q4_exact_api_1,outputs/radar_tw50_0050_session_replay_phase6_201411_202312_20260629/raw_sources/2014Q4_exact_api_1.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2014-12-31,2014-12-31,exact_api_probe,downloaded,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,rows=0
2014Q4_exact_api_2,outputs/radar_tw50_0050_session_replay_phase6_201411_202312_20260629/raw_sources/2014Q4_exact_api_2.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2014-12-31,2014-12-31,exact_api_probe,downloaded,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,rows=0
2014Q4_exact_api_3,outputs/radar_tw50_0050_session_replay_phase6_201411_202312_20260629/raw_sources/2014Q4_exact_api_3.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2014-12-31,2014-12-31,exact_api_probe,downloaded,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,rows=0
2014Q4_exact_api_4,outputs/radar_tw50_0050_session_replay_phase6_201411_202312_20260629/raw_sources/2014Q4_exact_api_4.json,https://etfapi.yuantaetfs.com/ECImage/ETFBackstage/file/offline.json?fundid=0050&date=2014-12-31,,2014-12-31,2014-12-31,exact_api_probe,downloaded,8e8057a8f49c410d56829919961e083652cbde7e2be7e7b87a720e7b9e21dcc3,rows=0
2014Q4_exact_api_5,outputs/radar_tw50_0050_session_replay_phase6_201411_202312_20260629/raw_sources/2014Q4_exact_api_5.json,https://etfapi.yuantaetfs.com/ECImage/ETFBackstage/file/offline.json?fundid=0050&month=201412,,2014-12-31,2014-12-31,exact_api_probe,downloaded,8e8057a8f49c410d56829919961e083652cbde7e2be7e7b87a720e7b9e21dcc3,rows=0
2014Q4_exact_api_6,outputs/radar_tw50_0050_session_replay_phase6_201411_202312_20260629/raw_sources/2014Q4_exact_api_6.html,https://etfapi.yuantaetfs.com/ectranslation?fundid=0050&date=2014-12-31,,2014-12-31,2014-12-31,exact_api_probe,downloaded,47406b79c8c332f376324301d5eb9775d16c146880c579b979ac27ea30597245,rows=0
2014Q4_exact_api_7,outputs/radar_tw50_0050_session_replay_phase6_201411_202312_20260629/raw_sources/2014Q4_exact_api_7.html,https://etfapi.yuantaetfs.com/ectranslation?fundid=0050&month=201412,,2014-12-31,2014-12-31,exact_api_probe,downloaded,47406b79c8c332f376324301d5eb9775d16c146880c579b979ac27ea30597245,rows=0
2014Q4_exact_api_8,outputs/radar_tw50_0050_session_replay_phase6_201411_202312_20260629/raw_sources/2014Q4_exact_api_8.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2014-12-31,2014-12-31,exact_api_probe,downloaded,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,rows=0
