ticker,market,report_period,market_available_at,announcement_time,after_close_policy,required_core_fields,field_available_in_source_package,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1101,TWSE,115Q1,115/05/13 19:18:38,19:18:38,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
1101,TWSE,114Q4,115/03/11 19:21:45,19:21:45,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
1216,TWSE,115Q1,115/05/07 16:40:30,16:40:30,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
1216,TWSE,114Q4,115/03/05 17:12:10,17:12:10,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
1301,TWSE,115Q1,115/05/13 15:37:52,15:37:52,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
1301,TWSE,114Q4,115/03/06 17:05:08,17:05:08,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
2330,TWSE,115Q1,115/05/12 18:33:04,18:33:04,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
2330,TWSE,114Q4,115/02/10 18:16:19,18:16:19,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
2308,TWSE,115Q1,115/04/29 17:36:13,17:36:13,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
2308,TWSE,114Q4,115/02/25 18:50:01,18:50:01,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
2317,TWSE,115Q1,115/05/14 14:15:12,14:15:12,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
2317,TWSE,114Q4,115/03/16 14:15:14,14:15:14,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
2454,TWSE,115Q1,115/04/30 17:58:34,17:58:34,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
2454,TWSE,114Q4,115/02/26 17:08:56,17:08:56,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
2881,TWSE,115Q1,115/05/21 17:54:45,17:54:45,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
2881,TWSE,114Q4,115/03/12 16:40:19,16:40:19,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
2882,TWSE,115Q1,115/05/14 17:43:48,17:43:48,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
2882,TWSE,114Q4,115/03/11 16:26:16,16:26:16,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
3008,TWSE,115Q1,,,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",False,False,False,False,False,False,False,True,False
