ticker,market,report_period,announcement_date,announcement_time,subject,match_policy,accepted_as_official_market_available_at,detail_payload,detail_status,detail_text_excerpt,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
3008,TWSE,115Q1,115/04/10,15:44:06,公告本公司115年第1季合併財務報告董事會召開日期,relaxed_subject_policy_candidate,False,"{""enterDate"": ""1150410"", ""serialNumber"": ""1"", ""companyId"": ""3008"", ""marketKind"": ""sii""}",ok,1.董事會召集通知日:115/04/10 2.董事會預計召開日期:115/04/20 3.預計提報董事會或經董事會決議之財務報告或 年度自結財務資訊年季:115年第1季合併財務報告 4.其他應敘明事項:無 ,False,False,False,False,False,False,True,False
3008,TWSE,115Q1,115/04/20,16:56:28,公告本公司115年第1季合併財務報告,strict_subject,True,"{""enterDate"": ""1150420"", ""serialNumber"": ""10"", ""companyId"": ""3008"", ""marketKind"": ""sii""}",ok,"1.提報董事會或經董事會決議日期:115/04/20 2.審計委員會通過日期:115/04/20 3.財務報告或年度自結財務資訊報導期間 起訖日期(XXX/XX/XX~XXX/XX/XX):(115/01/01~115/03/31) 4.1月1日累計至本期止營業收入(仟元):15,544,079 5.1月1日累計至本期止營業毛利(毛損) (仟元):7,679,569 6.1月1日累計至本期止營業利益(損失) (仟元):5,812,218 7.1月1日累計至本期止稅前淨利(淨損) (仟元):7,287,959 8.1月1日累計至本期止本期淨利(淨損) (仟元):6,175,912 9.1月1日累",False,False,False,False,False,False,True,False
3008,TWSE,114Q4,115/02/11,14:30:11,公告本公司114年第4季合併財務報告董事會召開日期,relaxed_subject_policy_candidate,False,"{""enterDate"": ""1150211"", ""serialNumber"": ""1"", ""companyId"": ""3008"", ""marketKind"": ""sii""}",ok,1.董事會召集通知日:115/02/11 2.董事會預計召開日期:115/02/24 3.預計提報董事會或經董事會決議之財務報告或 年度自結財務資訊年季:114年第4季合併財務報告 4.其他應敘明事項:無 ,False,False,False,False,False,False,True,False
3008,TWSE,114Q4,115/02/24,15:54:12,公告本公司114年第4季合併財務報告,strict_subject,True,"{""enterDate"": ""1150224"", ""serialNumber"": ""2"", ""companyId"": ""3008"", ""marketKind"": ""sii""}",ok,"1.提報董事會或經董事會決議日期:115/02/24 2.審計委員會通過日期:115/02/24 3.財務報告或年度自結財務資訊報導期間 起訖日期(XXX/XX/XX~XXX/XX/XX):(114/01/01~114/12/31) 4.1月1日累計至本期止營業收入(仟元):61,147,888 5.1月1日累計至本期止營業毛利(毛損) (仟元):30,837,054 6.1月1日累計至本期止營業利益(損失) (仟元):23,558,264 7.1月1日累計至本期止稅前淨利(淨損) (仟元):25,900,210 8.1月1日累計至本期止本期淨利(淨損) (仟元):21,560,257 9.1",False,False,False,False,False,False,True,False
6669,TWSE,115Q1,115/04/29,16:47:18,"公告本公司115年第一季合併財務報告董事會預計召開日期
為115年5月7日",relaxed_subject_policy_candidate,False,"{""enterDate"": ""1150422"", ""serialNumber"": ""2"", ""companyId"": ""6669"", ""marketKind"": ""sii""}",ok,1.董事會召集通知日:115/04/29 2.董事會預計召開日期:115/05/07 3.預計提報董事會或經董事會決議之財務報告或 年度自結財務資訊年季:115年第一季合併財務報告 4.其他應敘明事項:無 ,False,False,False,False,False,False,True,False
6669,TWSE,115Q1,115/05/07,16:37:00,本公司董事會通過民國一一五年第一季合併財務報告,strict_subject,True,"{""enterDate"": ""1150504"", ""serialNumber"": ""2"", ""companyId"": ""6669"", ""marketKind"": ""sii""}",ok,"1.提報董事會或經董事會決議日期:115/05/07 2.審計委員會通過日期:115/05/07 3.財務報告或年度自結財務資訊報導期間 起訖日期(XXX/XX/XX~XXX/XX/XX):115/01/01-115/03/31 4.1月1日累計至本期止營業收入(仟元):276,507,734 5.1月1日累計至本期止營業毛利(毛損) (仟元):20,881,168 6.1月1日累計至本期止營業利益(損失) (仟元):17,458,392 7.1月1日累計至本期止稅前淨利(淨損) (仟元):17,934,386 8.1月1日累計至本期止本期淨利(淨損) (仟元):14,114,409 9.1月",False,False,False,False,False,False,True,False
6669,TWSE,114Q4,115/02/13,15:42:11,"公告本公司114年度個體暨合併財務報告董事會預計召開
日期為115年2月26日",relaxed_subject_policy_candidate,False,"{""enterDate"": ""1150203"", ""serialNumber"": ""1"", ""companyId"": ""6669"", ""marketKind"": ""sii""}",ok,1.董事會召集通知日:115/02/13 2.董事會預計召開日期:115/02/26 3.預計提報董事會或經董事會決議之財務報告或 年度自結財務資訊年季:114年度個體暨合併財務報告 4.其他應敘明事項:無 ,False,False,False,False,False,False,True,False
6669,TWSE,114Q4,115/02/26,16:24:47,本公司董事會通過民國一一四年第四季合併財務報告,strict_subject,True,"{""enterDate"": ""1150224"", ""serialNumber"": ""5"", ""companyId"": ""6669"", ""marketKind"": ""sii""}",ok,"1.提報董事會或經董事會決議日期:115/02/26 2.審計委員會通過日期:115/02/26 3.財務報告或年度自結財務資訊報導期間 起訖日期(XXX/XX/XX~XXX/XX/XX):114/01/01-114/12/31 4.1月1日累計至本期止營業收入(仟元):950,663,310 5.1月1日累計至本期止營業毛利(毛損) (仟元):78,454,023 6.1月1日累計至本期止營業利益(損失) (仟元):63,917,511 7.1月1日累計至本期止稅前淨利(淨損) (仟元):66,052,326 8.1月1日累計至本期止本期淨利(淨損) (仟元):51,118,163 9.1月",False,False,False,False,False,False,True,False
6187,TPEx,115Q1,115/04/30,21:05:38,本公司115年第1季財務報告董事會預計召開日期為115年05月08日,relaxed_subject_policy_candidate,False,"{""enterDate"": ""1150429"", ""serialNumber"": ""1"", ""companyId"": ""6187"", ""marketKind"": ""otc""}",ok,1.董事會召集通知日:115/04/30 2.董事會預計召開日期:115/05/08 3.預計提報董事會或經董事會決議之財務報告或年度自結財務資訊年季:  115年第1季 4.其他應敘明事項:無 ,False,False,False,False,False,False,True,False
6187,TPEx,115Q1,115/05/08,16:36:05,公告本公司董事會通過115年第一季合併財報,strict_subject,True,"{""enterDate"": ""1150508"", ""serialNumber"": ""2"", ""companyId"": ""6187"", ""marketKind"": ""otc""}",ok,"1.提報董事會或經董事會決議日期:115/05/08 2.審計委員會通過日期:115/05/08 3.財務報告或年度自結財務資訊報導期間 起訖日期(XXX/XX/XX~XXX/XX/XX):115/01/01~115/03/31 4.1月1日累計至本期止營業收入(仟元):1,411,444 5.1月1日累計至本期止營業毛利(毛損) (仟元):730,854 6.1月1日累計至本期止營業利益(損失) (仟元):327,768 7.1月1日累計至本期止稅前淨利(淨損) (仟元):387,125 8.1月1日累計至本期止本期淨利(淨損) (仟元):319,925 9.1月1日累計至本期止歸屬於母公司",False,False,False,False,False,False,True,False
6187,TPEx,115Q1,115/05/08,20:06:03,公告本公司董事會重要決議,strict_detail,True,"{""enterDate"": ""1150508"", ""serialNumber"": ""3"", ""companyId"": ""6187"", ""marketKind"": ""otc""}",ok,1.事實發生日:115/05/08 2.公司名稱:萬潤科技股份有限公司 3.與公司關係(請輸入本公司或子公司):本公司 4.相互持股比例:不適用 5.發生緣由:經本公司115/05/08董事會決議通過 (1)本公司115年第一季合併財務報告 (2)本公司國內第五次無擔保轉換公司債發行新股，並辦理股本變更登記 (3)本公司擬為子公司萬潤科技日本株式會社提供背書保證事宜 (4)本公司擬為子公司萬潤科技日本株式會社提供資金貸與事宜 (5)本公司擬為子公司三雄精密工業股份有限公司提供資金貸與事宜 (6)內部人薪資報酬調整 (7)114年度董事酬勞分配案 (8)審核提名115年股東常會之董事候選人資格案,False,False,False,False,False,False,True,False
6187,TPEx,114Q4,115/02/02,17:59:43,本公司114年第4季財務報告董事會預計召開日期為115年02月10日,relaxed_subject_policy_candidate,False,"{""enterDate"": ""1150202"", ""serialNumber"": ""1"", ""companyId"": ""6187"", ""marketKind"": ""otc""}",ok,1.董事會召集通知日:115/02/02 2.董事會預計召開日期:115/02/10 3.預計提報董事會或經董事會決議之財務報告或年度自結財務資訊年季:  114年第4季 4.其他應敘明事項:無 ,False,False,False,False,False,False,True,False
6187,TPEx,114Q4,115/02/10,18:46:33,公告本公司董事會重要決議,strict_detail,True,"{""enterDate"": ""1150210"", ""serialNumber"": ""2"", ""companyId"": ""6187"", ""marketKind"": ""otc""}",ok,1.事實發生日:115/02/10 2.公司名稱:萬潤科技股份有限公司 3.與公司關係(請輸入本公司或子公司):本公司 4.相互持股比例:不適用 5.發生緣由:經本公司115/02/10董事會決議通過 (1)本公司114年度營業報告書、個體財務報告暨合併財務報告 (2)本公司依內部自行檢查及稽核結果出具內部控制制度聲明書 (3)本公司114年度董事酬勞及員工酬勞分派案 (4)本公司114年度盈餘分配案 (5)本公司第十二屆董事改選案 (6)擬公告受理董事候選人提名之期間、應選名額、其受理處所及其他必要事項 (7)審核提名115年股東常會董事及獨立董事候選人資格案 (8)提請115年股東常會核准,False,False,False,False,False,False,True,False
6187,TPEx,114Q4,115/05/08,20:06:03,公告本公司董事會重要決議,strict_detail,True,"{""enterDate"": ""1150508"", ""serialNumber"": ""3"", ""companyId"": ""6187"", ""marketKind"": ""otc""}",ok,1.事實發生日:115/05/08 2.公司名稱:萬潤科技股份有限公司 3.與公司關係(請輸入本公司或子公司):本公司 4.相互持股比例:不適用 5.發生緣由:經本公司115/05/08董事會決議通過 (1)本公司115年第一季合併財務報告 (2)本公司國內第五次無擔保轉換公司債發行新股，並辦理股本變更登記 (3)本公司擬為子公司萬潤科技日本株式會社提供背書保證事宜 (4)本公司擬為子公司萬潤科技日本株式會社提供資金貸與事宜 (5)本公司擬為子公司三雄精密工業股份有限公司提供資金貸與事宜 (6)內部人薪資報酬調整 (7)114年度董事酬勞分配案 (8)審核提名115年股東常會之董事候選人資格案,False,False,False,False,False,False,True,False
