ticker,name,market,report_period,source_universe_quality,historical_pit_universe_ready,runner_scope,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1240,茂生農經,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
1240,茂生農經,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
1777,生泰,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
1777,生泰,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
2073,雄順,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
2073,雄順,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
2745,五福,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
2745,五福,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
3078,僑威,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
3078,僑威,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
3158,嘉實,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
3158,嘉實,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
3224,三顧,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
3224,三顧,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
3287,廣寰科,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
3287,廣寰科,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
3349,寶德,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
3349,寶德,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
3455,由田,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
3455,由田,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
3521,台鋼建設,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
3521,台鋼建設,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
3567,逸昌,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
3567,逸昌,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
3632,研勤,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
3632,研勤,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
4102,永日,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
