ticker,name,market,selected_signal_rows,required_start,required_end_with_exit_buffer,row_count,first_date,last_date,required_trading_date_count,missing_trading_date_count,unadjusted_open_close_path_ready,adjusted_close_available,adjusted_close_path_ready,source_quality,blocked_reason
1101,台泥,TWSE,0,2024-01-02,2026-06-05,583,2024-01-02,2026-06-05,586,3,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1216,統一,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1301,台塑,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1303,南亞,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1308,亞聚,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1314,中石化,TWSE,0,2024-01-02,2026-06-05,583,2024-01-02,2026-06-05,586,3,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1444,力麗,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1452,宏益,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1457,宜進,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1464,得力,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1503,士電,TWSE,3,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1504,東元,TWSE,3,2024-01-02,2026-06-05,583,2024-01-02,2026-06-05,586,3,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1513,中興電,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1514,亞力,TWSE,3,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1515,力山,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1519,華城,TWSE,3,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1522,堤維西,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1526,日馳,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1527,鑽全,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1536,和大,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1560,中砂,TWSE,6,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1569,濱川,TPEx,0,2024-01-02,2026-06-05,585,2024-01-02,2026-06-05,586,1,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1589,永冠-KY,TWSE,0,2024-01-02,2026-06-05,541,2024-01-02,2026-04-02,586,45,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1590,亞德客-KY,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
1597,直得,TWSE,3,2024-01-02,2026-06-05,582,2024-01-02,2026-06-05,586,4,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
