date,status,rows,http_status,response_bytes,source_url,source_hash,retrieval_time_utc,error
2015-01-05,accepted,372,200,38862,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade?date=2015%2F01%2F05&type=Daily&sect=EW&response=json,2d8bc767b7af04c3b908df74c83b83017455efca814f3ea503eabfd278f55834,2026-07-12T00:08:37+00:00,
2015-01-06,accepted,378,200,39899,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade?date=2015%2F01%2F06&type=Daily&sect=EW&response=json,81255d0b7da83e422e37eee4db48c3d29f5600dc78ac6cf7dd5294522a114da3,2026-07-12T00:08:37+00:00,
2015-01-07,accepted,374,200,39232,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade?date=2015%2F01%2F07&type=Daily&sect=EW&response=json,6a79a1a239796dab6b053cb2cc54f7113771220bb22ca10429f3080403347b84,2026-07-12T00:08:37+00:00,
2015-01-08,accepted,371,200,39196,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade?date=2015%2F01%2F08&type=Daily&sect=EW&response=json,5383a648416d874194679fa7fb06554f95d64b52240f84de7693ada362559488,2026-07-12T00:08:38+00:00,
2015-01-09,accepted,386,200,40425,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade?date=2015%2F01%2F09&type=Daily&sect=EW&response=json,b358ca67372d7b1af056cbf09a9dc03202be2a6263a268b9e0024e61f87f8b5b,2026-07-12T00:08:38+00:00,
2015-01-12,accepted,376,200,39773,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade?date=2015%2F01%2F12&type=Daily&sect=EW&response=json,eaf778c82aa3990d537e16181e3b4479cbd2a7e00bb4583febab1ca3221d47df,2026-07-12T00:08:38+00:00,
2015-01-13,accepted,375,200,39466,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade?date=2015%2F01%2F13&type=Daily&sect=EW&response=json,0a026effa3a8d4858dc3108526ab36bc8c775676ba10e03bff98610da160b59d,2026-07-12T00:08:38+00:00,
2015-01-14,accepted,368,200,38665,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade?date=2015%2F01%2F14&type=Daily&sect=EW&response=json,3a7af4506a3ec4582e626d47e5c2db659dbe594aca1ad109398922f59589a5d6,2026-07-12T00:08:39+00:00,
2015-01-15,accepted,350,200,36845,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade?date=2015%2F01%2F15&type=Daily&sect=EW&response=json,27ec98d8d186b9e0623719291ed9fbb701d204687854e80bc560b3b338777ee7,2026-07-12T00:08:39+00:00,
2015-01-16,accepted,381,200,41034,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade?date=2015%2F01%2F16&type=Daily&sect=EW&response=json,7c267589f83e7433e085153145e396cc9fb387d90f432bd530ed3f56d7339bda,2026-07-12T00:08:39+00:00,
2015-01-19,accepted,392,200,41014,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade?date=2015%2F01%2F19&type=Daily&sect=EW&response=json,5e992bf4287f7aeb5045b236659b838aca56c56d98b8f80576eaaf956e02834e,2026-07-12T00:08:40+00:00,
2015-01-20,accepted,392,200,40671,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade?date=2015%2F01%2F20&type=Daily&sect=EW&response=json,0551a36e5cf1f7baf24b146aeddde233fd9269a50adc7ac1326c0711239186cb,2026-07-12T00:08:40+00:00,
2015-01-21,accepted,376,200,39666,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade?date=2015%2F01%2F21&type=Daily&sect=EW&response=json,989c126b9b4c85f53c486259accad27e10425af2f1ef71dc0cd76d80363ced38,2026-07-12T00:08:40+00:00,
2015-01-22,accepted,394,200,41791,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade?date=2015%2F01%2F22&type=Daily&sect=EW&response=json,04315d22df62c5305c929cbdb9e9c1ba49557f9c19916ed9b5ef6e8ebded0c28,2026-07-12T00:08:41+00:00,
2015-01-23,accepted,385,200,41139,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade?date=2015%2F01%2F23&type=Daily&sect=EW&response=json,f769a7f6208e4840f0daee40ca59bea485b63a2619ccf2ce8f81ea2c03f2455a,2026-07-12T00:08:41+00:00,
