variant_id,period,decision_date,ticker,role,requested_execution_date,market,trusted_raw_close,trusted_raw_source_url,trusted_raw_source_hash,year_month,download_authority
S01_CD2,P2,2023-05-16,6244,buy,2023-05-17,TPEx,34.900001525878906,https://query1.finance.yahoo.com/v8/finance/chart/6244.TWO?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,6cc7c65cc901785a4580ee9643be06ff607e6df9f79bc248c93a06c1ce57a804,2023-05,frontier_exact_leg_only
S01_CD3,P1,2018-01-10,2354,sell,2018-01-11,TWSE,,,,2018-01,frontier_exact_leg_only
S01_CD3,P2,2023-04-20,2471,buy,2023-04-21,TWSE,54.0,https://query1.finance.yahoo.com/v8/finance/chart/2471.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,0f88da1295634f2104c853f1f06b569a1a53cd6086796bfb2918e02818c6054b,2023-04,frontier_exact_leg_only
S01_CD7,P1,2015-08-11,9904,sell,2015-08-12,TWSE,45.59999847412109,https://query1.finance.yahoo.com/v8/finance/chart/9904.TW?period1=1410393600&period2=1671235200&interval=1d&events=div%2Csplits,3f7a5469e56e98c4850dc7d3a5b4777247f24a918aecbbc8908046bedc52a4f4,2015-08,frontier_exact_leg_only
S01_CD7,P1,2015-08-11,5871,buy,2015-08-12,TWSE,48.10962677001953,https://query1.finance.yahoo.com/v8/finance/chart/5871.TW?period1=1411603200&period2=1671840000&interval=1d&events=div%2Csplits,e775a758364958dd24dc45696b8f01fbe8b58a80d1351bbf2306fd591ff001f5,2015-08,frontier_exact_leg_only
S01_CD10,P1,2015-06-03,6409,sell,2015-06-04,TWSE,,,,2015-06,frontier_exact_leg_only
S02_CD2,P1,2015-03-27,6409,sell,2015-05-07,TWSE,,,,2015-05,frontier_exact_leg_only
S04_CD3,P1,2016-03-08,4904,sell,2016-03-09,TWSE,,,,2016-03,frontier_exact_leg_only
S04_CD3,P1,2016-03-08,2884,buy,2016-03-09,TWSE,10.128889083862305,https://query1.finance.yahoo.com/v8/finance/chart/2884.TW?period1=1411603200&period2=1662681600&interval=1d&events=div%2Csplits,a74e5b7847ea29797f01d7a0c2c76b413cc1f7786a23677270157b453d26ed93,2016-03,frontier_exact_leg_only
S04_CD7,P1,2016-11-11,2383,sell,2016-11-14,TWSE,81.0999984741211,https://query1.finance.yahoo.com/v8/finance/chart/2383.TW?period1=1413417600&period2=1662681600&interval=1d&events=div%2Csplits,49e84b01ce1e83a94b2c4914beb1c6469348d82e2488b68bc3b43217b767d208,2016-11,frontier_exact_leg_only
S04_CD7,P1,2016-11-11,2428,buy,2016-11-14,TWSE,61.20000076293945,https://query1.finance.yahoo.com/v8/finance/chart/2428.TW?period1=1463011200&period2=1615593600&interval=1d&events=div%2Csplits,4c7d09ea17e3b653884f21913d44695dc8445290da6a81d40beded20571d47b5,2016-11,frontier_exact_leg_only
S05_CD7,P1,2016-04-11,2239,sell,2016-04-12,TWSE,,,,2016-04,frontier_exact_leg_only
S05_CD7,P1,2016-04-11,3017,buy,2016-04-12,TWSE,27.580137252807617,https://query1.finance.yahoo.com/v8/finance/chart/3017.TW?period1=1412208000&period2=1671840000&interval=1d&events=div%2Csplits,d78f785ec3c0654ff764a255562f51ac4bf57f6552a0c48a508cac34a96a58d8,2016-04,frontier_exact_leg_only
S07_CD2,P1,2016-06-16,1476,sell,2016-06-17,TWSE,,,,2016-06,frontier_exact_leg_only
S07_CD2,P1,2016-06-16,2105,buy,2016-06-17,TWSE,67.0,https://query1.finance.yahoo.com/v8/finance/chart/2105.TW?period1=1410393600&period2=1667606400&interval=1d&events=div%2Csplits,a9ae3f086ff578c598af611e972a8b2244269c237bc387bebb81bcd5c90dd52c,2016-06,frontier_exact_leg_only
S07_CD3,P1,2016-03-28,3231,sell,2016-03-29,TWSE,17.406410217285156,https://query1.finance.yahoo.com/v8/finance/chart/3231.TW?period1=1410393600&period2=1671840000&interval=1d&events=div%2Csplits,d34c1a944e5ac59588e6a331a96dc1d1e123f6a1beb55545321d50f0e1cc94bc,2016-03,frontier_exact_leg_only
S07_CD7,P1,2016-03-23,1707,sell,2016-03-24,TWSE,186.5,https://query1.finance.yahoo.com/v8/finance/chart/1707.TW?period1=1418256000&period2=1671840000&interval=1d&events=div%2Csplits,075094598c298da569aeeddafc8c24dad75e520c638471d08bda5f90aa6e7ba9,2016-03,frontier_exact_leg_only
S07_CD7,P1,2016-03-23,2239,buy,2016-03-24,TWSE,173.79818725585938,https://query1.finance.yahoo.com/v8/finance/chart/2239.TW?period1=1447286400&period2=1507939200&interval=1d&events=div%2Csplits,fd27eb7baaf6284d06f7d1b2a665e05a2b159b11ec435848fcc6b06ac2455d69,2016-03,frontier_exact_leg_only
S10_CD10,P1,2016-04-08,2239,sell,2016-04-11,TWSE,,,,2016-04,frontier_exact_leg_only
