variant_id,period,decision_date,ticker,role,requested_execution_date,reason
S01_CD2,P1,2018-01-29,2317,sell,2018-01-30,missing_official_raw_execution_close
S01_CD2,P2,2023-06-27,2707,sell,2023-06-28,missing_official_raw_execution_close
S01_CD3,P2,2023-06-28,2707,sell,2023-06-29,missing_official_raw_execution_close
S01_CD5,P1,2015-09-24,1102,sell,2015-09-25,missing_official_raw_execution_close
S01_CD5,P2,2023-06-30,2707,sell,2023-07-03,missing_official_raw_execution_close
S01_CD7,P1,2016-02-23,4904,sell,2016-02-24,missing_official_raw_execution_close
S01_CD7,P1,2016-02-23,2886,buy,2016-02-24,missing_official_raw_execution_close
S01_CD7,P2,2023-07-04,2707,sell,2023-07-05,missing_official_raw_execution_close
S01_CD10,P1,2015-10-29,3231,sell,2015-10-30,missing_official_raw_execution_close
S01_CD10,P2,2023-07-07,2707,sell,2023-07-10,missing_official_raw_execution_close
S02_CD2,P1,2015-08-26,2634,sell,2015-08-27,missing_official_raw_execution_close
S02_CD2,P2,2023-07-13,6472,sell,2023-07-14,missing_official_raw_execution_close
S02_CD3,P1,2016-02-19,4904,sell,2016-02-22,missing_official_raw_execution_close
S02_CD3,P1,2016-02-19,8422,buy,2016-02-22,missing_official_raw_execution_close
S02_CD5,P1,2016-01-08,1303,sell,2016-01-11,missing_official_raw_execution_close
S02_CD5,P1,2016-01-08,1536,buy,2016-01-11,missing_official_raw_execution_close
S02_CD7,P1,2016-10-26,3596,sell,2016-10-27,missing_official_raw_execution_close
S02_CD7,P1,2016-10-26,2454,buy,2016-10-27,missing_official_raw_execution_close
S02_CD7,P2,2023-07-17,6732,sell,2023-07-18,missing_official_raw_execution_close
S02_CD10,P1,2017-08-03,4137,sell,2017-08-04,missing_official_raw_execution_close
S02_CD10,P2,2023-09-11,2834,sell,2023-09-12,missing_official_raw_execution_close
S03_CD3,P1,2015-11-12,4971,sell,2015-11-13,missing_official_raw_execution_close
S03_CD5,P1,2015-09-22,8422,sell,2015-09-23,missing_official_raw_execution_close
S03_CD7,P1,2016-10-13,2883,sell,2016-10-14,missing_official_raw_execution_close
S03_CD7,P1,2016-10-13,2313,buy,2016-10-14,missing_official_raw_execution_close
S03_CD7,P2,2023-08-10,3558,sell,2023-08-11,missing_official_raw_execution_close
S03_CD10,P1,2016-04-01,2330,sell,2016-04-06,missing_official_raw_execution_close
S04_CD2,P1,2022-07-12,3498,sell,2022-07-13,missing_official_raw_execution_close
S04_CD2,P1,2022-07-12,3036,buy,2022-07-13,missing_official_raw_execution_close
S04_CD2,P2,2024-02-19,6593,sell,2024-02-20,missing_official_raw_execution_close
S04_CD3,P1,2016-06-28,5880,sell,2016-06-29,missing_official_raw_execution_close
S04_CD3,P1,2016-06-28,5871,buy,2016-06-29,missing_official_raw_execution_close
S04_CD3,P2,2024-04-23,3036,sell,2024-04-24,missing_official_raw_execution_close
S04_CD5,P1,2016-09-12,2891,sell,2016-09-13,missing_official_raw_execution_close
S04_CD5,P2,2024-08-12,1536,sell,2024-08-13,missing_official_raw_execution_close
S04_CD7,P1,2017-03-29,2885,sell,2017-03-30,missing_official_raw_execution_close
S04_CD10,P1,2019-05-28,8016,sell,2019-05-29,missing_official_raw_execution_close
S04_CD10,P2,2023-10-16,2474,sell,2023-10-17,missing_official_raw_execution_close
S05_CD2,P1,2016-10-17,2412,buy,2016-10-18,missing_official_raw_execution_close
S05_CD2,P2,2023-09-05,2884,sell,2023-09-06,missing_official_raw_execution_close
S05_CD3,P2,2024-03-11,6285,sell,2024-03-12,missing_official_raw_execution_close
S05_CD5,P1,2017-05-15,5388,sell,2017-05-16,missing_official_raw_execution_close
S05_CD5,P2,2023-07-19,2338,sell,2023-07-20,missing_official_raw_execution_close
S05_CD7,P1,2016-05-11,2892,sell,2016-05-12,missing_official_raw_execution_close
S05_CD7,P1,2016-05-11,5388,buy,2016-05-12,missing_official_raw_execution_close
S05_CD7,P2,2024-01-18,2882,sell,2024-01-19,missing_official_raw_execution_close
S05_CD10,P1,2016-04-25,1527,sell,2016-04-26,missing_official_raw_execution_close
S05_CD10,P1,2016-04-25,2882,buy,2016-04-26,missing_official_raw_execution_close
S05_CD10,P2,2023-11-15,3406,sell,2023-11-16,missing_official_raw_execution_close
S06_CD2,P1,2015-10-26,4904,sell,2015-10-27,missing_official_raw_execution_close
S06_CD2,P2,2023-05-25,3558,sell,2023-05-26,missing_official_raw_execution_close
S06_CD3,P1,2015-06-29,2377,sell,2015-06-30,missing_official_raw_execution_close
S06_CD5,P1,2015-08-31,2634,sell,2015-09-01,missing_official_raw_execution_close
S06_CD5,P2,2023-09-08,8255,sell,2023-09-11,missing_official_raw_execution_close
