variant_id,period,decision_date,ticker,role,requested_execution_date,market,name,open,high,low,close,source_quality,adjustment_policy,source_url,source_hash,retrieved_at,source_path,exact_key_ready,fill_mode,future_data_violation_count
S01_CD2,P1,2018-01-29,2317,sell,2018-01-30,TWSE,鴻海,,,,93.6,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20180130&type=ALLBUT0999&response=json,a84cd450c43370161ece3b9dc61ccf60201ce7ce8ab83f6fcad47891d3783b0c,2026-07-10T12:54:04+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2018.csv.gz,True,local_official_raw_cache_reuse,0
S01_CD7,P1,2016-02-23,2886,buy,2016-02-24,TWSE,,,,,21.6,official_unadjusted_ohlcv_twse_rwd_stock_day,official_unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20160201&stockNo=2886&response=json,,2026-07-10T11:45:19+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_dynamic80_incumbent_hold_selected_stock_daily_ohlc_gap_fill_20260710\p1_dynamic80_incumbent_hold_selected_stock_daily_unadjusted_ohlc_rows.csv,True,local_official_raw_cache_reuse,0
S01_CD10,P1,2015-10-29,3231,sell,2015-10-30,TWSE,緯創,,,,16.4,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20151030&type=ALLBUT0999&response=json,5f26869b01564dd97fc9bd2a5170fba2cb0142f51340c472933026ea5a3fd02d,2026-07-10T12:43:33+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2015.csv.gz,True,local_official_raw_cache_reuse,0
S02_CD2,P1,2015-08-26,2634,sell,2015-08-27,TWSE,漢翔,,,,36.2,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20150827&type=ALLBUT0999&response=json,ff3fc007d30355afbc0cdab4f78c12c1b37a7c9630d4169b24afd94f16629e32,2026-07-10T12:42:46+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2015.csv.gz,True,local_official_raw_cache_reuse,0
S02_CD7,P2,2023-07-17,6732,sell,2023-07-18,TPEx,昇佳電子,,,,306.5,official_tpex_raw_execution_ohlcv,unadjusted_execution_only,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2023/07/18&response=json,34cdb16397d39ec214e3ab2952550e1d8d0c1cf6bff6bd6c866aa02d05a3da44,2026-07-11T08:56:56+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\checkpoints\raw_hlc_warmup\TPEx\2023-07-18.csv.gz,True,local_official_raw_cache_reuse,0
S03_CD3,P1,2015-11-12,4971,sell,2015-11-13,TPEx,F-IET,,,,107.0,official_unadjusted_ohlcv_tpex_daily_quotes_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/11/13&response=json,b1cb3c56642d66eef8d8e2b25c2b55dbbee1e28f78c0b09b0b19d51b31c09c28,2026-07-10T12:43:44+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TPEx\2015.csv.gz,True,local_official_raw_cache_reuse,0
S03_CD5,P1,2015-09-22,8422,sell,2015-09-23,TWSE,可寧衛*,,,,145.0,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20150923&type=ALLBUT0999&response=json,d8867b0ffbbae018fe350215dbff4730f6e19d262df98341f0aa3008ee7a016d,2026-07-10T12:43:04+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2015.csv.gz,True,local_official_raw_cache_reuse,0
S03_CD7,P2,2023-08-10,3558,sell,2023-08-11,TPEx,神準,,,,291.0,official_tpex_raw_execution_ohlcv,unadjusted_execution_only,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2023/08/11&response=json,4b97fd9b9a00c99a429337c6c72ad742c52926608da038abda862737b13d0616,2026-07-11T08:57:04+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_full_feature_source_scope_repair_20260711\checkpoints\price\TPEx\2023-08-11.csv.gz,True,local_official_raw_cache_reuse,0
S04_CD5,P1,2016-09-12,2891,sell,2016-09-13,TWSE,,,,,18.15,official_unadjusted_ohlcv_twse_rwd_stock_day,official_unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20160901&stockNo=2891&response=json,,2026-07-08T06:41:26+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_dynamic80_incumbent_hold_selected_stock_daily_ohlc_gap_fill_20260710\p1_dynamic80_incumbent_hold_selected_stock_daily_unadjusted_ohlc_rows.csv,True,local_official_raw_cache_reuse,0
S04_CD5,P2,2024-08-12,1536,sell,2024-08-13,TWSE,和大,,,,67.9,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated; official rows are unadjusted OHLCV,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20240813&type=ALLBUT0999&response=json,,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_legacy_rs20_selected_stock_price_path_source_package_20260708\selected_stock_price_rows_local_only.csv,True,local_official_raw_cache_reuse,0
