variant_id,period,decision_date,ticker,role,requested_execution_date,market,name,open,high,low,close,source_quality,adjustment_policy,source_url,source_hash,retrieved_at,source_path,exact_key_ready,fill_mode,future_data_violation_count
S01_CD2,P2,2023-06-27,2707,sell,2023-06-28,TWSE,,264.0,265.5,257.0,262.0,official_twse_selected_ticker_month_unadjusted_execution,official_unadjusted_execution_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20230601&stockNo=2707&response=json,9faa92251c9bafd239a35b6e4c9d2aa1faef8e8ab1281e60a58bc247f0e0e1a9,2026-07-15T08:27:06+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_006_20260715\raw_audit_samples\2707_TWSE_2023-06.json,True,bounded_official_ticker_month_route,0
S01_CD3,P2,2023-06-28,2707,sell,2023-06-29,TWSE,,262.0,264.5,260.0,264.0,official_twse_selected_ticker_month_unadjusted_execution,official_unadjusted_execution_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20230601&stockNo=2707&response=json,9faa92251c9bafd239a35b6e4c9d2aa1faef8e8ab1281e60a58bc247f0e0e1a9,2026-07-15T08:27:06+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_006_20260715\raw_audit_samples\2707_TWSE_2023-06.json,True,bounded_official_ticker_month_route,0
S01_CD5,P1,2015-09-24,1102,sell,2015-09-25,TWSE,,32.45,32.55,32.05,32.4,official_twse_selected_ticker_month_unadjusted_execution,official_unadjusted_execution_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150901&stockNo=1102&response=json,1c597475d0e5a62f55bf5e83b79cd04e5c0553ae6eb7f7bb842663b2bfdcac93,2026-07-15T08:27:08+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_006_20260715\raw_audit_samples\1102_TWSE_2015-09.json,True,bounded_official_ticker_month_route,0
S01_CD5,P2,2023-06-30,2707,sell,2023-07-03,TWSE,,261.0,262.0,256.0,261.0,official_twse_selected_ticker_month_unadjusted_execution,official_unadjusted_execution_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20230701&stockNo=2707&response=json,6dec9eb71c7c6dc1ef185bf12cd2fa51e9b000d03a456064e0c83a3acee84a01,2026-07-15T08:27:08+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_006_20260715\raw_audit_samples\2707_TWSE_2023-07.json,True,bounded_official_ticker_month_route,0
S01_CD7,P1,2016-02-23,4904,sell,2016-02-24,TWSE,,68.4,68.8,68.0,68.1,official_twse_selected_ticker_month_unadjusted_execution,official_unadjusted_execution_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160201&stockNo=4904&response=json,20a4ad0c895530f34f69e722d97df7d3f639ebbd7c90c16950c1d9949473acef,2026-07-15T08:27:08+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_006_20260715\raw_audit_samples\4904_TWSE_2016-02.json,True,bounded_official_ticker_month_route,0
S01_CD7,P2,2023-07-04,2707,sell,2023-07-05,TWSE,,256.0,262.0,255.0,259.5,official_twse_selected_ticker_month_unadjusted_execution,official_unadjusted_execution_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20230701&stockNo=2707&response=json,6dec9eb71c7c6dc1ef185bf12cd2fa51e9b000d03a456064e0c83a3acee84a01,2026-07-15T08:27:08+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_006_20260715\raw_audit_samples\2707_TWSE_2023-07.json,True,bounded_official_ticker_month_route,0
S01_CD10,P2,2023-07-07,2707,sell,2023-07-10,TWSE,,260.5,261.5,256.5,258.5,official_twse_selected_ticker_month_unadjusted_execution,official_unadjusted_execution_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20230701&stockNo=2707&response=json,6dec9eb71c7c6dc1ef185bf12cd2fa51e9b000d03a456064e0c83a3acee84a01,2026-07-15T08:27:08+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_006_20260715\raw_audit_samples\2707_TWSE_2023-07.json,True,bounded_official_ticker_month_route,0
S02_CD3,P1,2016-02-19,4904,sell,2016-02-22,TWSE,,69.1,69.3,68.9,69.1,official_twse_selected_ticker_month_unadjusted_execution,official_unadjusted_execution_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160201&stockNo=4904&response=json,20a4ad0c895530f34f69e722d97df7d3f639ebbd7c90c16950c1d9949473acef,2026-07-15T08:27:08+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_006_20260715\raw_audit_samples\4904_TWSE_2016-02.json,True,bounded_official_ticker_month_route,0
S02_CD3,P1,2016-02-19,8422,buy,2016-02-22,TWSE,,172.5,178.0,172.0,175.0,official_twse_selected_ticker_month_unadjusted_execution,official_unadjusted_execution_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160201&stockNo=8422&response=json,6a47bf0da4865883c7d0cf5808910bb03c88bb76168cb5196be14bd14c3be46f,2026-07-15T08:27:08+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_006_20260715\raw_audit_samples\8422_TWSE_2016-02.json,True,bounded_official_ticker_month_route,0
S02_CD5,P1,2016-01-08,1303,sell,2016-01-11,TWSE,,56.0,57.0,55.7,56.9,official_twse_selected_ticker_month_unadjusted_execution,official_unadjusted_execution_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=1303&response=json,d058e9077f2f13b18546fa0dd8a077a9e69e5079c4c8e38df631b4e6af432223,2026-07-15T08:27:09+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_006_20260715\raw_audit_samples\1303_TWSE_2016-01.json,True,bounded_official_ticker_month_route,0
