variant_id,period,decision_date,ticker,role,requested_execution_date,market,name,open,high,low,close,source_quality,adjustment_policy,source_url,source_hash,retrieved_at,source_path,exact_key_ready,fill_mode,future_data_violation_count
S01_CD2,P1,2018-03-16,2231,sell,2018-03-19,TWSE,為升,,,,411.0,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20180319&type=ALLBUT0999&response=json,220f768da33c59c7d167a2341b86256d8fef01d9422c0bae18a7f5f01c9623d1,2026-07-10T12:54:49+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2018.csv.gz,True,local_official_raw_cache_reuse,0
S01_CD5,P1,2015-11-16,4971,sell,2015-11-17,TPEx,F-IET,,,,111.0,official_unadjusted_ohlcv_tpex_daily_quotes_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/11/17&response=json,4dd5a8e6958f5ccf85ae0e83b2d6535d52cd48a7f9a66453e6060cf312b212db,2026-07-10T12:43:46+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TPEx\2015.csv.gz,True,local_official_raw_cache_reuse,0
S01_CD10,P1,2016-12-30,2330,buy,2017-01-03,TWSE,,,,,183.0,official_unadjusted_ohlcv_twse_rwd_stock_day,official_unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20170101&stockNo=2330&response=json,,2026-07-10T11:44:53+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_dynamic80_incumbent_hold_selected_stock_daily_ohlc_gap_fill_20260710\p1_dynamic80_incumbent_hold_selected_stock_daily_unadjusted_ohlc_rows.csv,True,local_official_raw_cache_reuse,0
S01_CD10,P2,2023-08-14,4906,sell,2023-08-15,TWSE,正文,,,,32.95,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230815&type=ALLBUT0999&response=json,f8b2a1ce8dd1f49ab1d263fa03259a7cd3a45bb4a2fdefc20123632588d09d27,2026-07-11T09:08:49+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\checkpoints\raw_hlc_warmup\TWSE\2023-08-15.csv.gz,True,local_official_raw_cache_reuse,0
S02_CD2,P1,2015-09-29,2356,sell,2015-09-30,TWSE,英業達,,,,15.6,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20150930&type=ALLBUT0999&response=json,3a4fc6d66e073ede3504836a02f7fb0743c6bc6baa67c0d9c30a9a0b252e885a,2026-07-10T12:43:08+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2015.csv.gz,True,local_official_raw_cache_reuse,0
S02_CD2,P2,2023-09-18,2303,sell,2023-09-19,TWSE,聯電,,,,46.2,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230919&type=ALLBUT0999&response=json,529000d664e75013a6fb41d05d5a0b2e5c6af93f03490740a1d3280456f7140c,2026-07-11T11:25:37+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\checkpoints\price\TWSE\2023-09-19.csv.gz,True,local_official_raw_cache_reuse,0
S02_CD5,P2,2023-09-19,2303,sell,2023-09-20,TWSE,聯電,,,,45.9,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230920&type=ALLBUT0999&response=json,265ac255eb069a524122deb14eae18d7c56cc68025d348caaf4ea9d765a66ccc,2026-07-11T11:25:37+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\checkpoints\price\TWSE\2023-09-20.csv.gz,True,local_official_raw_cache_reuse,0
S02_CD7,P2,2023-08-09,2618,sell,2023-08-10,TWSE,長榮航,,,,36.6,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230810&type=ALLBUT0999&response=json,69edd9f473c17ca889079c3293f2b80ba084b470b7a818660ef2f2b9d9e3416f,2026-07-11T09:08:48+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\checkpoints\raw_hlc_warmup\TWSE\2023-08-10.csv.gz,True,local_official_raw_cache_reuse,0
S02_CD10,P1,2017-09-07,8086,sell,2017-09-08,TPEx,宏捷科,,,,56.4,official_unadjusted_ohlcv_tpex_daily_quotes_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2017/09/08&response=json,d4a1eb77a4046c3c5c97b40a5abeb69fa56c7fb56c7083bfff810574d71a7a24,2026-07-10T12:51:37+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TPEx\2017.csv.gz,True,local_official_raw_cache_reuse,0
S02_CD10,P2,2024-01-05,1522,sell,2024-01-08,TWSE,堤維西,,,,39.3,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated; official rows are unadjusted OHLCV,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20240108&type=ALLBUT0999&response=json,,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_legacy_rs20_selected_stock_price_path_source_package_20260708\selected_stock_price_rows_local_only.csv,True,local_official_raw_cache_reuse,0
S03_CD5,P1,2016-01-27,1301,sell,2016-01-28,TWSE,台塑,,,,75.6,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20160128&type=ALLBUT0999&response=json,a1849d7670d3ba73293d67ab509e9f75c227e4c5a7ba8c5ac50576d0fec3ffc1,2026-07-10T12:44:49+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2016.csv.gz,True,local_official_raw_cache_reuse,0
S03_CD7,P2,2023-09-21,2303,sell,2023-09-22,TWSE,聯電,,,,45.35,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230922&type=ALLBUT0999&response=json,0d9810328bee5677eb3fb9224ba8e78833a5c2eac730fb4923040fd6913c3054,2026-07-11T09:08:56+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_full_feature_source_scope_repair_20260711\checkpoints\price\TWSE\2023-09-22.csv.gz,True,local_official_raw_cache_reuse,0
