variant_id,period,decision_date,ticker,role,requested_execution_date,market,name,open,high,low,close,source_quality,adjustment_policy,source_url,source_hash,retrieved_at,source_path,exact_key_ready,fill_mode,future_data_violation_count
S01_CD2,P1,2015-03-27,8406,sell,2015-03-30,TPEx,F-金可,,,,349.5,official_unadjusted_ohlcv_tpex_daily_quotes_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/03/30&response=json,38149720281fa7f56c68175ecc1fa34b62dbbd3df35234121af094f2350833da,2026-07-10T12:40:32+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TPEx\2015.csv.gz,True,local_official_raw_cache_reuse,0
S01_CD2,P2,2023-06-27,2301,sell,2023-06-28,TWSE,光寶科,,,,100.0,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230628&type=ALLBUT0999&response=json,5e59523ee138143b3e5aad2b9cbb3f2d82cdc9558e9b976a754f613151e5e6a9,2026-07-11T09:08:39+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\checkpoints\raw_hlc_warmup\TWSE\2023-06-28.csv.gz,True,local_official_raw_cache_reuse,0
S01_CD10,P1,2015-03-02,2884,sell,2015-03-03,TWSE,玉山金,,,,19.4,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20150303&type=ALLBUT0999&response=json,05e7d8731f7dc04508e86856076b9d35bf98a8c6664ac8b1091449f1f6e681fa,2026-07-10T12:40:00+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2015.csv.gz,True,local_official_raw_cache_reuse,0
S04_CD2,P1,2015-07-27,1227,sell,2015-07-28,TWSE,佳格,,,,88.5,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20150728&type=ALLBUT0999&response=json,a1f744e4c2b75f276405cb18b0dd816fb04c813230049db4886fd692be6a8421,2026-07-10T12:42:19+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2015.csv.gz,True,local_official_raw_cache_reuse,0
S04_CD2,P2,2023-08-11,2301,sell,2023-08-14,TWSE,光寶科,,,,136.5,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230814&type=ALLBUT0999&response=json,e23d603eda232cab73fa3614de3e3123bc88d6b7fb0f796b2d6a2e6eb024cc29,2026-07-11T09:08:49+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\checkpoints\raw_hlc_warmup\TWSE\2023-08-14.csv.gz,True,local_official_raw_cache_reuse,0
S04_CD10,P1,2015-03-09,2884,sell,2015-03-10,TWSE,玉山金,,,,19.15,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20150310&type=ALLBUT0999&response=json,b3fc67c737d72756b6e6f5c34b0f4ce099495235127a00bcad934899ce6e6c9b,2026-07-10T12:40:07+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2015.csv.gz,True,local_official_raw_cache_reuse,0
S05_CD2,P1,2015-03-03,4915,sell,2015-03-04,TWSE,致伸,,,,42.85,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20150304&type=ALLBUT0999&response=json,9cc33be2f603632ae31a65b2d9668b9524f7387a49a115f9bb10c30c04d8f750,2026-07-10T12:40:01+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2015.csv.gz,True,local_official_raw_cache_reuse,0
S05_CD5,P1,2015-11-17,1464,sell,2015-11-18,TWSE,得力,,,,29.85,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20151118&type=ALLBUT0999&response=json,9fb93210c03b0ba9fd28bab84725ea40267bef9272089b3b4db25703299b6792,2026-07-10T12:43:46+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2015.csv.gz,True,local_official_raw_cache_reuse,0
S05_CD7,P1,2015-12-24,6415,sell,2015-12-25,TWSE,矽力*-KY,,,,376.0,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20151225&type=ALLBUT0999&response=json,8000102d3f7191dbd9e0bbd74ad85a54bedc7d5c78d8f1f90ffdbcf740918285,2026-07-10T12:44:22+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2015.csv.gz,True,local_official_raw_cache_reuse,0
S05_CD10,P1,2015-11-09,2301,sell,2015-11-10,TWSE,光寶科,,,,32.9,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20151110&type=ALLBUT0999&response=json,69928566782def9f2328f7e8a35c8a60c42b05579bd7a4b6128e23253b6f2ddc,2026-07-10T12:43:41+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2015.csv.gz,True,local_official_raw_cache_reuse,0
