ticker,date,market,close,source_quality,adjustment_policy,source_url,source_hash,retrieved_at,source_reuse,future_data_violation_count
00631L,2016-02-01,TWSE,17.27,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160201&stockNo=00631L&response=json,91f06cb18d9d579bdee973ee47c6be7d3a4131d51c51d742a9f0f9c5c0c18b87,2026-07-19T02:19:53+00:00,resumed_authorized_official_month_checkpoint,0
00631L,2016-02-16,TWSE,17.75,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160201&stockNo=00631L&response=json,91f06cb18d9d579bdee973ee47c6be7d3a4131d51c51d742a9f0f9c5c0c18b87,2026-07-19T02:19:53+00:00,resumed_authorized_official_month_checkpoint,0
00631L,2016-05-19,TWSE,17.26,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160501&stockNo=00631L&response=json,306ea0ed58afd3e9b84db1edb771e598f3437654df4750cfe9812e4dd2ea84be,2026-07-18T07:23:37+00:00,previous_accepted_official_month_checkpoint,0
00631L,2016-08-08,TWSE,23.8,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160801&stockNo=00631L&response=json,36b83210ece64914ac2ef3e2dfd0e42fe4efa7d04981639e96d65fc167fabda6,2026-07-19T02:19:54+00:00,resumed_authorized_official_month_checkpoint,0
00631L,2016-08-09,TWSE,23.97,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160801&stockNo=00631L&response=json,36b83210ece64914ac2ef3e2dfd0e42fe4efa7d04981639e96d65fc167fabda6,2026-07-19T02:19:54+00:00,resumed_authorized_official_month_checkpoint,0
00631L,2016-08-15,TWSE,23.94,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160801&stockNo=00631L&response=json,36b83210ece64914ac2ef3e2dfd0e42fe4efa7d04981639e96d65fc167fabda6,2026-07-19T02:19:54+00:00,resumed_authorized_official_month_checkpoint,0
00631L,2016-08-29,TWSE,23.71,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160801&stockNo=00631L&response=json,36b83210ece64914ac2ef3e2dfd0e42fe4efa7d04981639e96d65fc167fabda6,2026-07-19T02:19:54+00:00,resumed_authorized_official_month_checkpoint,0
00631L,2016-08-30,TWSE,23.77,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160801&stockNo=00631L&response=json,36b83210ece64914ac2ef3e2dfd0e42fe4efa7d04981639e96d65fc167fabda6,2026-07-19T02:19:54+00:00,resumed_authorized_official_month_checkpoint,0
00631L,2016-10-24,TWSE,25.58,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20161001&stockNo=00631L&response=json,915f6fe33c1cbbf239a4ddd3398d100c2cacf2a5437ef5bbe26df294151b6ffb,2026-07-19T02:19:55+00:00,resumed_authorized_official_month_checkpoint,0
00631L,2016-10-27,TWSE,25.46,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20161001&stockNo=00631L&response=json,915f6fe33c1cbbf239a4ddd3398d100c2cacf2a5437ef5bbe26df294151b6ffb,2026-07-19T02:19:55+00:00,resumed_authorized_official_month_checkpoint,0
00631L,2016-11-11,TWSE,23.65,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20161101&stockNo=00631L&response=json,e7e92506a7326f0220a9a225b035ef940a03e8c68275e48d47d28de6c2031bdf,2026-07-18T07:23:39+00:00,previous_accepted_official_month_checkpoint,0
00631L,2016-11-29,TWSE,24.94,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20161101&stockNo=00631L&response=json,e7e92506a7326f0220a9a225b035ef940a03e8c68275e48d47d28de6c2031bdf,2026-07-18T07:23:39+00:00,previous_accepted_official_month_checkpoint,0
00631L,2016-12-07,TWSE,25.17,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20161201&stockNo=00631L&response=json,df40540f2f19529e972fd738231f42f014e97a81744d82b3e5b4dd719d8fb10b,2026-07-18T07:23:41+00:00,previous_accepted_official_month_checkpoint,0
00631L,2017-07-14,TWSE,33.66,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170701&stockNo=00631L&response=json,bdbc4c5c54f152bdd7c3472305347c9270f02da0f790dbc29da6062e0e048a39,2026-07-19T02:19:57+00:00,resumed_authorized_official_month_checkpoint,0
00631L,2017-07-17,TWSE,33.9,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170701&stockNo=00631L&response=json,bdbc4c5c54f152bdd7c3472305347c9270f02da0f790dbc29da6062e0e048a39,2026-07-19T02:19:57+00:00,resumed_authorized_official_month_checkpoint,0
00631L,2017-07-24,TWSE,33.94,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170701&stockNo=00631L&response=json,bdbc4c5c54f152bdd7c3472305347c9270f02da0f790dbc29da6062e0e048a39,2026-07-19T02:19:57+00:00,resumed_authorized_official_month_checkpoint,0
00631L,2017-08-23,TWSE,34.11,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170801&stockNo=00631L&response=json,18c5c7b0f183ddc5694ac7b0c603f585b3325499ee4f8ff922a4857fded386e1,2026-07-18T07:23:43+00:00,previous_accepted_official_month_checkpoint,0
00631L,2017-09-01,TWSE,35.38,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170901&stockNo=00631L&response=json,e336144d8f008d7b234a78dc6ba273472ae879be25dcd3f1c9e954e633de1262,2026-07-18T07:23:45+00:00,previous_accepted_official_month_checkpoint,0
00631L,2017-09-07,TWSE,34.68,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170901&stockNo=00631L&response=json,e336144d8f008d7b234a78dc6ba273472ae879be25dcd3f1c9e954e633de1262,2026-07-18T07:23:45+00:00,previous_accepted_official_month_checkpoint,0
00631L,2018-07-04,TWSE,36.49,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20180701&stockNo=00631L&response=json,fce50880ed8c05fba874f41e5b5b461c79e0b39783a9b9195967bd2e8b3e66b8,2026-07-18T06:46:38+00:00,previous_accepted_official_month_checkpoint,0
00631L,2018-07-10,TWSE,37.16,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20180701&stockNo=00631L&response=json,fce50880ed8c05fba874f41e5b5b461c79e0b39783a9b9195967bd2e8b3e66b8,2026-07-18T06:46:38+00:00,previous_accepted_official_month_checkpoint,0
