source_component,path,files_read_once,rows_read,valid_close_rows,bytes,sha256
p1_official_raw_annual_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TPEx\2014.csv.gz,1,3228,3228,137623,51b967d3d2e7f390f64077239a770ff54fa79db606c1bb09ebd5a8745ef8b05a
p1_official_raw_annual_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TPEx\2015.csv.gz,1,17730,17730,686052,e5fc31a96be8bd84964da8f1e67addecdf473a8e2389690e38f78d165db2307e
p1_official_raw_annual_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TPEx\2016.csv.gz,1,22553,22553,830385,3014310212a73197bd203829df8d5457bbea242f16c33617beb8b6018f2b43c5
p1_official_raw_annual_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TPEx\2017.csv.gz,1,21594,21594,810866,e06448e5736580561c934d9a15e813f8fb5faec339d7ba4043a62f55e735827b
p1_official_raw_annual_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TPEx\2018.csv.gz,1,19550,19550,747218,15fe03d65fe18ae8041cf2d564e2c2d829952a8bbf52617739d286381a125688
p1_official_raw_annual_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TPEx\2019.csv.gz,1,17077,17077,663468,3722587beb18bfe970f386624bb9f939e1150106d832f9fe1a380ad530b32453
p1_official_raw_annual_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TPEx\2020.csv.gz,1,17818,17818,699482,15bf9b03715707148ad289110de09da7ae3e7e8fb365862489cf6f6e398b9d0e
p1_official_raw_annual_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TPEx\2021.csv.gz,1,20225,20225,789488,8544fbaf5605e9594e5ac08d88502116c5ae83ad0be44b9f03e1f658724ba011
p1_official_raw_annual_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TPEx\2022.csv.gz,1,17143,17143,677836,d69d3e461b7b37e6e0eddc73f63e4edd269fe92f158cd238d8a826cdad33695d
p1_official_raw_annual_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2014.csv.gz,1,11136,11136,397169,d49759479a23425a2bf655b3970384b700bc26633aa50022740a2e6158c08438
p1_official_raw_annual_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2015.csv.gz,1,47007,47007,1640029,8ada886725d745f5f5da74c09ae9c1c453f8663943ffb9a18bf3890869ab42d6
p1_official_raw_annual_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2016.csv.gz,1,9597,9597,335625,f902dc5b1dfdfb57d1a463282e292c1ad3d4912e292b3d2b3f83ee0ce2beb781
p1_official_raw_annual_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2017.csv.gz,1,26918,26918,926718,dc4e47d7b27c196f61c9e7b3de7f5013e664b758421ac0404bc83fd4330aec0b
p1_official_raw_annual_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2018.csv.gz,1,48896,48896,1710030,c2e3900da895b5ecae19298e4686cdcca1fcabfda1ed991405535d81302af618
p1_official_raw_annual_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2019.csv.gz,1,40088,40088,1405146,0094b98ceaa109c0bf2f948d2c85e2d49642f964d7218864fd87d2fb2da985ed
