timestamp_utc,step,price_rows_found
2026-07-09T01:43:22+00:00,fetched 25/395,47
2026-07-09T01:43:25+00:00,fetched 50/395,83
2026-07-09T01:43:29+00:00,fetched 75/395,129
2026-07-09T01:43:33+00:00,fetched 100/395,168
2026-07-09T01:43:37+00:00,fetched 125/395,217
2026-07-09T01:43:44+00:00,fetched 150/395,260
2026-07-09T01:43:58+00:00,fetched 175/395,310
2026-07-09T01:44:22+00:00,fetched 200/395,351
2026-07-09T01:44:36+00:00,fetched 225/395,387
2026-07-09T01:44:50+00:00,fetched 250/395,426
2026-07-09T01:45:01+00:00,fetched 275/395,466
2026-07-09T01:45:15+00:00,fetched 300/395,505
2026-07-09T01:45:31+00:00,fetched 325/395,549
2026-07-09T01:45:44+00:00,fetched 350/395,590
2026-07-09T01:45:53+00:00,fetched 375/395,627
2026-07-09T01:46:02+00:00,fetched 395/395,660
