route_variant,timing_variant,rows,ready_rows,blocked_rows,ready_share
conservative_hurdle_route,next_day_close_entry_fixed_5td_exit,48,48,0,1.0
conservative_hurdle_route,next_day_open_entry_fixed_5td_exit,48,48,0,1.0
conservative_hurdle_route,same_week_close_to_next_rebalance_close_comparator,48,47,1,0.979167
dispersion_route,next_day_close_entry_fixed_5td_exit,51,51,0,1.0
dispersion_route,next_day_open_entry_fixed_5td_exit,51,51,0,1.0
dispersion_route,same_week_close_to_next_rebalance_close_comparator,51,50,1,0.980392
dynamic80_top1_rs20_31_bonus_proxy,next_day_close_entry_fixed_5td_exit,51,51,0,1.0
dynamic80_top1_rs20_31_bonus_proxy,next_day_open_entry_fixed_5td_exit,51,51,0,1.0
dynamic80_top1_rs20_31_bonus_proxy,same_week_close_to_next_rebalance_close_comparator,51,50,1,0.980392
dynamic80_top1_rs20_7core_context_proxy,next_day_close_entry_fixed_5td_exit,51,51,0,1.0
dynamic80_top1_rs20_7core_context_proxy,next_day_open_entry_fixed_5td_exit,51,51,0,1.0
dynamic80_top1_rs20_7core_context_proxy,same_week_close_to_next_rebalance_close_comparator,51,50,1,0.980392
dynamic80_top1_rs20_proxy,next_day_close_entry_fixed_5td_exit,51,51,0,1.0
dynamic80_top1_rs20_proxy,next_day_open_entry_fixed_5td_exit,51,51,0,1.0
dynamic80_top1_rs20_proxy,same_week_close_to_next_rebalance_close_comparator,51,50,1,0.980392
dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_fixed_5td_exit,51,51,0,1.0
dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_open_entry_fixed_5td_exit,51,51,0,1.0
dynamic80_top3_rs20_risk_tiebreak_proxy,same_week_close_to_next_rebalance_close_comparator,51,50,1,0.980392
hybrid_pullback_base_mega_override,next_day_close_entry_fixed_5td_exit,51,51,0,1.0
hybrid_pullback_base_mega_override,next_day_open_entry_fixed_5td_exit,51,51,0,1.0
hybrid_pullback_base_mega_override,same_week_close_to_next_rebalance_close_comparator,51,50,1,0.980392
market_bias_pool_trend_route,next_day_close_entry_fixed_5td_exit,51,51,0,1.0
market_bias_pool_trend_route,next_day_open_entry_fixed_5td_exit,51,51,0,1.0
market_bias_pool_trend_route,same_week_close_to_next_rebalance_close_comparator,51,50,1,0.980392
pool_breadth_route,next_day_close_entry_fixed_5td_exit,51,51,0,1.0
pool_breadth_route,next_day_open_entry_fixed_5td_exit,51,51,0,1.0
pool_breadth_route,same_week_close_to_next_rebalance_close_comparator,51,50,1,0.980392
