family,ticker,route_scope,source_url,source_hash,cache_path,cache_reused,requested_rows,accepted_rows,blocked_rows,status
official_raw_hlc,5871,202309,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230901&stockNo=5871&response=json,8170caf4125278097c13cbeaa9ffd2b102a4aaf9f588b565ae631833adc8dffe,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_c3_top1_incumbent_continuous_pit_bounded_fill_20260713\raw_cache\twse_stock_day_5871_202309.json,True,1,1,0,accepted
official_raw_hlc,5871,202311,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231101&stockNo=5871&response=json,a719ecb5cbf10d47ad3d10afec65e080e9ee2030773c2b164f29e41eb749e87a,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_c3_top1_incumbent_continuous_pit_bounded_fill_20260713\raw_cache\twse_stock_day_5871_202311.json,True,1,1,0,accepted
official_raw_hlc,5871,202312,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231201&stockNo=5871&response=json,dfcce482e1abf68fefd519bc815ddab3936fbbcd096682eedfa2c6859cb5345e,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_c3_top1_incumbent_continuous_pit_bounded_fill_20260713\raw_cache\twse_stock_day_5871_202312.json,True,1,1,0,accepted
adjusted_analysis_hlc,2610,bounded_required_range,https://query1.finance.yahoo.com/v8/finance/chart/2610.TW?period1=1718553600&period2=1722614400&interval=1d&events=div%2Csplits&includeAdjustedClose=true,4dd388e9c2fad50cdd3900b8da44ca95496eee03d0c0fb1e9326c46188ddb68e,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_c3_top1_incumbent_continuous_pit_bounded_fill_20260713\raw_cache\yahoo_2610_1718553600_1722614400.json,True,23,23,0,accepted
adjusted_analysis_hlc,3533,bounded_required_range,https://query1.finance.yahoo.com/v8/finance/chart/3533.TW?period1=1721577600&period2=1735315200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,f454b8ef834c862fe25277f1e63c3f32ed7a9ba5cfca8e903ec0e3af4474da1c,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_c3_top1_incumbent_continuous_pit_bounded_fill_20260713\raw_cache\yahoo_3533_1721577600_1735315200.json,True,95,95,0,accepted
adjusted_analysis_hlc,5871,bounded_required_range,https://query1.finance.yahoo.com/v8/finance/chart/5871.TW?period1=1687881600&period2=1703260800&interval=1d&events=div%2Csplits&includeAdjustedClose=true,ba3eb97293e6a48b89abfb4e361878c5610f044ce8472f0914ee2581f7edb288,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_c3_top1_incumbent_continuous_pit_bounded_fill_20260713\raw_cache\yahoo_5871_1687881600_1703260800.json,True,112,112,0,accepted
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230705&selectType=ALLBUT0999&response=json,774ccfd281e72b848cbcd6f7895a34229e9a5424156f5879f1de27495a444f17,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230710&selectType=ALLBUT0999&response=json,cf75b16d576a757dabd14ff0320638226d659674a416f328af4d7d2ba5107f68,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230711&selectType=ALLBUT0999&response=json,8af2da1a061fb3bb41e5cfa3ce5c6ce946c263784f050ac4ae95dde9adfaab4e,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230712&selectType=ALLBUT0999&response=json,bf7cd15be18b00ff7d1ec55e8be92e493a8a97a57eeddf8470c9cc5c7c7a4b0b,existing_compact,True,1,1,0,reused
