family,date,market,route_status,required_tickers,ready_tickers,blocked_tickers,retrieval_attempted,source_url,source_hash
institutional,2023-06-14,TPEx,reused_existing_compact,25,25,0,False,local_compact,
institutional,2023-06-14,TWSE,reused_existing_compact,55,55,0,False,local_compact,
institutional,2023-06-15,TPEx,reused_existing_compact,25,25,0,False,local_compact,
institutional,2023-06-15,TWSE,reused_existing_compact,55,55,0,False,local_compact,
institutional,2023-06-16,TPEx,reused_existing_compact,25,25,0,False,local_compact,
institutional,2023-06-16,TWSE,reused_existing_compact,55,55,0,False,local_compact,
institutional,2023-06-19,TPEx,reused_existing_compact,25,25,0,False,local_compact,
institutional,2023-06-19,TWSE,reused_existing_compact,55,55,0,False,local_compact,
institutional,2023-06-20,TPEx,reused_existing_compact,25,25,0,False,local_compact,
institutional,2023-06-20,TWSE,reused_existing_compact,55,55,0,False,local_compact,
institutional,2023-06-21,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-06-21,TWSE,reused_existing_compact,78,78,0,False,local_compact,
institutional,2023-06-26,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-06-26,TWSE,reused_existing_compact,78,78,0,False,local_compact,
institutional,2023-06-27,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-06-27,TWSE,reused_existing_compact,78,78,0,False,local_compact,
institutional,2023-06-28,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-06-28,TWSE,reused_existing_compact,78,78,0,False,local_compact,
institutional,2023-06-29,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-06-29,TWSE,reused_existing_compact,78,78,0,False,local_compact,
institutional,2023-06-30,TPEx,reused_existing_compact,40,40,0,False,local_compact,
institutional,2023-06-30,TWSE,accepted,96,87,9,True,https://www.twse.com.tw/fund/T86?date=20230630&selectType=ALLBUT0999&response=json,df24ceb2b6a85349e7654b55c477cb2e8fdacaabef4771a27f5d87c058aa8c32
institutional,2023-07-03,TPEx,reused_existing_compact,40,40,0,False,local_compact,
institutional,2023-07-03,TWSE,reused_existing_compact,96,96,0,False,local_compact,
institutional,2023-07-04,TPEx,reused_existing_compact,40,40,0,False,local_compact,
institutional,2023-07-04,TWSE,reused_existing_compact,96,96,0,False,local_compact,
institutional,2023-07-05,TPEx,reused_existing_compact,40,40,0,False,local_compact,
institutional,2023-07-05,TWSE,reused_existing_compact,96,96,0,False,local_compact,
institutional,2023-07-06,TPEx,reused_existing_compact,45,45,0,False,local_compact,
institutional,2023-07-06,TWSE,reused_existing_compact,113,113,0,False,local_compact,
institutional,2023-07-07,TPEx,reused_existing_compact,45,45,0,False,local_compact,
institutional,2023-07-07,TWSE,reused_existing_compact,113,113,0,False,local_compact,
institutional,2023-07-10,TPEx,reused_existing_compact,45,45,0,False,local_compact,
institutional,2023-07-10,TWSE,reused_existing_compact,113,113,0,False,local_compact,
institutional,2023-07-11,TPEx,reused_existing_compact,45,45,0,False,local_compact,
institutional,2023-07-11,TWSE,reused_existing_compact,113,113,0,False,local_compact,
institutional,2023-07-12,TPEx,reused_existing_compact,45,45,0,False,local_compact,
institutional,2023-07-12,TWSE,reused_existing_compact,113,113,0,False,local_compact,
institutional,2023-07-13,TPEx,reused_existing_compact,50,50,0,False,local_compact,
institutional,2023-07-13,TWSE,reused_existing_compact,139,139,0,False,local_compact,
institutional,2023-07-14,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-07-14,TWSE,reused_existing_compact,102,102,0,False,local_compact,
institutional,2023-07-17,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-07-17,TWSE,reused_existing_compact,102,102,0,False,local_compact,
institutional,2023-07-18,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-07-18,TWSE,reused_existing_compact,102,102,0,False,local_compact,
institutional,2023-07-19,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-07-19,TWSE,reused_existing_compact,102,102,0,False,local_compact,
institutional,2023-07-20,TPEx,reused_existing_compact,39,39,0,False,local_compact,
institutional,2023-07-20,TWSE,reused_existing_compact,118,118,0,False,local_compact,
institutional,2023-07-21,TPEx,reused_existing_compact,30,30,0,False,local_compact,
institutional,2023-07-21,TWSE,reused_existing_compact,106,106,0,False,local_compact,
institutional,2023-07-24,TPEx,reused_existing_compact,30,30,0,False,local_compact,
institutional,2023-07-24,TWSE,reused_existing_compact,106,106,0,False,local_compact,
institutional,2023-07-25,TPEx,reused_existing_compact,30,30,0,False,local_compact,
