family,date,ticker,name,market,required_by_segment_start,requirement,classification,blocked_reason,route_status,source_url,source_hash
institutional,2023-06-30,2645,長榮航太,TWSE,2023-07-14,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230630&selectType=ALLBUT0999&response=json,df24ceb2b6a85349e7654b55c477cb2e8fdacaabef4771a27f5d87c058aa8c32
institutional,2023-06-30,3711,日月光投控,TWSE,2023-07-28,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230630&selectType=ALLBUT0999&response=json,df24ceb2b6a85349e7654b55c477cb2e8fdacaabef4771a27f5d87c058aa8c32
institutional,2023-06-30,4566,時碩工業,TWSE,2023-07-21,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230630&selectType=ALLBUT0999&response=json,df24ceb2b6a85349e7654b55c477cb2e8fdacaabef4771a27f5d87c058aa8c32
institutional,2023-06-30,4967,十銓,TWSE,2023-07-14,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230630&selectType=ALLBUT0999&response=json,df24ceb2b6a85349e7654b55c477cb2e8fdacaabef4771a27f5d87c058aa8c32
institutional,2023-06-30,6515,穎崴,TWSE,2023-07-21,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230630&selectType=ALLBUT0999&response=json,df24ceb2b6a85349e7654b55c477cb2e8fdacaabef4771a27f5d87c058aa8c32
institutional,2023-06-30,6789,采鈺,TWSE,2023-07-14,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230630&selectType=ALLBUT0999&response=json,df24ceb2b6a85349e7654b55c477cb2e8fdacaabef4771a27f5d87c058aa8c32
institutional,2023-06-30,6796,晉弘,TWSE,2023-07-21,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230630&selectType=ALLBUT0999&response=json,df24ceb2b6a85349e7654b55c477cb2e8fdacaabef4771a27f5d87c058aa8c32
institutional,2023-06-30,8028,昇陽半導體,TWSE,2023-07-28,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230630&selectType=ALLBUT0999&response=json,df24ceb2b6a85349e7654b55c477cb2e8fdacaabef4771a27f5d87c058aa8c32
institutional,2023-06-30,8478,東哥遊艇,TWSE,2023-07-14,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230630&selectType=ALLBUT0999&response=json,df24ceb2b6a85349e7654b55c477cb2e8fdacaabef4771a27f5d87c058aa8c32
institutional,2023-08-10,2211,長榮鋼,TWSE,2023-08-11,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230810&selectType=ALLBUT0999&response=json,4cdc385a7983a893c46129bacbbe7885340cddb5a90241aa957ae85af7cb4bfb
institutional,2023-08-10,2364,倫飛,TWSE,2023-09-01,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230810&selectType=ALLBUT0999&response=json,4cdc385a7983a893c46129bacbbe7885340cddb5a90241aa957ae85af7cb4bfb
institutional,2023-08-10,2645,長榮航太,TWSE,2023-08-11,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230810&selectType=ALLBUT0999&response=json,4cdc385a7983a893c46129bacbbe7885340cddb5a90241aa957ae85af7cb4bfb
institutional,2023-08-10,3043,科風,TWSE,2023-08-18,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230810&selectType=ALLBUT0999&response=json,4cdc385a7983a893c46129bacbbe7885340cddb5a90241aa957ae85af7cb4bfb
institutional,2023-08-10,3711,日月光投控,TWSE,2023-08-25,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230810&selectType=ALLBUT0999&response=json,4cdc385a7983a893c46129bacbbe7885340cddb5a90241aa957ae85af7cb4bfb
institutional,2023-08-10,3715,定穎投控,TWSE,2023-08-18,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230810&selectType=ALLBUT0999&response=json,4cdc385a7983a893c46129bacbbe7885340cddb5a90241aa957ae85af7cb4bfb
institutional,2023-08-10,4961,天鈺,TWSE,2023-08-25,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230810&selectType=ALLBUT0999&response=json,4cdc385a7983a893c46129bacbbe7885340cddb5a90241aa957ae85af7cb4bfb
institutional,2023-08-10,5222,全訊,TWSE,2023-08-18,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230810&selectType=ALLBUT0999&response=json,4cdc385a7983a893c46129bacbbe7885340cddb5a90241aa957ae85af7cb4bfb
institutional,2023-08-10,6672,騰輝電子-KY,TWSE,2023-08-11,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230810&selectType=ALLBUT0999&response=json,4cdc385a7983a893c46129bacbbe7885340cddb5a90241aa957ae85af7cb4bfb
institutional,2023-08-10,6799,來頡,TWSE,2023-08-25,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230810&selectType=ALLBUT0999&response=json,4cdc385a7983a893c46129bacbbe7885340cddb5a90241aa957ae85af7cb4bfb
institutional,2023-09-14,9945,潤泰新,TWSE,2023-09-28,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230914&selectType=ALLBUT0999&response=json,5e1982621fdc3a836bd5793428ccddc5733dc603dad18853ab24ae5624821076
institutional,2023-09-15,9945,潤泰新,TWSE,2023-09-28,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230915&selectType=ALLBUT0999&response=json,179d6a762eeef238402ae70b401cc6c4dc4b97a4930880f740ccfa59c4e6cdd6
institutional,2023-09-18,9945,潤泰新,TWSE,2023-09-28,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230918&selectType=ALLBUT0999&response=json,73b1af431684e99ee82c4f9c1f47397b6a612efa66b0cec140e767ff79cf4a5c
institutional,2023-09-19,2364,倫飛,TWSE,2023-09-22,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230919&selectType=ALLBUT0999&response=json,7c04cf186b806f9886b1c997d8cb0f9e1d7f81ab9acde7a47e9cb1c72b70fedf
institutional,2023-09-19,2468,華經,TWSE,2023-10-06,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230919&selectType=ALLBUT0999&response=json,7c04cf186b806f9886b1c997d8cb0f9e1d7f81ab9acde7a47e9cb1c72b70fedf
institutional,2023-09-19,3701,大眾控,TWSE,2023-10-20,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230919&selectType=ALLBUT0999&response=json,7c04cf186b806f9886b1c997d8cb0f9e1d7f81ab9acde7a47e9cb1c72b70fedf
institutional,2023-09-19,3711,日月光投控,TWSE,2023-09-22,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230919&selectType=ALLBUT0999&response=json,7c04cf186b806f9886b1c997d8cb0f9e1d7f81ab9acde7a47e9cb1c72b70fedf
institutional,2023-09-19,3715,定穎投控,TWSE,2023-10-06,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230919&selectType=ALLBUT0999&response=json,7c04cf186b806f9886b1c997d8cb0f9e1d7f81ab9acde7a47e9cb1c72b70fedf
institutional,2023-09-19,4961,天鈺,TWSE,2023-10-20,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230919&selectType=ALLBUT0999&response=json,7c04cf186b806f9886b1c997d8cb0f9e1d7f81ab9acde7a47e9cb1c72b70fedf
institutional,2023-09-19,4967,十銓,TWSE,2023-09-22,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230919&selectType=ALLBUT0999&response=json,7c04cf186b806f9886b1c997d8cb0f9e1d7f81ab9acde7a47e9cb1c72b70fedf
institutional,2023-09-19,5876,上海商銀,TWSE,2023-10-20,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230919&selectType=ALLBUT0999&response=json,7c04cf186b806f9886b1c997d8cb0f9e1d7f81ab9acde7a47e9cb1c72b70fedf
institutional,2023-09-19,6288,聯嘉,TWSE,2023-10-06,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230919&selectType=ALLBUT0999&response=json,7c04cf186b806f9886b1c997d8cb0f9e1d7f81ab9acde7a47e9cb1c72b70fedf
institutional,2023-09-19,6806,森崴能源,TWSE,2023-10-06,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230919&selectType=ALLBUT0999&response=json,7c04cf186b806f9886b1c997d8cb0f9e1d7f81ab9acde7a47e9cb1c72b70fedf
institutional,2023-09-20,9945,潤泰新,TWSE,2023-09-28,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230920&selectType=ALLBUT0999&response=json,96f5c37c3d21db20db97de10167248bc4e0f36d800f13e3aca0ec7917a2465d0
institutional,2023-09-21,9945,潤泰新,TWSE,2023-09-28,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230921&selectType=ALLBUT0999&response=json,b8405ecd37b47373bb324e9889c98611409e7f729d34575a97d0d22e23293f07
institutional,2023-09-22,9945,潤泰新,TWSE,2023-09-28,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20230922&selectType=ALLBUT0999&response=json,709db4233600fa1f39a4e4d5c3902365b4d51a0c9b76b8b635c43eebca8618da
institutional,2023-12-05,1529,樂事綠能,TWSE,2023-12-08,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20231205&selectType=ALLBUT0999&response=json,d5a770184bc0aff3d138a8d313e4da2804e5204ae18a2f7b44d3c32b7b4a8b8f
institutional,2023-12-05,6117,迎廣,TWSE,2023-12-22,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20231205&selectType=ALLBUT0999&response=json,d5a770184bc0aff3d138a8d313e4da2804e5204ae18a2f7b44d3c32b7b4a8b8f
institutional,2023-12-05,6691,洋基工程,TWSE,2023-12-08,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20231205&selectType=ALLBUT0999&response=json,d5a770184bc0aff3d138a8d313e4da2804e5204ae18a2f7b44d3c32b7b4a8b8f
institutional,2023-12-05,6756,威鋒電子,TWSE,2023-12-29,official_chip_family_pre_segment_20td_warmup,official_zero_or_not_applicable,official market file accepted but ticker row absent; no zero or stale-value substitution,accepted,https://www.twse.com.tw/fund/T86?date=20231205&selectType=ALLBUT0999&response=json,d5a770184bc0aff3d138a8d313e4da2804e5204ae18a2f7b44d3c32b7b4a8b8f
