family,date,market,route_status,required_tickers,ready_tickers,blocked_tickers,retrieval_attempted,source_url,source_hash
securities_lending,2023-06-14,TPEx,reused_existing_compact,25,25,0,False,local_compact,
securities_lending,2023-06-14,TWSE,accepted,55,54,1,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230614&response=json,9b877896c3b256cbe93a0cf3e28cc78e59eb8863f83e42e55ecc5bd2aba47632
securities_lending,2023-06-15,TPEx,reused_existing_compact,25,25,0,False,local_compact,
securities_lending,2023-06-15,TWSE,accepted,55,54,1,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230615&response=json,389b8485b757fa8d8a27c3cf9d3d9f186865fcac8593fc348f77bee81e9f598a
securities_lending,2023-06-16,TPEx,reused_existing_compact,25,25,0,False,local_compact,
securities_lending,2023-06-16,TWSE,accepted,55,54,1,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230616&response=json,53a27629c4b7a9b108e6a7286be0308cf4e164042c0c669a9043d0ac632fd018
securities_lending,2023-06-19,TPEx,reused_existing_compact,25,25,0,False,local_compact,
securities_lending,2023-06-19,TWSE,accepted,55,54,1,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230619&response=json,cf8a7b5b276897997ec35e320d3273985bd05b27a85d9eef7152bead11bab8c2
securities_lending,2023-06-20,TPEx,reused_existing_compact,25,25,0,False,local_compact,
securities_lending,2023-06-20,TWSE,accepted,55,54,1,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230620&response=json,70eda8c6ccc1473e7be7e6a63a438a210a970df36f9f2de3e4fe8013682cd18b
securities_lending,2023-06-21,TPEx,reused_existing_compact,35,35,0,False,local_compact,
securities_lending,2023-06-21,TWSE,accepted,78,76,2,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230621&response=json,c29463c64948a48a2c8b979728163e19c793d9ab8570e651e124a8600f34e195
securities_lending,2023-06-26,TPEx,reused_existing_compact,35,35,0,False,local_compact,
securities_lending,2023-06-26,TWSE,accepted,78,76,2,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230626&response=json,fcf2ad168e562da22f7d6981fd61a6c8200053ae508bdb59e1aacf043de4430d
securities_lending,2023-06-27,TPEx,reused_existing_compact,35,35,0,False,local_compact,
securities_lending,2023-06-27,TWSE,accepted,78,76,2,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230627&response=json,af09b1c8a1608345e2e55f7c9338eff279f5e5fcba45d7290f5c802a95c8027b
securities_lending,2023-06-28,TPEx,reused_existing_compact,35,35,0,False,local_compact,
securities_lending,2023-06-28,TWSE,accepted,78,76,2,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230628&response=json,8f95ee7ca53eab860a1c9186d8ddf5b11d8c1493144d03bbc75b3d673692834b
securities_lending,2023-06-29,TPEx,reused_existing_compact,35,35,0,False,local_compact,
securities_lending,2023-06-29,TWSE,accepted,78,76,2,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230629&response=json,9263ac51580c2b790ca7ed56ffbcd9d5afe2bf3f7232a0fc79bb720d1a17cd12
securities_lending,2023-06-30,TPEx,reused_existing_compact,40,40,0,False,local_compact,
securities_lending,2023-06-30,TWSE,accepted,96,94,2,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230630&response=json,50ef105032ae2671a8fbfe7cd7c4b08172d922db7b996729f0c37a82319d390b
securities_lending,2023-07-03,TPEx,reused_existing_compact,40,40,0,False,local_compact,
securities_lending,2023-07-03,TWSE,accepted,96,94,2,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230703&response=json,d95d9e6c8678770e75b0bd4df4f3c9c3f4249522f4a21f7d81e4d4e36460f3be
securities_lending,2023-07-04,TPEx,reused_existing_compact,40,40,0,False,local_compact,
securities_lending,2023-07-04,TWSE,accepted,96,94,2,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230704&response=json,d157e1f84fe1edc88396e0f1c461a8fc91cbed26f27b1388e14d3816810cd49f
securities_lending,2023-07-05,TPEx,reused_existing_compact,40,40,0,False,local_compact,
securities_lending,2023-07-05,TWSE,accepted,96,95,1,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230705&response=json,06270459570a11dba51870abe106370ff78c2c849e46d56d2a06c180a3959344
securities_lending,2023-07-06,TPEx,reused_existing_compact,45,45,0,False,local_compact,
securities_lending,2023-07-06,TWSE,accepted,113,112,1,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230706&response=json,181a96a889807d0b20b9d598731ec3aebeaf2dcb72de7720c8fe372c73281a52
securities_lending,2023-07-07,TPEx,reused_existing_compact,45,45,0,False,local_compact,
securities_lending,2023-07-07,TWSE,accepted,113,112,1,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230707&response=json,4753a6ed64371c8c37afba67eb012bb086bfa9d0f5800c0ee18c05490695d36e
securities_lending,2023-07-10,TPEx,reused_existing_compact,45,45,0,False,local_compact,
securities_lending,2023-07-10,TWSE,accepted,113,112,1,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230710&response=json,6c0e7b7596ba16c45c4d6ee90e3c2bfec07f8e6cc36dc2bc23de85425c36a279
securities_lending,2023-07-11,TPEx,reused_existing_compact,45,45,0,False,local_compact,
securities_lending,2023-07-11,TWSE,accepted,113,112,1,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230711&response=json,0d802c8980e2f74806ac684f8c207b41eb7b61d776a7d2a6b1a81e60884b213a
securities_lending,2023-07-12,TPEx,reused_existing_compact,45,45,0,False,local_compact,
securities_lending,2023-07-12,TWSE,accepted,113,112,1,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230712&response=json,d84703e670a6727f17c802e4df67d7044b601c51deab5dfaceed6bab6b8c8a6e
securities_lending,2023-07-13,TPEx,reused_existing_compact,50,50,0,False,local_compact,
securities_lending,2023-07-13,TWSE,accepted,139,138,1,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230713&response=json,81d4b49efd47fc072f1e7e9be033d9f3e189dc26331809539f8cfaac77102d3e
securities_lending,2023-07-14,TPEx,reused_existing_compact,32,32,0,False,local_compact,
securities_lending,2023-07-14,TWSE,accepted,102,101,1,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230714&response=json,d984148cbc48ce21c434a1e360e254ef7e690b628d8cb66bd4ba3da1401c87dd
securities_lending,2023-07-17,TPEx,reused_existing_compact,32,32,0,False,local_compact,
securities_lending,2023-07-17,TWSE,accepted,102,101,1,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230717&response=json,e355ff48f89598ed75afc3ad7a49982328c211e7890eb3dc41daf8c178dc3480
securities_lending,2023-07-18,TPEx,reused_existing_compact,32,32,0,False,local_compact,
securities_lending,2023-07-18,TWSE,accepted,102,101,1,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230718&response=json,cdbb5cb5f4529e95dc09352d816885d8e0bc8eda5bbcee05f644796a288632ac
securities_lending,2023-07-19,TPEx,reused_existing_compact,32,32,0,False,local_compact,
securities_lending,2023-07-19,TWSE,accepted,102,101,1,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230719&response=json,cf1f9f5a6ad9a0a08c5f3cbfb410ac1bc08d871f23a689b5551a6feedeb31e5b
securities_lending,2023-07-20,TPEx,reused_existing_compact,39,39,0,False,local_compact,
securities_lending,2023-07-20,TWSE,accepted,118,117,1,True,https://www.twse.com.tw/exchangeReport/TWT72U?date=20230720&response=json,cf985b323f9f992b034d761ab2cc5b8a9086705fc08c3edcdb1953ae11ede1a1
securities_lending,2023-07-21,TPEx,reused_existing_compact,30,30,0,False,local_compact,
securities_lending,2023-07-21,TWSE,reused_existing_compact,106,106,0,False,local_compact,
securities_lending,2023-07-24,TPEx,reused_existing_compact,30,30,0,False,local_compact,
securities_lending,2023-07-24,TWSE,reused_existing_compact,106,106,0,False,local_compact,
securities_lending,2023-07-25,TPEx,reused_existing_compact,30,30,0,False,local_compact,
securities_lending,2023-07-25,TWSE,reused_existing_compact,106,106,0,False,local_compact,
securities_lending,2023-07-26,TPEx,reused_existing_compact,30,30,0,False,local_compact,
securities_lending,2023-07-26,TWSE,reused_existing_compact,106,106,0,False,local_compact,
securities_lending,2023-07-27,TPEx,reused_existing_compact,39,39,0,False,local_compact,
securities_lending,2023-07-27,TWSE,reused_existing_compact,132,132,0,False,local_compact,
securities_lending,2023-07-28,TPEx,reused_existing_compact,34,34,0,False,local_compact,
securities_lending,2023-07-28,TWSE,reused_existing_compact,115,115,0,False,local_compact,
securities_lending,2023-07-31,TPEx,reused_existing_compact,34,34,0,False,local_compact,
securities_lending,2023-07-31,TWSE,reused_existing_compact,115,115,0,False,local_compact,
securities_lending,2023-08-01,TPEx,reused_existing_compact,34,34,0,False,local_compact,
securities_lending,2023-08-01,TWSE,reused_existing_compact,115,115,0,False,local_compact,
securities_lending,2023-08-02,TPEx,reused_existing_compact,34,34,0,False,local_compact,
securities_lending,2023-08-02,TWSE,reused_existing_compact,115,115,0,False,local_compact,
securities_lending,2023-08-04,TPEx,reused_existing_compact,36,36,0,False,local_compact,
securities_lending,2023-08-04,TWSE,reused_existing_compact,106,106,0,False,local_compact,
securities_lending,2023-08-07,TPEx,reused_existing_compact,36,36,0,False,local_compact,
securities_lending,2023-08-07,TWSE,reused_existing_compact,106,106,0,False,local_compact,
securities_lending,2023-08-08,TPEx,reused_existing_compact,36,36,0,False,local_compact,
securities_lending,2023-08-08,TWSE,reused_existing_compact,106,106,0,False,local_compact,
securities_lending,2023-08-09,TPEx,reused_existing_compact,36,36,0,False,local_compact,
securities_lending,2023-08-09,TWSE,reused_existing_compact,106,106,0,False,local_compact,
securities_lending,2023-08-10,TPEx,reused_existing_compact,36,36,0,False,local_compact,
securities_lending,2023-08-10,TWSE,reused_existing_compact,106,106,0,False,local_compact,
securities_lending,2023-08-11,TPEx,reused_existing_compact,35,35,0,False,local_compact,
securities_lending,2023-08-11,TWSE,reused_existing_compact,89,89,0,False,local_compact,
securities_lending,2023-08-14,TPEx,reused_existing_compact,35,35,0,False,local_compact,
securities_lending,2023-08-14,TWSE,reused_existing_compact,89,89,0,False,local_compact,
securities_lending,2023-08-15,TPEx,reused_existing_compact,35,35,0,False,local_compact,
securities_lending,2023-08-15,TWSE,reused_existing_compact,89,89,0,False,local_compact,
