ticker,market,required_dates,blocked_dates,source_status,attempt_evidence,raw_used_as_adjusted
1210,TWSE,280,1,accepted,,False
1216,TWSE,705,1,accepted,,False
1476,TWSE,686,1,accepted,,False
1503,TWSE,684,1,accepted,,False
1504,TWSE,552,1,accepted,,False
1513,TWSE,796,1,accepted,,False
1514,TWSE,689,1,accepted,,False
1519,TWSE,727,1,accepted,,False
1560,TWSE,785,1,accepted,,False
1590,TWSE,673,1,accepted,,False
1609,TWSE,586,1,accepted,,False
1616,TWSE,124,1,accepted,,False
1773,TWSE,176,1,accepted,,False
1785,TPEx,704,1,accepted,,False
1795,TWSE,612,1,accepted,,False
1815,TPEx,350,1,accepted,,False
2027,TWSE,481,1,accepted,,False
2059,TWSE,755,1,accepted,,False
2228,TWSE,168,1,accepted,,False
2301,TWSE,564,1,accepted,,False
2303,TWSE,742,1,accepted,,False
2308,TWSE,760,1,accepted,,False
2311,TWSE,84,84,blocked_no_trusted_free_adjusted_history,,False
2312,TWSE,492,1,accepted,,False
2313,TWSE,778,1,accepted,,False
2317,TWSE,795,1,accepted,,False
2325,TWSE,84,84,blocked_no_trusted_free_adjusted_history,,False
2327,TWSE,721,1,accepted,,False
2328,TWSE,263,1,accepted,,False
2329,TWSE,557,1,accepted,,False
2330,TWSE,796,1,accepted,,False
2345,TWSE,766,1,accepted,,False
2347,TWSE,568,1,accepted,,False
2353,TWSE,793,1,accepted,,False
2354,TWSE,466,1,accepted,,False
2356,TWSE,792,1,accepted,,False
2357,TWSE,762,1,accepted,,False
2359,TWSE,493,1,accepted,,False
2360,TWSE,774,1,accepted,,False
2363,TWSE,594,1,accepted,,False
2365,TWSE,447,1,accepted,,False
2368,TWSE,681,1,accepted,,False
2371,TWSE,633,1,accepted,,False
2374,TWSE,553,1,accepted,,False
2375,TWSE,318,1,accepted,,False
2376,TWSE,776,1,accepted,,False
2377,TWSE,621,1,accepted,,False
2379,TWSE,777,1,accepted,,False
2382,TWSE,723,1,accepted,,False
2383,TWSE,786,1,accepted,,False
2392,TWSE,442,1,accepted,,False
2395,TWSE,465,1,accepted,,False
2402,TWSE,723,1,accepted,,False
2404,TWSE,567,1,accepted,,False
2412,TWSE,782,1,accepted,,False
2421,TWSE,632,1,accepted,,False
2428,TWSE,203,1,accepted,,False
2436,TWSE,352,1,accepted,,False
2439,TWSE,520,1,accepted,,False
2441,TWSE,215,1,accepted,,False
2448,TWSE,84,84,blocked_no_trusted_free_adjusted_history,,False
2449,TWSE,622,1,accepted,,False
2451,TWSE,307,1,accepted,,False
2454,TWSE,782,1,accepted,,False
2455,TWSE,614,1,accepted,,False
2456,TWSE,84,84,blocked_no_trusted_free_adjusted_history,,False
2467,TWSE,647,1,accepted,,False
2472,TWSE,401,1,accepted,,False
2474,TWSE,642,1,accepted,,False
2476,TWSE,537,1,accepted,,False
2478,TWSE,120,1,accepted,,False
2481,TWSE,478,1,accepted,,False
2486,TWSE,543,1,accepted,,False
2492,TWSE,620,1,accepted,,False
2495,TWSE,251,1,accepted,,False
2605,TWSE,533,1,accepted,,False
2606,TWSE,517,1,accepted,,False
2637,TWSE,475,1,accepted,,False
2645,TWSE,560,1,accepted,,False
2731,TWSE,474,1,accepted,,False
2801,TWSE,665,1,accepted,,False
2809,TWSE,286,286,blocked_no_trusted_free_adjusted_history,,False
2823,TWSE,84,84,blocked_no_trusted_free_adjusted_history,,False
2880,TWSE,772,1,accepted,,False
2881,TWSE,671,1,accepted,,False
2882,TWSE,729,1,accepted,,False
2883,TWSE,743,1,accepted,,False
2884,TWSE,791,1,accepted,,False
2885,TWSE,757,1,accepted,,False
2886,TWSE,757,1,accepted,,False
2887,TWSE,762,1,accepted,,False
2888,TWSE,582,582,blocked_no_trusted_free_adjusted_history,,False
2890,TWSE,796,1,accepted,,False
2891,TWSE,791,1,accepted,,False
2892,TWSE,796,1,accepted,,False
2912,TWSE,745,1,accepted,,False
3004,TWSE,233,1,accepted,,False
3005,TWSE,608,1,accepted,,False
3008,TWSE,749,1,accepted,,False
3013,TWSE,649,1,accepted,,False
3017,TWSE,761,1,accepted,,False
3019,TWSE,635,1,accepted,,False
3026,TWSE,219,1,accepted,,False
3029,TWSE,550,1,accepted,,False
