ticker,market,event_inventory_rows,event_inventory_available,no_event_completeness_proven,official_adjusted_complete,status
1101,TWSE,6,True,False,False,partial_event_inventory_no_no_event_proof
1102,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1210,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1215,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
1216,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1301,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1303,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1307,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1319,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1326,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1339,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1402,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1409,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1476,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1477,TWSE,7,True,False,False,partial_event_inventory_no_no_event_proof
1503,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1504,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1513,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
1514,TWSE,8,True,False,False,partial_event_inventory_no_no_event_proof
1515,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
1519,TWSE,8,True,False,False,partial_event_inventory_no_no_event_proof
1522,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1524,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1529,TWSE,9,True,False,False,partial_event_inventory_no_no_event_proof
1532,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1536,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
1540,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1560,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1582,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1584,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
1590,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1597,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1603,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1605,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1608,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
1609,TWSE,9,True,False,False,partial_event_inventory_no_no_event_proof
1612,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1616,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
1618,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1702,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1708,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
1711,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
1717,TWSE,7,True,False,False,partial_event_inventory_no_no_event_proof
