family,ticker,market,required_dates,ready_dates,blocked_dates,ready_share
price,1101,TWSE,169,169,0,1.0
price,1102,TWSE,62,62,0,1.0
price,1210,TWSE,38,38,0,1.0
price,1215,TWSE,5,5,0,1.0
price,1216,TWSE,340,340,0,1.0
price,1301,TWSE,22,22,0,1.0
price,1303,TWSE,78,78,0,1.0
price,1307,TWSE,4,4,0,1.0
price,1319,TWSE,185,185,0,1.0
price,1326,TWSE,28,28,0,1.0
price,1339,TWSE,5,5,0,1.0
price,1402,TWSE,93,93,0,1.0
price,1409,TWSE,1,1,0,1.0
price,1476,TWSE,135,135,0,1.0
price,1477,TWSE,169,169,0,1.0
price,1503,TWSE,120,120,0,1.0
price,1504,TWSE,145,145,0,1.0
price,1513,TWSE,320,320,0,1.0
price,1514,TWSE,201,201,0,1.0
price,1515,TWSE,5,5,0,1.0
price,1519,TWSE,276,276,0,1.0
price,1522,TWSE,76,76,0,1.0
price,1524,TWSE,80,80,0,1.0
price,1529,TWSE,5,5,0,1.0
price,1532,TWSE,5,5,0,1.0
price,1536,TWSE,23,23,0,1.0
price,1540,TWSE,7,7,0,1.0
price,1560,TWSE,288,288,0,1.0
price,1582,TWSE,42,42,0,1.0
price,1584,TPEx,58,58,0,1.0
price,1590,TWSE,314,314,0,1.0
price,1597,TWSE,47,47,0,1.0
price,1603,TWSE,17,17,0,1.0
price,1605,TWSE,126,126,0,1.0
price,1608,TWSE,48,48,0,1.0
price,1609,TWSE,177,177,0,1.0
price,1612,TWSE,18,18,0,1.0
price,1616,TWSE,15,15,0,1.0
price,1618,TWSE,41,41,0,1.0
price,1702,TWSE,5,5,0,1.0
price,1708,TWSE,10,10,0,1.0
price,1711,TWSE,17,17,0,1.0
price,1717,TWSE,37,37,0,1.0
price,1722,TWSE,5,5,0,1.0
price,1727,TWSE,5,5,0,1.0
price,1732,TWSE,5,5,0,1.0
price,1736,TWSE,22,22,0,1.0
price,1760,TWSE,10,10,0,1.0
price,1773,TWSE,18,18,0,1.0
price,1785,TPEx,265,265,0,1.0
price,1795,TWSE,236,236,0,1.0
price,1802,TWSE,9,9,0,1.0
price,1808,TWSE,15,15,0,1.0
price,1815,TPEx,180,180,0,1.0
price,1904,TWSE,4,4,0,1.0
price,2002,TWSE,34,34,0,1.0
price,2009,TWSE,9,9,0,1.0
price,2014,TWSE,29,29,0,1.0
price,2027,TWSE,95,95,0,1.0
price,2031,TWSE,9,9,0,1.0
price,2049,TWSE,171,171,0,1.0
price,2059,TWSE,229,229,0,1.0
price,2062,TWSE,8,8,0,1.0
price,2070,TPEx,4,4,0,1.0
price,2101,TWSE,47,47,0,1.0
price,2105,TWSE,55,55,0,1.0
price,2201,TWSE,81,81,0,1.0
price,2204,TWSE,90,90,0,1.0
price,2206,TWSE,68,68,0,1.0
price,2207,TWSE,14,14,0,1.0
price,2211,TWSE,5,5,0,1.0
price,2228,TWSE,10,10,0,1.0
price,2230,TPEx,10,10,0,1.0
price,2233,TWSE,33,33,0,1.0
price,2301,TWSE,258,258,0,1.0
price,2303,TWSE,316,316,0,1.0
price,2308,TWSE,431,431,0,1.0
price,2311,TWSE,5,0,5,0.0
price,2312,TWSE,101,101,0,1.0
price,2313,TWSE,260,260,0,1.0
price,2317,TWSE,474,474,0,1.0
price,2323,TWSE,5,5,0,1.0
price,2324,TWSE,82,82,0,1.0
price,2325,TWSE,5,0,5,0.0
price,2327,TWSE,365,364,1,0.997260274
price,2328,TWSE,52,52,0,1.0
price,2329,TWSE,165,165,0,1.0
price,2330,TWSE,554,554,0,1.0
price,2331,TWSE,10,10,0,1.0
price,2332,TWSE,15,15,0,1.0
price,2337,TWSE,15,15,0,1.0
price,2338,TWSE,3,3,0,1.0
