ticker,name,market,segment_start_snapshot,warmup_required_sessions,warmup_actual_sessions,warmup_start,warmup_end,segment_type
3008,大立光,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3260,威剛,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
1609,大亞,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3665,貿聯-KY,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2388,威盛,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
1504,東元,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2308,台達電,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3680,家登,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
8478,東哥遊艇,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2330,台積電,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3293,鈊象,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2886,兆豐金,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2353,宏碁,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
1513,中興電,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
1477,聚陽,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3207,耀勝,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
5483,中美晶,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2206,三陽工業,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
5388,中磊,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2317,鴻海,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
4938,和碩,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2481,強茂,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
