family,market,date_or_week,classification,reason
tdcc_holder_distribution,TWSE,2025-08-01|2311,official_query_success_zero_ticker_rows,empty_or_schema_mismatch
tdcc_holder_distribution,TWSE,2025-08-01|2325,official_query_success_zero_ticker_rows,empty_or_schema_mismatch
tdcc_holder_distribution,TWSE,2025-08-01|2448,official_query_success_zero_ticker_rows,empty_or_schema_mismatch
tdcc_holder_distribution,TWSE,2025-08-01|2456,official_query_success_zero_ticker_rows,empty_or_schema_mismatch
tdcc_holder_distribution,TWSE,2025-08-01|2823,official_query_success_zero_ticker_rows,empty_or_schema_mismatch
tdcc_holder_distribution,TWSE,2025-08-01|2888,official_query_success_zero_ticker_rows,empty_or_schema_mismatch
tdcc_holder_distribution,TWSE,2025-08-01|3698,official_query_success_zero_ticker_rows,empty_or_schema_mismatch
tdcc_holder_distribution,TWSE,2025-08-01|5264,official_query_success_zero_ticker_rows,empty_or_schema_mismatch
tdcc_holder_distribution,TPEx,2025-08-15|6190,official_query_success_zero_ticker_rows,empty_or_schema_mismatch
tdcc_holder_distribution,TPEx,2026-04-17|5443,official_query_success_zero_ticker_rows,empty_or_schema_mismatch
tdcc_holder_distribution,TWSE,2026-04-17|6139,official_query_success_zero_ticker_rows,empty_or_schema_mismatch
