date,product,investor,foreign_futures_oi_net_contracts,foreign_futures_oi_net_amount,source_quality,available_at_policy,source_url,source_hash,retrieval_time_utc
2025-09-19,TXF,foreign,-17603,-90367888,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
2025-09-22,TXF,foreign,-17239,-89267816,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
2025-09-23,TXF,foreign,-16200,-85085066,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
2025-09-24,TXF,foreign,-19917,-104493806,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
2025-09-25,TXF,foreign,-21779,-113659793,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
2025-09-26,TXF,foreign,-25119,-128909458,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
2025-09-30,TXF,foreign,-21930,-113826133,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
2025-10-01,TXF,foreign,-22349,-116405317,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
2025-10-03,TXF,foreign,-20852,-111497715,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
2025-10-15,TXF,foreign,-21671,-118276764,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
2025-11-06,TXF,foreign,-29917,-167751498,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
2025-11-26,TXF,foreign,-28657,-156689966,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
2025-12-08,TXF,foreign,-27463,-155348456,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
2025-12-09,TXF,foreign,-31427,-177351895,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
2025-12-10,TXF,foreign,-28629,-162607726,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
2025-12-11,TXF,foreign,-31008,-174265083,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
2025-12-12,TXF,foreign,-29032,-164241849,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
2025-12-15,TXF,foreign,-33686,-188248122,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
2025-12-16,TXF,foreign,-34213,-189552906,official_taifex_market_level_range_download,official post-close release; eligible next trading day only,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,2026-07-11T09:55:21+00:00
