ticker,name,market,segment_id,first_decision_date,last_decision_date,decision_dates,ready_decision_dates,pre_segment_adjusted_observations,required_warmup_observations,warmup_252td_ready,status,future_data_violation_count,diagnostic_subproblem,supports_sequential_lifecycle_rank1_timing,representative_of_full_all80_layer5,may_be_used_to_reject_full_layer5,broad_additive_formula_followup,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
1101,台泥,TWSE,1,2024-08-19,2024-08-23,5,5,518,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1216,統一,TWSE,1,2023-11-06,2023-11-10,5,5,328,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1216,統一,TWSE,2,2024-08-12,2024-08-16,5,5,513,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1319,東陽,TWSE,1,2023-10-30,2023-11-03,5,5,323,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1319,東陽,TWSE,2,2024-10-07,2024-10-11,4,4,550,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1519,華城,TWSE,1,2026-02-23,2026-02-26,4,4,881,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1524,耿鼎,TWSE,1,2023-11-13,2023-11-17,5,5,333,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1582,信錦,TWSE,1,2023-12-25,2023-12-29,5,5,363,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1584,精剛,TPEx,1,2023-10-11,2023-10-20,8,8,310,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1597,直得,TWSE,1,2025-01-20,2025-01-22,3,3,622,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1605,華新,TWSE,1,2025-03-10,2025-03-14,5,5,649,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1815,富喬,TPEx,1,2025-06-30,2025-07-04,5,5,725,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2049,上銀,TWSE,1,2024-10-28,2024-11-01,4,4,564,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2049,上銀,TWSE,2,2024-11-18,2024-11-22,5,5,578,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2301,光寶科,TWSE,1,2025-02-17,2025-02-21,5,5,635,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2308,台達電,TWSE,1,2025-11-03,2025-11-07,5,5,810,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2308,台達電,TWSE,2,2026-05-18,2026-05-22,5,5,937,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2317,鴻海,TWSE,1,2024-06-11,2024-06-14,4,4,471,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2317,鴻海,TWSE,2,2025-05-26,2025-05-29,4,4,701,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2317,鴻海,TWSE,3,2025-06-09,2025-06-13,5,5,710,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2317,鴻海,TWSE,4,2025-09-22,2025-09-26,5,5,784,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2317,鴻海,TWSE,5,2025-10-13,2025-10-17,5,5,796,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2317,鴻海,TWSE,6,2026-06-01,2026-06-05,5,5,947,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2327,國巨*,TWSE,1,2024-05-20,2024-05-24,5,5,456,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2327,國巨*,TWSE,2,2024-07-01,2024-07-05,5,5,485,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2330,台積電,TWSE,1,2024-12-09,2024-12-13,5,5,593,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2330,台積電,TWSE,2,2024-12-30,2025-01-03,4,4,608,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2330,台積電,TWSE,3,2025-05-19,2025-05-23,5,5,696,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2330,台積電,TWSE,4,2025-06-02,2025-06-06,5,5,705,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2330,台積電,TWSE,5,2025-09-01,2025-09-05,5,5,769,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2330,台積電,TWSE,6,2025-11-17,2025-11-21,5,5,820,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2330,台積電,TWSE,7,2025-12-08,2025-12-12,5,5,835,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2330,台積電,TWSE,8,2026-04-07,2026-04-10,4,4,909,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2330,台積電,TWSE,9,2026-05-25,2026-05-29,5,5,942,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2330,台積電,TWSE,10,2026-06-22,2026-06-26,5,5,961,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2332,友訊,TWSE,1,2023-09-11,2023-09-15,5,5,291,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2345,智邦,TWSE,1,2024-06-24,2024-06-28,5,5,480,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2347,聯強,TWSE,1,2024-06-03,2024-06-07,5,5,466,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2353,宏碁,TWSE,1,2024-02-19,2024-02-23,5,5,395,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2360,致茂,TWSE,1,2025-12-15,2025-12-19,5,5,840,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2376,技嘉,TWSE,1,2024-11-25,2024-11-29,5,5,583,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2377,微星,TWSE,1,2024-01-15,2024-01-19,5,5,377,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2377,微星,TWSE,2,2025-02-10,2025-02-14,5,5,630,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2379,瑞昱,TWSE,1,2025-02-03,2025-02-07,5,5,625,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2379,瑞昱,TWSE,2,2025-03-03,2025-03-07,5,5,644,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2382,廣達,TWSE,1,2024-07-15,2024-07-19,5,5,495,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2382,廣達,TWSE,2,2026-04-27,2026-04-30,4,4,923,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2383,台光電,TWSE,1,2024-03-04,2024-03-08,5,5,404,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2402,毅嘉,TWSE,1,2023-09-18,2023-09-22,5,5,296,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2412,中華電,TWSE,1,2024-09-09,2024-09-13,5,5,533,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2412,中華電,TWSE,2,2025-04-14,2025-04-18,5,5,672,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2412,中華電,TWSE,3,2025-05-05,2025-05-16,10,10,686,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2421,建準,TWSE,1,2024-11-04,2024-11-15,10,10,568,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2439,美律,TWSE,1,2024-07-22,2024-07-26,3,3,500,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2454,聯發科,TWSE,1,2023-12-11,2023-12-15,5,5,353,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2454,聯發科,TWSE,2,2025-12-22,2025-12-26,4,4,845,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2458,義隆,TWSE,1,2023-08-21,2023-09-01,10,10,276,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2481,強茂,TWSE,1,2023-08-07,2023-08-11,5,5,266,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2492,華新科,TWSE,1,2023-09-25,2023-10-06,9,9,301,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2497,怡利電,TWSE,1,2024-10-14,2024-10-18,5,5,554,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2880,華南金,TWSE,1,2025-01-06,2025-01-10,5,5,612,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2881,富邦金,TWSE,1,2025-03-31,2025-04-11,8,8,664,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2881,富邦金,TWSE,2,2025-11-24,2025-12-05,10,10,825,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2883,凱基金,TWSE,1,2023-12-04,2023-12-08,5,5,348,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2887,台新新光金,TWSE,1,2025-11-10,2025-11-14,5,5,815,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2887,台新新光金,TWSE,2,2026-01-05,2026-01-09,5,5,853,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2888,新光金,TWSE,1,2024-07-29,2024-08-02,5,0,0,252,False,blocked_source_gap,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2891,中信金,TWSE,1,2024-05-27,2024-05-31,5,5,461,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
