ticker,name,market,required_decision_dates,ready_decision_dates,analysis_rows,actual_start,actual_end,official_raw_overlap_rows,official_raw_same_basis_match_rows,status,adjusted_close_used_as_raw_execution,future_data_violation_count,diagnostic_subproblem,supports_sequential_lifecycle_rank1_timing,representative_of_full_all80_layer5,may_be_used_to_reject_full_layer5,broad_additive_formula_followup,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
1101,台泥,TWSE,5,5,975,2022-07-01,2026-07-09,632,618,ready_research_grade,False,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1216,統一,TWSE,10,10,975,2022-07-01,2026-07-09,944,928,ready_research_grade,False,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1319,東陽,TWSE,9,9,975,2022-07-01,2026-07-09,655,642,ready_research_grade,False,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1519,華城,TWSE,4,4,975,2022-07-01,2026-07-09,872,168,ready_research_grade,False,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1524,耿鼎,TWSE,5,5,975,2022-07-01,2026-07-09,623,609,ready_research_grade,False,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1582,信錦,TWSE,5,5,975,2022-07-01,2026-07-09,619,606,ready_research_grade,False,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1584,精剛,TPEx,8,8,975,2022-07-01,2026-07-09,624,411,ready_research_grade,False,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1597,直得,TWSE,3,3,975,2022-07-01,2026-07-09,670,662,ready_research_grade,False,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1605,華新,TWSE,5,5,975,2022-07-01,2026-07-09,908,890,ready_research_grade,False,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1815,富喬,TPEx,5,5,975,2022-07-01,2026-07-09,507,493,ready_research_grade,False,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
