ticker,market,event_type,effective_date,amount_or_ratio,source_quality,source_url,source_hash,retrieval_time_utc,human_review_required
1101,TWSE,cash_dividend,2022-07-21,0.999283,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1101.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,6f4bbb36015cee6376596c64b9ea6226eae9049defec25c00517d4bbfe494622,2026-07-11T08:54:45+00:00,True
1101,TWSE,split,2022-07-21,1099.9282/1000.0,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1101.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,6f4bbb36015cee6376596c64b9ea6226eae9049defec25c00517d4bbfe494622,2026-07-11T08:54:45+00:00,True
1101,TWSE,cash_dividend,2023-07-11,0.49972,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1101.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,6f4bbb36015cee6376596c64b9ea6226eae9049defec25c00517d4bbfe494622,2026-07-11T08:54:45+00:00,True
1101,TWSE,cash_dividend,2024-07-01,1.0,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1101.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,6f4bbb36015cee6376596c64b9ea6226eae9049defec25c00517d4bbfe494622,2026-07-11T08:54:45+00:00,True
1101,TWSE,cash_dividend,2025-07-02,1.0,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1101.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,6f4bbb36015cee6376596c64b9ea6226eae9049defec25c00517d4bbfe494622,2026-07-11T08:54:45+00:00,True
1101,TWSE,cash_dividend,2026-07-01,0.8,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1101.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,6f4bbb36015cee6376596c64b9ea6226eae9049defec25c00517d4bbfe494622,2026-07-11T08:54:45+00:00,True
1216,TWSE,cash_dividend,2022-08-04,2.7,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1216.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,8e2b41f2976354ed58c5047ef70cc800baed7395f19f788e7b1754ef26c0affb,2026-07-11T08:54:45+00:00,True
1216,TWSE,cash_dividend,2023-08-04,3.15,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1216.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,8e2b41f2976354ed58c5047ef70cc800baed7395f19f788e7b1754ef26c0affb,2026-07-11T08:54:45+00:00,True
1216,TWSE,cash_dividend,2024-08-01,3.0,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1216.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,8e2b41f2976354ed58c5047ef70cc800baed7395f19f788e7b1754ef26c0affb,2026-07-11T08:54:45+00:00,True
1216,TWSE,cash_dividend,2025-07-31,3.0,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1216.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,8e2b41f2976354ed58c5047ef70cc800baed7395f19f788e7b1754ef26c0affb,2026-07-11T08:54:45+00:00,True
1319,TWSE,cash_dividend,2023-06-26,2.5,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1319.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,37925a3918be6ff6da6b0ff149f3ee156f3f70cc319a6b092951ebb6c5c1321c,2026-07-11T08:54:46+00:00,True
1319,TWSE,cash_dividend,2024-06-20,4.0,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1319.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,37925a3918be6ff6da6b0ff149f3ee156f3f70cc319a6b092951ebb6c5c1321c,2026-07-11T08:54:46+00:00,True
1319,TWSE,cash_dividend,2025-06-20,5.3,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1319.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,37925a3918be6ff6da6b0ff149f3ee156f3f70cc319a6b092951ebb6c5c1321c,2026-07-11T08:54:46+00:00,True
1319,TWSE,cash_dividend,2026-06-22,5.0,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1319.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,37925a3918be6ff6da6b0ff149f3ee156f3f70cc319a6b092951ebb6c5c1321c,2026-07-11T08:54:46+00:00,True
1519,TWSE,cash_dividend,2022-07-29,0.826446,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1519.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,7fae3946d3a1b8887f164ace0b7ac77068c233650a39c9ac6cd686b10a1610e6,2026-07-11T08:54:48+00:00,True
1519,TWSE,cash_dividend,2023-07-27,2.066116,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1519.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,7fae3946d3a1b8887f164ace0b7ac77068c233650a39c9ac6cd686b10a1610e6,2026-07-11T08:54:48+00:00,True
1519,TWSE,split,2024-07-23,1100.0/1000.0,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1519.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,7fae3946d3a1b8887f164ace0b7ac77068c233650a39c9ac6cd686b10a1610e6,2026-07-11T08:54:48+00:00,True
1519,TWSE,split,2024-07-25,1100.0/1000.0,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1519.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,7fae3946d3a1b8887f164ace0b7ac77068c233650a39c9ac6cd686b10a1610e6,2026-07-11T08:54:48+00:00,True
1519,TWSE,cash_dividend,2024-07-26,5.454545,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1519.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,7fae3946d3a1b8887f164ace0b7ac77068c233650a39c9ac6cd686b10a1610e6,2026-07-11T08:54:48+00:00,True
