route_id,ticker,market,year_month,required_gap_rows,target_date_count,response_market_rows,accepted_exact_rows,outcome,http_status,response_stat,schema_ok,source_url,source_hash,response_bytes,retrieved_at,cache_reused,route_error,raw_cache_path,route_variant,future_data_violation_count,diagnostic_subproblem,represents_intended_all80_layer5_state_supply,performance_authorized,P3_2_outcome_read_authorized,Top3_authorized,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
1102_2023-07_TWSE,1102,TWSE,2023-07,2,2,21,2,accepted_exact_rows,200,OK,True,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20230701&stockNo=1102&response=json,745ce9b138a5cacde0517a2a697bfb8462ec5d07fe644820f3af7f0f124c7845,2791,2026-07-13T04:14:10+00:00,True,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_layer5_all80_continuous_lifecycle_adjusted_hlc_bounded_delta_acquisition_20260713\raw_cache\official_month\1102_2023-07_TWSE.json,TWSE_RWD_STOCK_DAY,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1102_2023-09_TWSE,1102,TWSE,2023-09,1,1,20,1,accepted_exact_rows,200,OK,True,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20230901&stockNo=1102&response=json,5d51aa6c77d22165e59f5df2848fb086c10179b0c82c553271f927268842e660,2682,2026-07-13T04:14:16+00:00,True,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_layer5_all80_continuous_lifecycle_adjusted_hlc_bounded_delta_acquisition_20260713\raw_cache\official_month\1102_2023-09_TWSE.json,TWSE_RWD_STOCK_DAY,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1102_2023-11_TWSE,1102,TWSE,2023-11,1,1,22,1,accepted_exact_rows,200,OK,True,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20231101&stockNo=1102&response=json,bab9710cce25e44c3ff259c4348214a3c40cb3b018d81efa94b7e29b6ebd055b,2865,2026-07-13T04:14:16+00:00,True,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_layer5_all80_continuous_lifecycle_adjusted_hlc_bounded_delta_acquisition_20260713\raw_cache\official_month\1102_2023-11_TWSE.json,TWSE_RWD_STOCK_DAY,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210_2022-07_TWSE,1210,TWSE,2022-07,8,8,21,8,accepted_exact_rows,200,OK,True,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20220701&stockNo=1210&response=json,50e87d6ea3dd889c1384906d91a55da416f5bbd0bbc9853a725b56a1d0703c9c,2680,2026-07-13T04:14:16+00:00,True,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_layer5_all80_continuous_lifecycle_adjusted_hlc_bounded_delta_acquisition_20260713\raw_cache\official_month\1210_2022-07_TWSE.json,TWSE_RWD_STOCK_DAY,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210_2022-08_TWSE,1210,TWSE,2022-08,1,1,23,1,accepted_exact_rows,200,OK,True,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20220801&stockNo=1210&response=json,5b560d2b5f7d44b8e3bda0f795f319fb84f9725c1f77e90156b7f3441ea52202,2867,2026-07-13T04:14:16+00:00,True,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_layer5_all80_continuous_lifecycle_adjusted_hlc_bounded_delta_acquisition_20260713\raw_cache\official_month\1210_2022-08_TWSE.json,TWSE_RWD_STOCK_DAY,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210_2022-10_TWSE,1210,TWSE,2022-10,1,1,20,1,accepted_exact_rows,200,OK,True,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20221001&stockNo=1210&response=json,5ac4a167efd525a4c958a0f5e15d0577246408ab3188132951825f70e30f51d7,2626,2026-07-13T04:14:16+00:00,True,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_layer5_all80_continuous_lifecycle_adjusted_hlc_bounded_delta_acquisition_20260713\raw_cache\official_month\1210_2022-10_TWSE.json,TWSE_RWD_STOCK_DAY,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210_2023-03_TWSE,1210,TWSE,2023-03,1,1,23,1,accepted_exact_rows,200,OK,True,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20230301&stockNo=1210&response=json,6161a2b0fd326362f5529ad2472fde85cef1809ae82aa1c40f2c647978e453c3,2937,2026-07-13T04:14:16+00:00,True,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_layer5_all80_continuous_lifecycle_adjusted_hlc_bounded_delta_acquisition_20260713\raw_cache\official_month\1210_2023-03_TWSE.json,TWSE_RWD_STOCK_DAY,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210_2023-04_TWSE,1210,TWSE,2023-04,1,1,17,1,accepted_exact_rows,200,OK,True,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20230401&stockNo=1210&response=json,aade444ee842d3b53c31e14a2ae2937e2e8da6288ffd63fa02a1ad601a842e62,2395,2026-07-13T04:14:16+00:00,True,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_layer5_all80_continuous_lifecycle_adjusted_hlc_bounded_delta_acquisition_20260713\raw_cache\official_month\1210_2023-04_TWSE.json,TWSE_RWD_STOCK_DAY,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210_2023-08_TWSE,1210,TWSE,2023-08,9,5,22,5,accepted_exact_rows,200,OK,True,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20230801&stockNo=1210&response=json,afb17ffe2ff73aa0cad080ddf0c7d83edbab8dc5abe3019c85a287f44a109a3c,2864,2026-07-13T04:14:16+00:00,True,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_layer5_all80_continuous_lifecycle_adjusted_hlc_bounded_delta_acquisition_20260713\raw_cache\official_month\1210_2023-08_TWSE.json,TWSE_RWD_STOCK_DAY,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210_2023-09_TWSE,1210,TWSE,2023-09,20,20,20,20,accepted_exact_rows,200,OK,True,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20230901&stockNo=1210&response=json,64d81b421076cb3f00d128d2a4b26662eded69107fb52645b45a201c7d1d4432,2665,2026-07-13T04:14:16+00:00,True,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_layer5_all80_continuous_lifecycle_adjusted_hlc_bounded_delta_acquisition_20260713\raw_cache\official_month\1210_2023-09_TWSE.json,TWSE_RWD_STOCK_DAY,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
