family,source_path,exists,bytes,sha256,role,diagnostic_subproblem,represents_intended_all80_layer5_state_supply,performance_authorized,P3_2_outcome_read_authorized,Top3_authorized,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
core_gap_ledger,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p3_layer5_all80_continuous_sequential_lifecycle_state_supply_contract_20260713\p3_all80_continuous_adjusted_HLC_gap_ledger.csv.gz,True,1140641,38ec950b63cb9bbda0df31729fd4d0c6ad33673fa9535e762528c2703abd3c30,reuse_feasibility_only_no_new_download,False,True,False,False,False,False,False,False,False,False,False,False,True,False
core_gap_ledger,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p3_layer5_all80_continuous_sequential_lifecycle_state_supply_contract_20260713\p3_all80_continuous_adjusted_HLC_requirement_ledger.csv.gz,True,2184908,22d1941e17327078c71ca6942aeb24412a595f316d97038d9a9041a3ad64a201,reuse_feasibility_only_no_new_download,False,True,False,False,False,False,False,False,False,False,False,False,True,False
p3_official_raw_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_recent_full_feature_data_readiness_acquisition_20260711\compact\price\2022.csv.gz,True,1184262,1c7adec07bddd3b90682c3ce7779fd94bbb04260f4f0ed957fdf2984a25a34fb,reuse_feasibility_only_no_new_download,False,True,False,False,False,False,False,False,False,False,False,False,True,False
p3_official_raw_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_recent_full_feature_data_readiness_acquisition_20260711\compact\price\2023.csv.gz,True,3681652,bbac5dac2026fac7d7343c2a9d832cc9ad9f937fab14d16caef0c0a1f8327ae1,reuse_feasibility_only_no_new_download,False,True,False,False,False,False,False,False,False,False,False,False,True,False
p3_official_raw_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_recent_full_feature_data_readiness_acquisition_20260711\compact\price\2024.csv.gz,True,3916105,99d969cfaa71d9ad9ed786c38c0f274275887c56433680a336a33dd372e2d31a,reuse_feasibility_only_no_new_download,False,True,False,False,False,False,False,False,False,False,False,False,True,False
p3_official_raw_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_recent_full_feature_data_readiness_acquisition_20260711\compact\price\2025.csv.gz,True,3608489,93dc43a56a67c1dd90c1a002713091ca1265824c27558be2ec478e99e8a62e50,reuse_feasibility_only_no_new_download,False,True,False,False,False,False,False,False,False,False,False,False,True,False
p3_official_raw_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_recent_full_feature_data_readiness_acquisition_20260711\compact\price\2026.csv.gz,True,1119188,7110660b61b875a18c5500cd2fb818459afd10ad25800f2e180c16a077d6f492,reuse_feasibility_only_no_new_download,False,True,False,False,False,False,False,False,False,False,False,False,True,False
p3_official_raw_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\compact\raw_hlc_warmup\2023.csv.gz,True,1332041,bfd06a8fee501a1f5eb33e6158e61942153d0250bcdf5aaf07805879aa681e26,reuse_feasibility_only_no_new_download,False,True,False,False,False,False,False,False,False,False,False,False,True,False
p3_official_raw_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\compact\raw_hlc_warmup\2024.csv.gz,True,1981621,db16d0c19b6f773cb7b10dcc5d1f5c11bb82884323248ad5c06a15fdefdc0884,reuse_feasibility_only_no_new_download,False,True,False,False,False,False,False,False,False,False,False,False,True,False
p3_official_raw_compact,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\compact\raw_hlc_warmup\2025.csv.gz,True,1950644,00f0dc8cdfb6a5f624b87560bac58ed8093145ffc1821bcf5e213e2674942b5f,reuse_feasibility_only_no_new_download,False,True,False,False,False,False,False,False,False,False,False,False,True,False
