date,ticker,name,market,open,high,low,close,volume,turnover_value,source_route,source_url,source_quality,adjustment_policy
2024-03-01,5258,虹堡,TWSE,140.0,140.5,136.0,136.5,4172898,575470071,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-04,5258,虹堡,TWSE,138.0,144.5,136.0,140.0,8374332,1177622541,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-05,5258,虹堡,TWSE,141.0,142.0,137.0,139.0,4550436,634366940,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-06,5258,虹堡,TWSE,139.0,141.0,135.0,135.5,3846727,528248839,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-07,5258,虹堡,TWSE,136.5,137.0,128.5,129.5,5367310,705273086,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-08,5258,虹堡,TWSE,131.0,131.0,123.0,123.0,4576707,575492261,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-11,5258,虹堡,TWSE,123.0,126.0,122.5,126.0,1731378,215484442,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-12,5258,虹堡,TWSE,125.0,137.5,124.5,135.0,7830982,1045123600,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-13,5258,虹堡,TWSE,137.0,139.0,131.0,136.5,6050218,817408984,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-14,5258,虹堡,TWSE,135.5,137.0,132.0,134.5,2979547,400816414,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-15,5258,虹堡,TWSE,134.0,137.0,133.0,134.5,2719456,366657023,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
