scenario,decision_date,requested_execution_date,actual_execution_date,role,date,ticker,market,open,high,low,close,volume,turnover_value,source_url,source_route,source_quality,adjustment_policy,raw_sha256,raw_cache_path,retrieval_time_utc,future_data_violation_count
placebo_seed_17,2024-09-23,2024-09-24,2024-09-24,prior_exit,2024-09-24,4906,TWSE,40.45,40.45,39.4,39.9,4524135.0,180275148.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240901&stockNo=4906&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,5115e3d78d9ccfadace2d7dcf9123c1938263f3e31dd782a6ae93c787d0aefc6,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_full_spec_v1_placebo_price_gap_fill_20260712\raw_audit_samples\TWSE_4906_2024-09.json,2026-07-12T01:43:40.332246+00:00,0
placebo_seed_17,2024-09-23,2024-09-24,2024-09-24,new_entry,2024-09-24,4563,TPEx,113.5,114.5,106.0,113.5,5923.0,655406.0,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=4563&date=2024%2F09%2F01&response=json,TPEX_TRADING_STOCK,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,4217c07a1d9227c5404b0cf9398758db0220895660a56d359cd6e74079a50b4a,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_full_spec_v1_placebo_price_gap_fill_20260712\raw_audit_samples\TPEx_4563_2024-09.json,2026-07-12T01:43:39.912931+00:00,0
placebo_seed_17,2026-05-19,2026-05-20,2026-05-20,prior_exit,2026-05-20,1717,TWSE,74.4,74.4,70.8,72.7,27949039.0,2016672971.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260501&stockNo=1717&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,8c9ee771456f44c91330495078b46f0650c304b257068bab147f1462032aa87c,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_full_spec_v1_placebo_price_gap_fill_20260712\raw_audit_samples\TWSE_1717_2026-05.json,2026-07-12T01:43:38.716614+00:00,0
placebo_seed_17,2026-05-19,2026-05-20,2026-05-20,new_entry,2026-05-20,2301,TWSE,207.5,212.5,203.0,204.0,22371253.0,4634424729.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260501&stockNo=2301&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,c38724a7b2de54df890da899d90e33804c885b2e149d407a30bfd7367867b6b7,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_full_spec_v1_placebo_price_gap_fill_20260712\raw_audit_samples\TWSE_2301_2026-05.json,2026-07-12T01:43:38.936611+00:00,0
placebo_seed_43,2025-03-10,2025-03-11,2025-03-11,prior_exit,2025-03-11,4162,TPEx,105.5,108.0,104.5,107.0,1211.0,128723.0,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=4162&date=2025%2F03%2F01&response=json,TPEX_TRADING_STOCK,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,98ca52b731e915aa0dfa3a97f675f28c2d73f51d3907e057b4fd662246cc94b8,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_full_spec_v1_placebo_price_gap_fill_20260712\raw_audit_samples\TPEx_4162_2025-03.json,2026-07-12T01:43:39.726219+00:00,0
placebo_seed_71,2024-09-09,2024-09-10,2024-09-10,prior_exit,2024-09-10,3047,TWSE,42.7,42.85,38.85,40.2,35201701.0,1433635968.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240901&stockNo=3047&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,36ecb8fe7d1a290b39cf2f12b8c85a35891faa68d136f4304d0f2f1c4fd85daf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_full_spec_v1_placebo_price_gap_fill_20260712\raw_audit_samples\TWSE_3047_2024-09.json,2026-07-12T01:43:39.120061+00:00,0
placebo_seed_71,2024-09-09,2024-09-10,2024-09-10,new_entry,2024-09-10,8096,TPEx,51.8,52.9,49.25,49.85,15452.0,787430.0,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=8096&date=2024%2F09%2F01&response=json,TPEX_TRADING_STOCK,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,a9f3747e27332634ad6e5b0a108bc45bf187ca55accd142af88f015a6282d894,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_full_spec_v1_placebo_price_gap_fill_20260712\raw_audit_samples\TPEx_8096_2024-09.json,2026-07-12T01:43:41.272033+00:00,0
placebo_seed_71,2026-05-11,2026-05-12,2026-05-12,prior_exit,2026-05-12,3673,TWSE,60.6,63.5,60.4,60.6,16345624.0,1009064854.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260501&stockNo=3673&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,802868333d4acc76ab01eb07757e148da8e9303703c6d2e51a3461c4757c207f,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_full_spec_v1_placebo_price_gap_fill_20260712\raw_audit_samples\TWSE_3673_2026-05.json,2026-07-12T01:43:39.312070+00:00,0
placebo_seed_71,2026-05-11,2026-05-12,2026-05-12,new_entry,2026-05-12,8150,TWSE,90.4,90.6,86.1,87.0,34358540.0,2996228618.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260501&stockNo=8150&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,2ee6356529d5cd4b21ec0f866b38529e79e58edc08e019131dca18f6167bf0d1,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_full_spec_v1_placebo_price_gap_fill_20260712\raw_audit_samples\TWSE_8150_2026-05.json,2026-07-12T01:43:41.446028+00:00,0
placebo_seed_71,2026-06-09,2026-06-10,2026-06-10,prior_exit,2026-06-10,7750,TWSE,2215.0,2255.0,2115.0,2135.0,208801.0,456762085.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260601&stockNo=7750&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,9f02f4e764a1ba0d877c9e0cbb1b384977a0d5a137c196220123f724b0a12ecf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_full_spec_v1_placebo_price_gap_fill_20260712\raw_audit_samples\TWSE_7750_2026-06.json,2026-07-12T01:43:40.888359+00:00,0
placebo_seed_71,2026-06-09,2026-06-10,2026-06-10,new_entry,2026-06-10,5289,TPEx,1950.0,2005.0,1795.0,1795.0,5918.0,11199982.0,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=5289&date=2026%2F06%2F01&response=json,TPEX_TRADING_STOCK,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,424309ed9d2e3c1d73d602b787f2bad7830af73bda6626ec601d9c85d928d392,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_full_spec_v1_placebo_price_gap_fill_20260712\raw_audit_samples\TPEx_5289_2026-06.json,2026-07-12T01:43:40.532692+00:00,0
