date,ticker,market,open,high,low,close,volume,turnover_value,source_url,source_route,source_quality,adjustment_policy,raw_sha256,raw_cache_path,retrieval_time_utc,future_data_violation_count
2025-03-03,1522,TWSE,63.5,64.4,63.3,63.4,1617312.0,102929730.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250301&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,5ea3de0803e9bec3f6ab208c498e65d16579601c962eccf5ad44ab10e481d017,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_placebo_tradability_termination_pit_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-03.json,2026-07-12T01:26:17.125432+00:00,0
2025-03-04,1522,TWSE,63.1,64.5,62.3,64.5,2022085.0,128122772.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250301&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,5ea3de0803e9bec3f6ab208c498e65d16579601c962eccf5ad44ab10e481d017,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_placebo_tradability_termination_pit_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-03.json,2026-07-12T01:26:17.125432+00:00,0
2025-03-05,1522,TWSE,63.6,63.7,61.7,62.1,7201762.0,448912721.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250301&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,5ea3de0803e9bec3f6ab208c498e65d16579601c962eccf5ad44ab10e481d017,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_placebo_tradability_termination_pit_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-03.json,2026-07-12T01:26:17.125432+00:00,0
2025-03-06,1522,TWSE,62.1,62.2,61.0,61.0,3316202.0,203494481.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250301&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,5ea3de0803e9bec3f6ab208c498e65d16579601c962eccf5ad44ab10e481d017,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_placebo_tradability_termination_pit_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-03.json,2026-07-12T01:26:17.125432+00:00,0
2025-03-07,1522,TWSE,61.2,61.2,60.4,60.5,2153437.0,130709258.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250301&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,5ea3de0803e9bec3f6ab208c498e65d16579601c962eccf5ad44ab10e481d017,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_placebo_tradability_termination_pit_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-03.json,2026-07-12T01:26:17.125432+00:00,0
2025-03-10,1522,TWSE,60.5,61.9,60.5,61.3,2193268.0,134618478.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250301&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,5ea3de0803e9bec3f6ab208c498e65d16579601c962eccf5ad44ab10e481d017,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_placebo_tradability_termination_pit_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-03.json,2026-07-12T01:26:17.125432+00:00,0
2025-03-11,1522,TWSE,58.8,59.7,58.5,59.4,2644028.0,156298635.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250301&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,5ea3de0803e9bec3f6ab208c498e65d16579601c962eccf5ad44ab10e481d017,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_placebo_tradability_termination_pit_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-03.json,2026-07-12T01:26:17.125432+00:00,0
2025-03-12,1522,TWSE,59.7,59.8,59.1,59.7,1117990.0,66496487.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250301&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,5ea3de0803e9bec3f6ab208c498e65d16579601c962eccf5ad44ab10e481d017,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_placebo_tradability_termination_pit_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-03.json,2026-07-12T01:26:17.125432+00:00,0
2025-03-13,1522,TWSE,59.9,60.5,59.0,59.2,1295329.0,77497228.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250301&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,5ea3de0803e9bec3f6ab208c498e65d16579601c962eccf5ad44ab10e481d017,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_placebo_tradability_termination_pit_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-03.json,2026-07-12T01:26:17.125432+00:00,0
2025-03-14,1522,TWSE,57.5,59.5,57.3,58.5,3257926.0,190336426.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250301&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,5ea3de0803e9bec3f6ab208c498e65d16579601c962eccf5ad44ab10e481d017,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_placebo_tradability_termination_pit_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-03.json,2026-07-12T01:26:17.125432+00:00,0
2025-03-17,1522,TWSE,58.6,59.9,58.6,59.3,1256899.0,74379873.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250301&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,5ea3de0803e9bec3f6ab208c498e65d16579601c962eccf5ad44ab10e481d017,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_placebo_tradability_termination_pit_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-03.json,2026-07-12T01:26:17.125432+00:00,0
