family,market,source_url,http_status,response_bytes,source_hash,retrieved_at,status,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
official_market_calendar,TWSE,https://openapi.twse.com.tw/v1/holidaySchedule/holidaySchedule,200,3774,7644c1a8af784c09f54670fd7413f536b13eb76c54d658058e8873d1aee32117,2026-07-12T19:53:35+08:00,accepted,False,False,False,False,False,False,False,True,False
official_raw_execution_ohlcv,TWSE,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260630&type=ALLBUT0999&response=json,200,245745,793e614675e22965b0df0767c00a84f4ac6d286091984d494ceb5a8cbb97710e,,accepted,,,,,,,,,
official_raw_execution_ohlcv,TPEx,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/06/30&response=json,200,1501702,b6c5c4f822ece0de80d7d4ce4e238b212f15b8d4ca2ed9d02e887c7a4933a984,,accepted,,,,,,,,,
institutional,TWSE,https://www.twse.com.tw/fund/T86?date=20260630&selectType=ALLBUT0999&response=json,200,193682,77f760cd47123bceb48e9b5412c9d432cbb9ab3df599678ad825f650623d6b4c,,accepted,,,,,,,,,
margin_short,TWSE,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260630&selectType=ALL&response=json,200,127308,7c6eacf53d7d93084a4ea2836d37786f32f2204a1a380b97725efb6c84f0db5c,,accepted,,,,,,,,,
securities_lending,TWSE,https://www.twse.com.tw/exchangeReport/TWT72U?date=20260630&response=json,200,199691,206d250002ecb8819fdf348061984fb1f7da4396d8c29fef5c8947c9bba2765b,,accepted,,,,,,,,,
institutional,TPEx,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,200,148558,6c89628e69aee4188e9f6f002e9daaa3611350ab14b248022fcca4986174e1f0,,accepted,,,,,,,,,
margin_short,TPEx,https://www.tpex.org.tw/www/zh-tw/margin/balance,200,105793,df49a3d927f07cdda1d48adf55a91dc2bad60c4b792b7b2ec205f2214d5316fa,,accepted,,,,,,,,,
securities_lending,TPEx,https://www.tpex.org.tw/www/zh-tw/margin/sbl,200,98912,70183710fa03c16d873557ae1c651bbf5ecdc7b1536f3b34e05751a769a490cc,,accepted,,,,,,,,,
foreign_ownership,TWSE,https://www.twse.com.tw/fund/MI_QFIIS?response=json&date=20260630&selectType=ALLBUT0999,200,,1858830b7a0271b069b53b68e2b14bdd78b81dbeeb1a3528b8b89ad8f8264eb2,,accepted,,,,,,,,,
foreign_ownership,TPEx,https://www.tpex.org.tw/www/zh-tw/insti/qfii?date=2026%2F06%2F30&response=json,200,,3c38969351cbba3c4661952111a484a1f4f77f41fc310cd3029dca5fd9a9fedd,,accepted,,,,,,,,,
