ticker,company_name,event_key,high_priority,cash_dividend_total_per_share_candidate,stock_dividend_total_per_share_candidate,accepted_exact_exdate,accepted_payment_date,accepted_market_available_at,accepted_source_url,accepted_subject,accepted_detail_excerpt,accepted_status,exact_candidate_count,payment_candidate_count,capital_change_candidate_count,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
1301,台塑,1301|ROC107|P1|C5.8|S0,False,5.8,0.0,2019-07-02,,2019-06-11 16:18:16,https://mops.twse.com.tw/mops/#/web/t05st01,董事會決議股利配發基準日,1.董事會、股東會決議或公司決定日期:108/06/11 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額: 現金股利：每股分派新台幣5.8元。 4.除權（息）交易日:108/07/02 5.最後過戶日:108/07/03 6.停止過戶起始日期:108/07/04 7.停止過戶截止日期:108/07/08 8.除權（息）基準日:108/07/08 9.其他應敘明事項:現金股利發放日108/08/02 ,accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
1301,台塑,1301|ROC108|P1|C4.4|S0,False,4.4,0.0,2020-07-02,,2020-06-10 16:26:07,https://mops.twse.com.tw/mops/#/web/t05st01,董事會決議股利配發基準日,1.董事會、股東會決議或公司決定日期:109/06/10 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額: 現金股利：每股分派新台幣4.4元。 4.除權（息）交易日:109/07/02 5.最後過戶日:109/07/03 6.停止過戶起始日期:109/07/04 7.停止過戶截止日期:109/07/08 8.除權（息）基準日:109/07/08 9.其他應敘明事項:現金股利發放日109/07/31 ,accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
1301,台塑,1301|ROC109|P1|C2.4|S0,False,2.4,0.0,,,,,,,blocked_multiple_exact_candidates,2,0,0,0,False,False,False,False,False,False,False,True,False
2316,楠梓電,2316|ROC107|P1|C1|S0,False,1.0,0.0,2019-07-04,,2019-06-18 17:50:33,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司董事會決議除息基準日,"1.董事會、股東會決議或公司決定日期:108/06/18 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額:現金股利新台幣225,605,600元(每股配發1元) 4.除權（息）交易日:108/07/04 5.最後過戶日:108/07/05 6.停止過戶起始日期:108/07/06 7.停止過戶截止日期:108/07/10 8.除權（息）基準日:108/07/10 9.其他應敘明事項:現金股利預計於108年7月31日發放。 ",accepted_unique_exact_exdate_candidate,1,0,3,0,False,False,False,False,False,False,False,True,False
2316,楠梓電,2316|ROC108|P1|C0.5|S0,False,0.5,0.0,2020-07-13,,2020-06-24 16:39:49,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司董事會決議除息基準日,"1.董事會、股東會決議或公司決定日期:109/06/24 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額:現金股利新台幣101,522,520元(每股配發0.5元) 4.除權（息）交易日:109/07/13 5.最後過戶日:109/07/14 6.停止過戶起始日期:109/07/15 7.停止過戶截止日期:109/07/19 8.除權（息）基準日:109/07/19 9.其他應敘明事項:現金股利預計於109年7月31日發放。 ",accepted_unique_exact_exdate_candidate,1,0,3,0,False,False,False,False,False,False,False,True,False
2316,楠梓電,2316|ROC109|P1|C1.5|S0,False,1.5,0.0,2021-08-30,,2021-08-12 17:37:22,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司董事會決議除息基準日,"1.董事會、股東會決議或公司決定日期:110/08/12 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額:現金股利新台幣274,110,804元(每股配發1.5元) 4.除權（息）交易日:110/08/30 5.最後過戶日:110/08/31 6.停止過戶起始日期:110/09/01 7.停止過戶截止日期:110/09/05 8.除權（息）基準日:110/09/05 9.其他應敘明事項:現金股利預計於110年9月17日發放。 ",accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
2317,鴻海,2317|ROC107|P1|C4|S0,False,4.0,0.0,2019-07-25,,2019-06-27 17:06:43,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司訂定除息基準日,"1.董事會、股東會決議或公司決定日期:108/06/27 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額: 普通股現金股利新台幣55,451,962,436元，每股配發新台幣4元。 4.除權（息）交易日:108/07/25 5.最後過戶日:108/07/26 6.停止過戶起始日期:108/07/27 7.停止過戶截止日期:108/07/31 8.除權（息）基準日:108/07/31 9.其他應敘明事項: (1)現金股利發放日訂於108/08/23。 (2)海外可轉換公司債停止轉換期間為108/07/05~108/07/31。 ",accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
2317,鴻海,2317|ROC108|P1|C4.2|S0,False,4.2,0.0,2020-07-23,,2020-06-24 18:03:33,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司訂定除息基準日,"1.董事會、股東會決議或公司決定日期:109/06/24 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額: 普通股現金股利新台幣58,224,560,558元，每股配發新台幣4.2元。 4.除權（息）交易日:109/07/23 5.最後過戶日:109/07/26 6.停止過戶起始日期:109/07/27 7.停止過戶截止日期:109/07/31 8.除權（息）基準日:109/07/31 9.其他應敘明事項: (1)現金股利發放日訂於109/08/21。 (2)海外可轉換公司債停止轉換期間為109/07/06~109/07/31。 ",accepted_unique_exact_exdate_candidate,1,0,2,0,False,False,False,False,False,False,False,True,False
2317,鴻海,2317|ROC109|P1|C4|S0,False,4.0,0.0,2021-07-22,,2021-06-24 14:35:19,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司訂定除息基準日,"1.董事會、股東會決議或公司決定日期:110/06/24 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額: 普通股現金股利新台幣55,451,962,436元，每股配發新台幣4元。 4.除權（息）交易日:110/07/22 5.最後過戶日:110/07/25 6.停止過戶起始日期:110/07/26 7.停止過戶截止日期:110/07/30 8.除權（息）基準日:110/07/30 9.其他應敘明事項: (1)現金股利發放日訂於110/08/20。 (2)海外可轉換公司債停止轉換期間為110/07/05~110/07/30。 ",accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
2330,台積電,2330|ROC107|P1|C8|S0,False,8.0,0.0,,,,,,,blocked_multiple_exact_candidates,4,0,0,0,False,False,False,False,False,False,False,True,False
